cue_subtype,corpus,age_group,n_child_attempts,logFreq,COI,outcome,RplusComposite,RplusRate,logFreq_z,COI_z,RplusComposite_z,RplusRate_z,outcome_z,age_post,COI_x_logFreq,Rcomp_x_COI,Rcomp_x_age,COI_x_age,Rcomp_x_COI_x_age
subject_position,Brown,pre,32060,10.659445199506749,0.4847,666.264,0.5006618374558304,0.6042402826855123,2.1202216994061387,1.3355590476453743,0.46176271756808546,-0.05476782307007406,10.102767126465801,0,2.8316812736559194,0.6167113753133722,0.0,0.0,0.0
object_position,Brown,pre,20011,9.90802723257816,0.5286,316.56,0.5311445623342175,0.7188328912466844,1.747498956564739,1.7609114455465045,0.6355595456660456,0.31679226681379935,4.6204427456739054,0,3.0771909136954227,1.119164078289676,0.0,0.0,0.0
det_a,Brown,pre,6964,8.814627555310697,0.4004,136.135,0.51340206185567,0.711340206185567,1.2051444419411086,0.5187661742270296,0.5344009281867922,0.2924976568059108,1.7919123988538,0,0.6251881715367575,0.2772291250188358,0.0,0.0,0.0
verb_past,Brown,pre,5534,8.664750755773852,0.4252,101.107,0.49197611940298513,0.7313432835820896,1.130801673641329,0.759056367118785,0.4122412179856123,0.3573565105201836,1.2427769631413732,0,0.8583422103260292,0.312914321300782,0.0,0.0,0.0
det_the,Brown,pre,4891,9.113388845899731,0.3962,105.414,0.45302352941176466,0.5098039215686274,1.3533377678717406,0.47807186736632934,0.19015357281336512,-0.360972413972327,1.3102979840850018,0,0.646992713863823,0.09090707364126474,0.0,0.0,0.0
aux_be,Brown,pre,4507,8.926915889777042,0.4237,120.392,0.521875,0.625,1.2608423595494138,0.7445226860971063,0.5827092661070298,0.012544393033438558,1.5451087228111844,0,0.938725740276743,0.43384026801567926,0.0,0.0,0.0
aux_do,Brown,pre,3908,9.002331708246244,0.4636,94.75,0.51875,0.5,1.2982505557206683,1.1311186012737602,0.5648921224634444,-0.39276107839834945,1.1431180055981536,0,1.4684753526896441,0.6389599874314169,0.0,0.0,0.0
pron_my,Brown,pre,3363,6.507277712385012,0.341,62.246,0.5416650000000001,0.8,0.060639253084392705,-0.05676759423144744,0.6955416733731296,0.5799720530379419,0.6335514245088327,0,-0.0034423445135928527,-0.03948422748510777,0.0,-0.0,-0.0
prep_in,Brown,pre,2487,7.85243908535751,0.3644,58.578,0.5103166666666666,0.6904761904761905,0.7278740791931761,0.16995782970674045,0.5168095908172876,0.22484725902151795,0.5760480335589304,0,0.12370789879946434,0.08783583642693478,0.0,0.0,0.0
pron_what,Brown,pre,2455,8.414938957377482,0.4882,54.74,0.65,0.5,1.0068885616445185,1.3694709700292913,1.3132121554940421,-0.39276107839834945,0.5158795454275984,0,1.3789046552267166,1.7984059244386823,0.0,0.0,0.0
aux_can,Brown,pre,2180,7.38770923908104,0.3919,57.131,0.5,0.0,0.4973560577883336,0.4364086484375173,0.4579892606019303,-2.0139829641255016,0.5533633534322921,0,0.2170504849716184,0.1998704742181863,0.0,0.0,0.0
prep_on,Brown,pre,2041,7.76004068088038,0.3954,39.38,0.5466871794871795,0.6923076923076923,0.6820420812018931,0.4703205708214338,0.724175559237752,0.2307858007274782,0.2750801765643211,0,0.3207784209551131,0.3405946623956306,0.0,0.0,0.0
det_that,Brown,pre,1446,6.895682697747868,0.3226,29.777,0.46864210526315786,0.7894736842105263,0.25329816975822783,-0.23504741476404006,0.2792026638381686,0.5458410659700017,0.12453353989804165,0,-0.05953707996613441,-0.06562586433039487,0.0,-0.0,-0.0
pron_that,Brown,pre,1382,7.409741954080923,0.5497,62.547,0.17500000000000002,0.0,0.5082848541818586,1.9653518919181185,-1.3949936783309784,-2.0139829641255016,0.6382702142241873,0,0.9989585997996409,-2.7416534649216038,-0.0,0.0,-0.0
pron_acc_it,Brown,pre,1296,7.533158807455563,0.5349,31.765,0.5285714285714286,0.8571428571428571,0.5695028049459003,1.8219529058375559,0.6208888596289992,0.7652545542639019,0.1556994998785231,0,1.0376072903538218,1.1312302620032215,0.0,0.0,0.0
det_this,Brown,pre,1274,6.643789733147672,0.3311,32.941,0.4125,0.5,0.12835274550653555,-0.15268988897452723,-0.04089076141846837,-0.39276107839834945,0.1741357015571178,0,-0.019598166460968663,0.006243605821069817,-0.0,-0.0,0.0
det_some,Brown,pre,1256,6.345636360828596,0.3204,28.485,0.4175888888888889,0.4444444444444444,-0.019539037241773714,-0.256363480262502,-0.011876532836202469,-0.5728968434791442,0.10427880131917741,0,0.005009095588279747,0.0030447092913407484,-0.0,-0.0,0.0
prep_up,Brown,pre,1028,6.905753276311464,0.4245,21.885,0.526923076923077,0.6923076923076923,0.2582934371452532,0.7522739826420012,0.6114908058389766,0.2307858007274782,0.0008103225107379789,0,0.19430743265155104,0.4600086238574536,0.0,0.0,0.0
prep_like,Brown,pre,940,6.508769136971682,0.3378,27.276,0.875,1.0,0.06137903824677986,-0.08777278041102907,2.5960464978322095,1.2284608073288026,0.08532525724654055,0,-0.005387408845874763,-0.22786221919104757,0.0,-0.0,-0.0
prep_for,Brown,pre,935,7.029972911706386,0.3856,22.612,0.570825,0.75,0.3199095885508449,0.37536718814646636,0.8617970041401558,0.41784986446522654,0.012207532221909973,0,0.12008356271542363,0.3234903181971389,0.0,0.0,0.0
prep_of,Brown,pre,854,7.355641102974253,0.3309,25.841,0.5868083333333334,0.9166666666666666,0.4814494330154542,-0.15462771311075083,0.9529257548292154,0.9582571597076104,0.06282870162682684,0,-0.0744454248056473,-0.14734873023357759,0.0,-0.0,-0.0
prep_with,Brown,pre,839,7.149131598557407,0.3478,18.293,0.55,0.8,0.3790153786053869,0.009118426400162513,0.7430635588993011,0.5799720530379419,-0.055501613228643054,0,0.00345602383434295,0.0067755703724660995,0.0,0.0,0.0
