corpus,language,spec,predictor,beta,se,stat,p,ci95_low,ci95_high
Brown,English,M_new_post_OLS_cluster_cue,const,0.5328875992122203,0.011094763405449877,48.030550966995804,0.0,0.5111422625205455,0.5546329359038951
Brown,English,M_new_post_OLS_cluster_cue,COI_z,0.03727236685016473,0.01081668016127849,3.4458231448492125,0.000569322823784928,0.01607206330176999,0.058472670398559475
Brown,English,M_new_post_OLS_cluster_cue,cumulative_cue_attempts_z,0.027189324228601472,0.012147642210241765,2.23823880865358,0.025205486121991527,0.0033803829994490733,0.05099826545775387
Brown,English,M_new_post_OLS_cluster_cue,COI_x_cumulative,0.05158417740477847,0.01299195660961464,3.9704702651642036,7.173090840535766e-05,0.026120410361226667,0.07704794444833027
Brown,English,M_new_post_OLS_cluster_cue,prior_local_freq_z,0.11239402262739288,0.01655177054393804,6.790453162036876,1.1178186502805805e-11,0.07995314848090337,0.1448348967738824
Brown,English,M_new_post_OLS_cluster_cue,log_cue_freq_z,0.13533770972377493,0.02291959853710033,5.904890066233122,3.528819840882631e-09,0.09041612205094138,0.18025929739660848
Brown,English,M_new_post_OLS_cluster_child,const,0.5328875992122203,0.01564638194153301,34.05819960189523,3.0691822085695323e-254,0.5022212541184577,0.5635539443059828
Brown,English,M_new_post_OLS_cluster_child,COI_z,0.03727236685016473,0.004767996722429147,7.817196407629998,5.4012794299143086e-15,0.027927264995798583,0.04661746870453088
Brown,English,M_new_post_OLS_cluster_child,cumulative_cue_attempts_z,0.027189324228601472,0.005232427442339285,5.196311755533071,2.0328124464875306e-07,0.01693395488989744,0.0374446935673055
Brown,English,M_new_post_OLS_cluster_child,COI_x_cumulative,0.05158417740477847,0.009493357085268316,5.4337129575401955,5.519334191846132e-08,0.03297753942527443,0.07019081538428251
Brown,English,M_new_post_OLS_cluster_child,prior_local_freq_z,0.11239402262739288,0.005012633309041415,22.42215133204835,2.3933406903681546e-111,0.10256944187396588,0.12221860338081988
