child,n_episodes,n_cues,outcome_mean,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,beta_COI,se_COI,beta_cum,se_cum,r2,corpus_label,language
Carl,5983,83,0.625940163797426,-0.04107345755082263,0.04665700510723729,0.37868176962897204,-0.042373035839663,0.03636555757549605,0.07037814742681596,0.038693094585637286,0.30425272432075356,Manchester,English-Manchester
Warren,18281,100,0.5724522728515945,-0.03424490703746274,0.033780499401888785,0.3107031079116128,-0.049915357232496016,0.031203935458435302,0.06825852809262688,0.03297731527149578,0.3312808465228939,Manchester,English-Manchester
Liz,8212,90,0.49184120798830977,-0.026823153740932727,0.07619854995656782,0.7248258205546697,-0.02447539319860368,0.05469662099852987,0.13761611662637593,0.04463518704865517,0.2678144989174396,Manchester,English-Manchester
John,14831,101,0.5314543860832041,-0.02616077638492452,0.0441933117420765,0.5538758047781454,-0.048847788838971326,0.03436568677405601,0.0917409393560061,0.03547392338165117,0.291884338061176,Manchester,English-Manchester
Ruth,9241,92,0.507196190888432,-0.019369176272848083,0.05532965653750725,0.7262872034872002,-0.004057307528001802,0.039204390397741214,0.0992400005197292,0.029991410489916392,0.27846518348670624,Manchester,English-Manchester
Becky,2415,70,0.5300207039337475,0.0004857894369189042,0.05798493857326575,0.9933155166344364,5.541083089469212e-05,0.04064369727801036,0.07382990033544037,0.031652477710118046,0.30169358710697003,Manchester,English-Manchester
Gail,1526,67,0.5334207077326344,0.02327825986252552,0.022792761118587836,0.3071120577011107,0.013828339544224383,0.01542757756299017,0.049153051320804914,0.03767050588919725,0.27066435576892056,Manchester,English-Manchester
Aran,5762,88,0.6291218326969802,0.033591962399680805,0.046765770587493656,0.4725708882687313,0.02151822223001526,0.036497855354417325,0.019196595667116866,0.03331996455181253,0.3255083127604569,Manchester,English-Manchester
Anne,6175,83,0.5509311740890688,0.03791986716361323,0.0406940135328096,0.35142483852215267,0.00941055320485534,0.03151789532404583,0.05843348156727257,0.03984235686117753,0.28243694058359914,Manchester,English-Manchester
Joel,3532,78,0.5931483578708947,0.04370910591311919,0.035917209233258085,0.22362686180131897,0.008708914083895056,0.029778603098061268,0.0190113343492785,0.022585917780465294,0.33798076821332157,Manchester,English-Manchester
Dominic,1575,56,0.6152380952380953,0.050041021216700315,0.029931200429353568,0.09455032107304373,0.026082317418376008,0.03900332878652351,0.05457874808689493,0.02630859524373473,0.2026254376295309,Manchester,English-Manchester
