child,n_episodes,n_cues,outcome_mean,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,beta_COI,se_COI,beta_cum,se_cum,r2,corpus_label,language
Adam,6707,90,0.5822275234829283,0.04000067986958835,0.017197521794884006,0.020020895403512387,0.04131454558509543,0.013542245189155568,0.03349168340192823,0.013593409709750077,0.3133057101481509,Brown,English
Eve,1570,64,0.5929936305732484,-0.05243264626711596,0.03256706169320958,0.10740002190185317,-0.03419052346973603,0.020830107678152365,0.17679461401095964,0.0574650048257439,0.31068618768082523,Brown,English
Sarah,6682,89,0.5296318467524693,0.056982384133801335,0.01762933416170063,0.0012282031353625484,0.028852932275137556,0.01513373563519173,0.036341212920792725,0.01276990550148437,0.3018410021871676,Brown,English
Anne,6175,83,0.417165991902834,0.022389411147209288,0.01903579373943939,0.23952523689960215,2.384998709446806e-05,0.01354088894935511,0.06750699307436889,0.02130726115223637,0.21589017745943007,Manchester,English-Manchester
Aran,5762,88,0.5095452967719541,0.04155075172045557,0.02445151534997102,0.08926042608555512,0.03217758673897056,0.0174853173667068,0.048105110526523435,0.024810029949537182,0.2917294513008818,Manchester,English-Manchester
Becky,2415,70,0.4380952380952381,-0.020995801324890706,0.039065165473036845,0.5909527806442154,-0.010828417863998338,0.026868396523182576,0.08904202506320766,0.023318178673984676,0.25996642708923146,Manchester,English-Manchester
Carl,5983,83,0.5189704161791743,-0.015825433782755548,0.03162163312557526,0.6167496280071572,-0.0291266942288564,0.022887929964404023,0.0803004346074328,0.03390741855306413,0.26290374956717144,Manchester,English-Manchester
Dominic,1575,56,0.48,0.021670201322656783,0.03621835735308462,0.5496258124484094,0.0035186911179487454,0.03227308841473789,0.04022593406712596,0.031900123023953286,0.13173644591697187,Manchester,English-Manchester
Gail,1526,67,0.41546526867627787,0.01745972590826414,0.031943497583317826,0.5846662584345663,0.012946008944949447,0.021195741013603962,0.06703652351882222,0.034615229994076804,0.19605492210426145,Manchester,English-Manchester
Joel,3532,78,0.4909399773499434,0.012337074853891364,0.028775028092641684,0.668110694484777,-0.0012374282239381862,0.025346207616741494,0.046204192621816326,0.02026393592297118,0.2884827687769742,Manchester,English-Manchester
John,14831,101,0.40995212730092373,-0.022553464323691735,0.022971135349877738,0.3261897299296196,-0.03752987607697272,0.0159415243306876,0.09678646081974404,0.023635859447640246,0.23901539359928092,Manchester,English-Manchester
Liz,8212,90,0.39064783244033124,-0.015121501165599273,0.05018062301101232,0.7631541445425898,-0.01711052431628695,0.03581067040394459,0.13668850565532079,0.0261140221404998,0.22491762061784804,Manchester,English-Manchester
Ruth,9241,92,0.40406882372037656,-0.012528633425598174,0.036064604756623125,0.7282952128288588,-0.004341158298448073,0.02560572250790906,0.09264369922154568,0.022391351575864225,0.253816004119499,Manchester,English-Manchester
Warren,18281,100,0.45621136699305287,-0.022386925463322428,0.01788393910891822,0.21064661248034167,-0.03424236400756717,0.018699262025673773,0.07444411774866869,0.024855142521706248,0.28358956470187535,Manchester,English-Manchester
Abigail,4296,94,0.4231843575418994,0.048967004525780566,0.03279055171369587,0.1353517046000864,0.018068431007259016,0.02310892783639509,0.026636380671264774,0.029463561923651824,0.314895856047839,English-UK,English-UK
Anne,2042,71,0.41723800195886385,0.040733961730530455,0.02466647864822988,0.09865908493189306,0.019978760126487,0.017067519322234614,0.06245075773964884,0.019412762494510894,0.16676779373439488,English-UK,English-UK
Aran,792,54,0.5252525252525253,0.07824440191604129,0.03583500732864667,0.029001752809010014,0.06672325437110874,0.03152879980592618,0.08223519211453068,0.03438865513042196,0.30945786316818524,English-UK,English-UK
Becky,627,55,0.5151515151515151,-0.04588937189550382,0.03836818384013817,0.2316861440391409,-0.005370006447349834,0.02343558867877514,0.08216450786534918,0.020474971927730467,0.23444029110210562,English-UK,English-UK
Carl,2512,74,0.5473726114649682,0.027563739999423086,0.033402099431684554,0.4092524870653037,-0.01894763191027577,0.025779797258762786,0.042435704806533414,0.03388005393940739,0.2967868556016581,English-UK,English-UK
Dominic,1536,59,0.4798177083333333,0.004729241548292379,0.028987057625387457,0.8704002487299158,-0.008637382103117541,0.020624937358308053,0.06323992599774508,0.02488144467065402,0.13213386876763433,English-UK,English-UK
Eleanor,43709,121,0.4436614884806333,0.01856794817313345,0.017149765735017777,0.2789442755931474,-0.001829590017694998,0.009960103753605853,0.06584232509528676,0.012497626544684377,0.2671402428289237,English-UK,English-UK
Frances,1451,74,0.49758787043418334,-0.00041582263003231423,0.03241530398979349,0.9897650394560642,-0.006258634491710574,0.02020793562722667,0.030819023525820305,0.02179910548000534,0.31978456269342037,English-UK,English-UK
Fraser,13062,100,0.45751033532384017,4.472873522872974e-05,0.012244543153196352,0.9970853720350698,-0.008686680410026525,0.005311007604363745,0.08778459805775739,0.010233659752238692,0.2405998682009135,English-UK,English-UK
Geoffrey,1853,74,0.43658931462493256,0.05079850024540375,0.026627832185603634,0.05642716170088175,0.03598862173199686,0.015769262915803148,0.04832790136284462,0.021958180071552234,0.3136323443677471,English-UK,English-UK
Helen,515,54,0.5145631067961165,0.1393509400709634,0.022197011746737612,3.4314469583882157e-10,0.06816599855433135,0.017697141305376664,-0.04976302413421104,0.02913498623347866,0.3363886277842305,English-UK,English-UK
