child,n_episodes,n_cues,outcome_mean,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,beta_COI,se_COI,beta_cum,se_cum,r2,corpus_label,language,n_post,n_cues_post,age_min_post,age_max_post,obs_window_months,cumulative_min,cumulative_max,cumulative_range,cumulative_mean
Adam,6707,90,0.5822275234829283,0.0400006798695883,0.017197521794884,0.0200208954035123,0.0413145455850954,0.0135422451891555,0.0334916834019282,0.01359340970975,0.3133057101481509,Brown,English,6707,90,27.131406044678055,62.39421813403417,35.26281208935612,0,1780,1780,435.3080363799016
Eve,1570,64,0.5929936305732484,-0.0524326462671159,0.0325670616932095,0.1074000219018531,-0.034190523469736,0.0208301076781523,0.1767946140109596,0.0574650048257439,0.3106861876808252,Brown,English,1570,64,24.0,27.0,3.0,0,743,743,281.28343949044586
Sarah,6682,89,0.5296318467524693,0.0569823841338013,0.0176293341617006,0.0012282031353625,0.0288529322751375,0.0151337356351917,0.0363412129207927,0.0127699055014843,0.3018410021871676,Brown,English,6682,89,27.16425755584757,60.98554533508541,33.82128777923784,0,1911,1911,425.20996707572584
Anne,6175,83,0.417165991902834,0.0223894111472092,0.0190357937394393,0.2395252368996021,2.384998709446806e-05,0.0135408889493551,0.0675069930743688,0.0213072611522363,0.21589017745943,Manchester,English-Manchester,6175,83,24.492772667542702,33.32851511169514,8.835742444152437,0,1579,1579,371.7638866396761
Aran,5762,88,0.5095452967719541,0.0415507517204555,0.024451515349971,0.0892604260855551,0.0321775867389705,0.0174853173667068,0.0481051105265234,0.0248100299495371,0.2917294513008818,Manchester,English-Manchester,5762,88,24.06570302233903,34.91984231274639,10.85413929040736,0,1577,1577,365.46216591461297
Becky,2415,70,0.4380952380952381,-0.0209958013248907,0.0390651654730368,0.5909527806442154,-0.0108284178639983,0.0268683965231825,0.0890420250632076,0.0233181786739846,0.2599664270892314,Manchester,English-Manchester,2415,70,25.36136662286465,35.49277266754271,10.131406044678059,0,648,648,130.5639751552795
Carl,5983,83,0.5189704161791743,-0.0158254337827555,0.0316216331255752,0.6167496280071572,-0.0291266942288564,0.022887929964404,0.0803004346074328,0.0339074185530641,0.2629037495671714,Manchester,English-Manchester,5983,83,24.197109067017085,32.49277266754271,8.295663600525625,0,1536,1536,340.8194885508942
Dominic,1575,56,0.48,0.0216702013226567,0.0362183573530846,0.5496258124484094,0.0035186911179487,0.0322730884147378,0.0402259340671259,0.0319001230239532,0.1317364459169718,Manchester,English-Manchester,1575,56,25.62417871222076,34.52562417871222,8.90144546649146,0,446,446,129.06285714285715
Gail,1526,67,0.4154652686762778,0.0174597259082641,0.0319434975833178,0.5846662584345663,0.0129460089449494,0.0211957410136039,0.0670365235188222,0.0346152299940768,0.1960549221042614,Manchester,English-Manchester,1526,67,24.62417871222076,35.39421813403417,10.770039421813408,0,334,334,80.23394495412845
Joel,3532,78,0.4909399773499434,0.0123370748538913,0.0287750280926416,0.668110694484777,-0.0012374282239381,0.0253462076167414,0.0462041926218163,0.0202639359229711,0.2884827687769742,Manchester,English-Manchester,3532,78,24.39421813403417,34.36136662286465,9.967148488830482,0,966,966,213.2083805209513
John,14831,101,0.4099521273009237,-0.0225534643236917,0.0229711353498777,0.3261897299296196,-0.0375298760769727,0.0159415243306876,0.096786460819744,0.0236358594476402,0.2390153935992809,Manchester,English-Manchester,14831,101,24.42706964520368,34.78843626806833,10.36136662286465,0,3855,3855,866.2063920167217
Liz,8212,90,0.3906478324403312,-0.0151215011655992,0.0501806230110123,0.7631541445425898,-0.0171105243162869,0.0358106704039445,0.1366885056553207,0.0261140221404998,0.224917620617848,Manchester,English-Manchester,8212,90,24.229960578186596,34.59132720105125,10.361366622864654,0,1870,1870,375.10557720409156
Ruth,9241,92,0.4040688237203765,-0.0125286334255981,0.0360646047566231,0.7282952128288588,-0.004341158298448,0.025605722507909,0.0926436992215456,0.0223913515758642,0.253816004119499,Manchester,English-Manchester,9241,92,24.16425755584757,35.68988173455979,11.52562417871222,0,2006,2006,384.18006709230605
Warren,18281,100,0.4562113669930528,-0.0223869254633224,0.0178839391089182,0.2106466124803416,-0.0342423640075671,0.0186992620256737,0.0744441177486686,0.0248551425217062,0.2835895647018753,Manchester,English-Manchester,18281,100,24.09855453350854,33.65703022339028,9.558475689881739,0,4034,4034,864.4631037689404
Abigail,4296,94,0.4231843575418994,0.0489670045257805,0.0327905517136958,0.1353517046000864,0.018068431007259,0.023108927836395,0.0266363806712647,0.0294635619236518,0.314895856047839,English-UK,English-UK,4296,94,24.032851511169515,56.0,31.967148488830485,0,786,786,146.26396648044692
Anne,2042,71,0.4172380019588638,0.0407339617305304,0.0246664786482298,0.098659084931893,0.019978760126487,0.0170675193222346,0.0624507577396488,0.0194127624945108,0.1667677937343948,English-UK,English-UK,2042,71,24.492772667542702,32.85413929040736,8.361366622864658,0,638,638,181.90989226248774
Aran,792,54,0.5252525252525253,0.0782444019160412,0.0358350073286466,0.02900175280901,0.0667232543711087,0.0315287998059261,0.0822351921145306,0.0343886551304219,0.3094578631681852,English-UK,English-UK,792,54,27.492772667542702,32.62417871222076,5.131406044678059,0,311,311,95.10858585858585
Becky,627,55,0.5151515151515151,-0.0458893718955038,0.0383681838401381,0.2316861440391409,-0.0053700064473498,0.0234355886787751,0.0821645078653491,0.0204749719277304,0.2344402911021056,English-UK,English-UK,627,55,28.62417871222076,35.49277266754271,6.868593955321948,0,181,181,38.111642743221694
Carl,2512,74,0.5473726114649682,0.027563739999423,0.0334020994316845,0.4092524870653037,-0.0189476319102757,0.0257797972587627,0.0424357048065334,0.0338800539394073,0.2967868556016581,English-UK,English-UK,2512,74,29.26281208935611,32.49277266754271,3.229960578186599,0,664,664,156.45820063694268
Dominic,1536,59,0.4798177083333333,0.0047292415482923,0.0289870576253874,0.8704002487299158,-0.0086373821031175,0.020624937358308,0.063239925997745,0.024881444670654,0.1321338687676343,English-UK,English-UK,1536,59,25.62417871222076,34.52562417871222,8.90144546649146,0,438,438,125.48697916666667
Eleanor,43709,121,0.4436614884806333,0.0185679481731334,0.0171497657350177,0.2789442755931474,-0.0018295900176949,0.0099601037536058,0.0658423250952867,0.0124976265446843,0.2671402428289237,English-UK,English-UK,43709,121,24.06570302233903,36.98554533508541,12.919842312746383,0,12234,12234,2475.063556704569
Frances,1451,74,0.4975878704341833,-0.0004158226300323,0.0324153039897934,0.9897650394560642,-0.0062586344917105,0.0202079356272266,0.0308190235258203,0.0217991054800053,0.3197845626934203,English-UK,English-UK,1451,74,30.09855453350854,58.26281208935611,28.16425755584757,0,328,328,63.50585802894555
Fraser,13062,100,0.4575103353238401,4.472873522872974e-05,0.0122445431531963,0.9970853720350698,-0.0086866804100265,0.0053110076043637,0.0877845980577573,0.0102336597522386,0.2405998682009135,English-UK,English-UK,13062,100,24.032851511169515,37.0,12.967148488830485,0,3775,3775,791.9502373296585
Geoffrey,1853,74,0.4365893146249325,0.0507985002454037,0.0266278321856036,0.0564271617008817,0.0359886217319968,0.0157692629158031,0.0483279013628446,0.0219581800715522,0.3136323443677471,English-UK,English-UK,1853,74,29.9526938239159,59.7227332457293,29.7700394218134,0,423,423,87.09606044252564
Helen,515,54,0.5145631067961165,0.1393509400709634,0.0221970117467376,3.431446958388215e-10,0.0681659985543313,0.0176971413053766,-0.049763024134211,0.0291349862334786,0.3363886277842305,English-UK,English-UK,515,54,36.19710906701708,60.62417871222076,24.42706964520368,0,112,112,22.50873786407767
