threshold_months,corpus,n_children,n_post,n_cues,spec,predictor,beta,se,t,p,ci95_low,ci95_high,tau2,I2_pct
12.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,const,0.5300364849999455,0.01138656320034183,46.54929460928417,0.0,0.5077192312195864,0.5523537387803046,,
12.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,COI_z,0.03546115901658374,0.012495786710531738,2.8378492557572432,0.004541862718233567,0.010969867105447301,0.05995245092772018,,
12.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,cumulative_cue_attempts_z,0.033205954421325026,0.011707535173835722,2.8362891017004572,0.004564111081604232,0.010259607132871131,0.05615230170977892,,
12.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,COI_x_cumulative,0.04982997309749068,0.013790034315131438,3.613477092135556,0.0003021180588992062,0.022802002494261592,0.07685794370071977,,
12.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,prior_local_freq_z,0.10929582312057415,0.016690100091130405,6.548542101233837,5.810147828187937e-11,0.07658382804358987,0.14200781819755842,,
12.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,log_cue_freq_z,0.13541492528787993,0.01957303055841443,6.91844448327728,4.566296703351221e-12,0.09705249032508576,0.1737773602506741,,
12.0,English-UK,13,240308.0,137.0,SPEC1b_corpus_refit,const,0.3943747700250684,0.009005489367668979,43.79270841637228,0.0,0.3767243352012788,0.41202520484885796,,
12.0,English-UK,13,240308.0,137.0,SPEC1b_corpus_refit,COI_z,0.00982202896588745,0.008849180928416949,1.1099365065919762,0.2670263877956003,-0.007522046946488489,0.02716610487826339,,
12.0,English-UK,13,240308.0,137.0,SPEC1b_corpus_refit,cumulative_cue_attempts_z,0.031077135448582684,0.011018683456586817,2.820403687157852,0.004796326906956112,0.009480912716625212,0.052673358180540156,,
12.0,English-UK,13,240308.0,137.0,SPEC1b_corpus_refit,COI_x_cumulative,0.02546317981316245,0.009897594867127477,2.5726633747894034,0.010091931214445394,0.006064250340024092,0.04486210928630081,,
12.0,English-UK,13,240308.0,137.0,SPEC1b_corpus_refit,prior_local_freq_z,0.14836465295795673,0.015636089663446998,9.488603362565366,2.34150304282237e-21,0.1177184803585616,0.17901082555735187,,
12.0,English-UK,13,240308.0,137.0,SPEC1b_corpus_refit,log_cue_freq_z,0.10437860892596605,0.021181855954063977,4.9277366984426045,8.318761638223841e-07,0.06286293413028535,0.14589428372164676,,
12.0,Brown,2,,,SPEC1c_meta_per_corpus,pooled_COI_x_cumulative,0.0482810110520767,0.012310313890710774,,8.781817758474197e-05,,,0.0,0.0
12.0,English-UK,13,,,SPEC1c_meta_per_corpus,pooled_COI_x_cumulative,0.03332283995824625,0.013714785052517215,,0.015111243835470578,,,0.0014871497549739316,70.81136457535102
12.0,ALL,15,,,SPEC1c_meta_overall,pooled_COI_x_cumulative,0.0358551631209113,0.011429339309720163,,0.0017061861357967611,,,0.0011497319162432967,68.30241345991192
9.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,const,0.5300364849999455,0.01138656320034183,46.54929460928417,0.0,0.5077192312195864,0.5523537387803046,,
9.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,COI_z,0.03546115901658374,0.012495786710531738,2.8378492557572432,0.004541862718233567,0.010969867105447301,0.05995245092772018,,
9.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,cumulative_cue_attempts_z,0.033205954421325026,0.011707535173835722,2.8362891017004572,0.004564111081604232,0.010259607132871131,0.05615230170977892,,
9.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,COI_x_cumulative,0.04982997309749068,0.013790034315131438,3.613477092135556,0.0003021180588992062,0.022802002494261592,0.07685794370071977,,
9.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,prior_local_freq_z,0.10929582312057415,0.016690100091130405,6.548542101233837,5.810147828187937e-11,0.07658382804358987,0.14200781819755842,,
9.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,log_cue_freq_z,0.13541492528787993,0.01957303055841443,6.91844448327728,4.566296703351221e-12,0.09705249032508576,0.1737773602506741,,
9.0,Manchester,8,63800.0,110.0,SPEC1b_corpus_refit,const,0.4376379650177782,0.010568135792550358,41.411084566710045,0.0,0.4169247994806508,0.45835113055490556,,
9.0,Manchester,8,63800.0,110.0,SPEC1b_corpus_refit,COI_z,-0.01830791061234635,0.014019586419850644,-1.3058809342923108,0.19159305117032843,-0.04578579507340045,0.009169973848707748,,
9.0,Manchester,8,63800.0,110.0,SPEC1b_corpus_refit,cumulative_cue_attempts_z,0.0517959191865493,0.014193762715122597,3.649202838325871,0.0002630553401306371,0.023976655459801557,0.07961518291329704,,
9.0,Manchester,8,63800.0,110.0,SPEC1b_corpus_refit,COI_x_cumulative,-0.01128029184549159,0.014497730086997571,-0.7780729657540271,0.43652599909264733,-0.03969532067358957,0.017134736982606397,,
9.0,Manchester,8,63800.0,110.0,SPEC1b_corpus_refit,prior_local_freq_z,0.14761038973638985,0.01645339024901269,8.971427013058747,2.9269737744593514e-19,0.11536233742474246,0.17985844204803725,,
9.0,Manchester,8,63800.0,110.0,SPEC1b_corpus_refit,log_cue_freq_z,0.09979964209050739,0.02105230973605999,4.7405554707169735,2.131330890657747e-06,0.05853787321644788,0.1410614109645669,,
9.0,English-UK,17,291769.0,137.0,SPEC1b_corpus_refit,const,0.39347711637868604,0.010011763949597827,39.30147757773415,0.0,0.3738544196157578,0.41309981314161426,,
9.0,English-UK,17,291769.0,137.0,SPEC1b_corpus_refit,COI_z,0.007974922941083228,0.009508799636854522,0.8386887142067602,0.4016440130875204,-0.010661981883359182,0.026611827765525637,,
9.0,English-UK,17,291769.0,137.0,SPEC1b_corpus_refit,cumulative_cue_attempts_z,0.025784111855763715,0.010306654611605078,2.501695538213859,0.012360016673587626,0.005583440015924104,0.045984783695603326,,
9.0,English-UK,17,291769.0,137.0,SPEC1b_corpus_refit,COI_x_cumulative,0.02339414256554481,0.009969955235570932,2.3464641528257713,0.01895248921192115,0.0038533893763492318,0.04293489575474038,,
9.0,English-UK,17,291769.0,137.0,SPEC1b_corpus_refit,prior_local_freq_z,0.15233973487406607,0.017741472239666246,8.586645618589987,8.95452982507229e-18,0.11756708825160306,0.1871123814965291,,
9.0,English-UK,17,291769.0,137.0,SPEC1b_corpus_refit,log_cue_freq_z,0.106317259821999,0.02195132946417782,4.843317576527526,1.2768895397308176e-06,0.06329344465943754,0.14934107498456045,,
9.0,Brown,2,,,SPEC1c_meta_per_corpus,pooled_COI_x_cumulative,0.0482810110520767,0.012310313890710774,,8.781817758474197e-05,,,0.0,0.0
9.0,English-UK,17,,,SPEC1c_meta_per_corpus,pooled_COI_x_cumulative,0.029214037490620706,0.012119518028068169,,0.015930890110904317,,,0.0014535161406496232,68.82811112107012
9.0,Manchester,8,,,SPEC1c_meta_per_corpus,pooled_COI_x_cumulative,-0.003795490791640234,0.009665877235399375,,0.6945639358160693,,,0.0,0.0
