scenario,predictor,beta,se,t,p,ci95_low,ci95_high,n,n_cues,n_children
UK_full_post_MSR,const,0.39601792012170794,0.010218721659391953,38.754154709530695,0.0,0.37598959370126034,0.41604624654215555,303980,137,41
UK_full_post_MSR,COI_z,0.007896714512111838,0.009335826275463309,0.8458506273693432,0.39763607837678117,-0.010401168753718961,0.026194597777942637,303980,137,41
UK_full_post_MSR,cumulative_cue_attempts_z,0.022482852637200134,0.00964192335901656,2.3317808906016135,0.01971222082420336,0.0035850301118322166,0.04138067516256805,303980,137,41
UK_full_post_MSR,COI_x_cumulative,0.024256509670845992,0.0095744676844513,2.533457782748379,0.01129433442742769,0.00549089783817884,0.043022121503513144,303980,137,41
UK_full_post_MSR,prior_local_freq_z,0.1532330650883033,0.018150279971503203,8.44246288921639,3.107200898102965e-17,0.11765917003483836,0.18880696014176826,303980,137,41
UK_full_post_MSR,log_cue_freq_z,0.10775988214603072,0.021860811309656666,4.929363353428219,8.24980140990557e-07,0.06491347930627776,0.15060628498578366,303980,137,41
UK_24-36_lifetime_cum,const,0.3804126119263315,0.011277122757198792,33.7331268016475,1.8900772062729268e-249,0.3583098574729849,0.40251536637967816,243120,136,28
UK_24-36_lifetime_cum,COI_z,0.006625472967528963,0.01057403575743659,0.6265793987758504,0.5309349759192827,-0.014099256288285462,0.02735020222334339,243120,136,28
UK_24-36_lifetime_cum,cumulative_cue_attempts_z,0.022032340114790466,0.010008653975473247,2.2013289867730386,0.02771274223306102,0.0024157387891392684,0.041648941440441664,243120,136,28
UK_24-36_lifetime_cum,COI_x_cumulative,0.02107413505946259,0.01003070277664229,2.1009629662775247,0.035644217292562404,0.0014143188776177817,0.040733951241307395,243120,136,28
UK_24-36_lifetime_cum,prior_local_freq_z,0.15437504153944906,0.017576469276243838,8.783051881079476,1.5909774395468127e-18,0.11992579478263635,0.18882428829626177,243120,136,28
UK_24-36_lifetime_cum,log_cue_freq_z,0.09794631577292535,0.02117543825968129,4.625468175523822,3.7375319341488565e-06,0.056443219427098505,0.1394494121187522,243120,136,28
UK_24-36_local_cum,const,0.38043999361556324,0.011317549451394729,33.615050258841976,1.01112921915109e-247,0.35825800429757854,0.40262198293354795,243120,136,28
UK_24-36_local_cum,COI_z,0.006579359794005114,0.010538177201911598,0.6243356576706297,0.5324071710436602,-0.014075087984442698,0.027233807572452928,243120,136,28
UK_24-36_local_cum,cumulative_cue_attempts_z,0.021503991391287437,0.009902147279543003,2.171649318498106,0.029882124021409395,0.0020961393537718767,0.040911843428802996,243120,136,28
UK_24-36_local_cum,COI_x_cumulative,0.021092409568755334,0.009947301960954977,2.1204151288004516,0.0339710519660671,0.0015960559819389215,0.04058876315557175,243120,136,28
UK_24-36_local_cum,prior_local_freq_z,0.1546045053360588,0.01761426255473765,8.777234065610957,1.6754407424702981e-18,0.12008118511454052,0.18912782555757707,243120,136,28
UK_24-36_local_cum,log_cue_freq_z,0.09819769807976719,0.02115727396975405,4.641320910252822,3.461889898850543e-06,0.05673020308800248,0.1396651930715319,243120,136,28
Manchester_full_post_MSR,const,0.44236727950699906,0.010359171959384109,42.70295746044353,0.0,0.42206367555694896,0.46267088345704915,77533,111,11
Manchester_full_post_MSR,COI_z,-0.016838626966058437,0.013064253088727508,-1.2889085087143366,0.1974298956288698,-0.042444092504880515,0.008766838572763638,77533,111,11
Manchester_full_post_MSR,cumulative_cue_attempts_z,0.04483296213924879,0.013634867133221304,3.2881114059420087,0.0010086191840861004,0.01810911362414614,0.07155681065435143,77533,111,11
Manchester_full_post_MSR,COI_x_cumulative,-0.006510507431345962,0.013617909740564803,-0.47808419613419606,0.6325902799337131,-0.033201120067570165,0.020180105204878243,77533,111,11
Manchester_full_post_MSR,prior_local_freq_z,0.14540197077546224,0.017209284295918555,8.44904228875727,2.9370208184922875e-17,0.11167239335575113,0.17913154819517335,77533,111,11
Manchester_full_post_MSR,log_cue_freq_z,0.10484679417467044,0.02162419150928225,4.848587940486221,1.243434060386636e-06,0.062464157621680394,0.14722943072766048,77533,111,11
