child,n_files,n_utt_child,n_utt_caregiver,mlu_child,mlu_caregiver,n_caregiver_tokens,types_caregiver_lemmas,ttr_caregiver,n_post_episodes,n_files_post,age_min_post,age_max_post,obs_window_months,episodes_per_month,episodes_per_file,corpus
Abigail,10.0,10557.0,13678.0,2.1683243345647436,4.097017107764293,55089,2666,0.04839441630815589,4304.0,8.0,24.032851511169515,56.0,31.967148488830485,134.63822090681137,538.0,English-UK
Anne,13.0,10489.0,17091.0,1.8393555153017447,3.505529225908373,59143,1628,0.02752650355917015,2042.0,8.0,24.492772667542702,32.85413929040736,8.361366622864658,244.21845041647003,255.25,English-UK
Aran,5.0,3321.0,6213.0,2.2890695573622404,4.940447448897473,30567,1485,0.048581803906173324,792.0,4.0,27.492772667542702,32.62417871222076,5.131406044678059,154.34366197183087,198.0,English-UK
Becky,6.0,4981.0,4562.0,2.51074081509737,3.5982025427444104,16231,926,0.057051321545191304,629.0,6.0,28.62417871222076,35.49277266754271,6.868593955321948,91.5762387602831,104.83333333333333,English-UK
Benjamin,2.0,741.0,636.0,2.4345479082321186,3.099056603773585,1831,429,0.2342981977061715,46.0,2.0,38.9526938239159,60.78843626806833,21.83574244415243,2.106637780586147,23.0,English-UK
Betty,1.0,180.0,103.0,1.4333333333333333,3.0679611650485437,303,122,0.40264026402640263,,,,,,,,English-UK
Carl,10.0,10964.0,10754.0,2.332907697920467,3.5989399293286217,38344,1386,0.03614646359273941,2512.0,4.0,29.26281208935611,32.49277266754271,3.229960578186599,777.7184703010571,628.0,English-UK
Darren,2.0,654.0,785.0,2.448012232415902,3.4127388535031846,2492,462,0.1853932584269663,22.0,1.0,39.36136662286465,39.36136662286465,0.1,220.0,22.0,English-UK
Debbie,3.0,615.0,641.0,2.580487804878049,3.3931357254290173,2033,360,0.17707820954254797,25.0,2.0,42.78843626806833,47.91984231274639,5.131406044678059,4.871959026888601,12.5,English-UK
Dominic,16.0,10941.0,17499.0,1.8601590348231423,3.4177381564660836,58879,1520,0.025815655836546138,1536.0,12.0,25.62417871222076,34.52562417871222,8.90144546649146,172.55624446412753,128.0,English-UK
Eleanor,181.0,192968.0,227555.0,1.9324136644417726,3.4355122937311857,769100,6235,0.008106878169288779,43725.0,180.0,24.06570302233903,36.98554533508541,12.919842312746383,3384.3292310821816,242.91666666666666,English-UK
Ellen,1.0,570.0,2.0,2.787719298245614,1.0,1,1,1.0,,,,,,,,English-UK
Elspeth,4.0,946.0,530.0,2.5,3.2754716981132077,1645,337,0.2048632218844985,32.0,1.0,60.09855453350854,60.09855453350854,0.1,320.0,32.0,English-UK
Frances,6.0,6913.0,5487.0,2.47099667293505,4.09896118097321,22116,1600,0.07234581298607343,1452.0,5.0,30.09855453350854,58.26281208935611,28.16425755584757,51.55470536089208,290.4,English-UK
Fraser,94.0,67043.0,70638.0,1.9784466685560014,3.6730938022027804,258043,3700,0.014338695488736373,13064.0,83.0,24.032851511169515,37.0,12.967148488830485,1007.4689906769356,157.3975903614458,English-UK
Gail,1.0,532.0,1022.0,2.0921052631578947,3.5909980430528377,3590,536,0.14930362116991644,55.0,1.0,31.657030223390276,31.657030223390276,0.1,550.0,55.0,English-UK
Gary,2.0,687.0,314.0,2.363901018922853,2.929936305732484,878,234,0.26651480637813213,33.0,1.0,41.82128777923784,41.82128777923784,0.1,330.0,33.0,English-UK
Gavin,4.0,1000.0,786.0,2.453,3.614503816793893,2740,449,0.16386861313868614,71.0,3.0,39.62417871222076,57.59132720105125,17.96714848883049,3.951656549403934,23.666666666666668,English-UK
Geoffrey,6.0,5310.0,7856.0,2.1052730696798494,3.6011965376782076,27577,1582,0.05736664611814193,1854.0,4.0,29.9526938239159,59.7227332457293,29.7700394218134,62.27737806223792,463.5,English-UK
Gerald,2.0,543.0,487.0,2.281767955801105,3.6344969199178645,1699,356,0.20953502060035314,15.0,1.0,41.0,41.0,0.1,150.0,15.0,English-UK
Gina,30.0,19215.0,22847.0,2.5824616185271925,3.870311200595264,87502,2270,0.025942264176818816,,,,,,,,English-UK
Harriet,1.0,177.0,224.0,3.367231638418079,4.120535714285714,889,228,0.25646794150731156,27.0,1.0,58.09855453350854,58.09855453350854,0.1,270.0,27.0,English-UK
Helen,100.0,113941.0,122919.0,2.604874452567557,3.8516177320023757,470076,5607,0.011927858473948894,516.0,8.0,36.19710906701708,60.62417871222076,24.42706964520368,21.124105653881326,64.5,English-UK
Iris,2.0,791.0,537.0,2.2123893805309733,3.154562383612663,1593,316,0.19836785938480853,12.0,1.0,56.13140604467806,56.13140604467806,0.1,120.0,12.0,English-UK
Jack,6.0,3555.0,3392.0,1.8047819971870604,3.7517688679245285,12283,1132,0.09215989579093055,401.0,4.0,24.06570302233903,57.03285151116951,32.96714848883048,12.16362404336735,100.25,English-UK
