child,n_episodes,n_cues,outcome_mean,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,beta_COI,se_COI,beta_cum,se_cum,r2,corpus_label,language,obs_window_months,age_min_post,age_max_post,subcorpus,n_files_in_corpus_dir,group
Adam,6707,90,0.5822275234829283,0.0400006798695883,0.017197521794884,0.0200208954035123,0.0413145455850954,0.0135422451891555,0.0334916834019282,0.01359340970975,0.3133057101481509,Brown,English,35.26281208935612,27.131406044678055,62.39421813403417,Brown,0,Brown
Eve,1570,64,0.5929936305732484,-0.0524326462671159,0.0325670616932095,0.1074000219018531,-0.034190523469736,0.0208301076781523,0.1767946140109596,0.0574650048257439,0.3106861876808252,Brown,English,3.0,24.0,27.0,Brown,0,Brown
Sarah,6682,89,0.5296318467524693,0.0569823841338013,0.0176293341617006,0.0012282031353625,0.0288529322751375,0.0151337356351917,0.0363412129207927,0.0127699055014843,0.3018410021871676,Brown,English,33.82128777923784,27.16425755584757,60.98554533508541,Brown,0,Brown
Anne,6175,83,0.417165991902834,0.0223894111472092,0.0190357937394393,0.2395252368996021,2.384998709446806e-05,0.0135408889493551,0.0675069930743688,0.0213072611522363,0.21589017745943,Manchester,English-Manchester,8.835742444152437,24.492772667542702,33.32851511169514,Manchester,35,Manchester
Aran,5762,88,0.5095452967719541,0.0415507517204555,0.024451515349971,0.0892604260855551,0.0321775867389705,0.0174853173667068,0.0481051105265234,0.0248100299495371,0.2917294513008818,Manchester,English-Manchester,10.85413929040736,24.06570302233903,34.91984231274639,Manchester,33,Manchester
Becky,2415,70,0.4380952380952381,-0.0209958013248907,0.0390651654730368,0.5909527806442154,-0.0108284178639983,0.0268683965231825,0.0890420250632076,0.0233181786739846,0.2599664270892314,Manchester,English-Manchester,10.13140604467806,25.36136662286465,35.49277266754271,Manchester,34,Manchester
Carl,5983,83,0.5189704161791743,-0.0158254337827555,0.0316216331255752,0.6167496280071572,-0.0291266942288564,0.022887929964404,0.0803004346074328,0.0339074185530641,0.2629037495671714,Manchester,English-Manchester,8.295663600525625,24.197109067017085,32.49277266754271,Manchester,33,Manchester
Dominic,1575,56,0.48,0.0216702013226567,0.0362183573530846,0.5496258124484094,0.0035186911179487,0.0322730884147378,0.0402259340671259,0.0319001230239532,0.1317364459169718,Manchester,English-Manchester,8.90144546649146,25.62417871222076,34.52562417871222,Manchester,35,Manchester
Gail,1526,67,0.4154652686762778,0.0174597259082641,0.0319434975833178,0.5846662584345663,0.0129460089449494,0.0211957410136039,0.0670365235188222,0.0346152299940768,0.1960549221042614,Manchester,English-Manchester,10.770039421813408,24.62417871222076,35.39421813403417,Manchester,34,Manchester
Joel,3532,78,0.4909399773499434,0.0123370748538913,0.0287750280926416,0.668110694484777,-0.0012374282239381,0.0253462076167414,0.0462041926218163,0.0202639359229711,0.2884827687769742,Manchester,English-Manchester,9.967148488830482,24.39421813403417,34.36136662286465,Manchester,35,Manchester
John,14831,101,0.4099521273009237,-0.0225534643236917,0.0229711353498777,0.3261897299296196,-0.0375298760769727,0.0159415243306876,0.096786460819744,0.0236358594476402,0.2390153935992809,Manchester,English-Manchester,10.36136662286465,24.42706964520368,34.78843626806833,Manchester,32,Manchester
Liz,8212,90,0.3906478324403312,-0.0151215011655992,0.0501806230110123,0.7631541445425898,-0.0171105243162869,0.0358106704039445,0.1366885056553207,0.0261140221404998,0.224917620617848,Manchester,English-Manchester,10.361366622864654,24.229960578186596,34.59132720105125,Manchester,34,Manchester
Ruth,9241,92,0.4040688237203765,-0.0125286334255981,0.0360646047566231,0.7282952128288588,-0.004341158298448,0.025605722507909,0.0926436992215456,0.0223913515758642,0.253816004119499,Manchester,English-Manchester,11.52562417871222,24.16425755584757,35.68988173455979,Manchester,33,Manchester
Warren,18281,100,0.4562113669930528,-0.0223869254633224,0.0178839391089182,0.2106466124803416,-0.0342423640075671,0.0186992620256737,0.0744441177486686,0.0248551425217062,0.2835895647018753,Manchester,English-Manchester,9.55847568988174,24.09855453350854,33.65703022339028,Manchester,36,Manchester
Abigail,4296,94,0.4231843575418994,0.0489670045257805,0.0327905517136958,0.1353517046000864,0.018068431007259,0.023108927836395,0.0266363806712647,0.0294635619236518,0.314895856047839,English-UK,English-UK,31.967148488830485,24.032851511169515,56.0,UK_short_observation (n_files<30),10,UK_short_obs
Eleanor,43709,121,0.4436614884806333,0.0185679481731334,0.0171497657350177,0.2789442755931474,-0.0018295900176949,0.0099601037536058,0.0658423250952867,0.0124976265446843,0.2671402428289237,English-UK,English-UK,12.919842312746384,24.06570302233903,36.98554533508541,UK_long_longitudinal (n_files≥30),181,UK_long_long
Frances,1451,74,0.4975878704341833,-0.0004158226300323,0.0324153039897934,0.9897650394560642,-0.0062586344917105,0.0202079356272266,0.0308190235258203,0.0217991054800053,0.3197845626934203,English-UK,English-UK,28.16425755584757,30.09855453350854,58.26281208935611,UK_short_observation (n_files<30),10,UK_short_obs
Fraser,13062,100,0.4575103353238401,4.472873522872974e-05,0.0122445431531963,0.9970853720350698,-0.0086866804100265,0.0053110076043637,0.0877845980577573,0.0102336597522386,0.2405998682009135,English-UK,English-UK,12.967148488830484,24.032851511169515,37.0,UK_long_longitudinal (n_files≥30),217,UK_long_long
Geoffrey,1853,74,0.4365893146249325,0.0507985002454037,0.0266278321856036,0.0564271617008817,0.0359886217319968,0.0157692629158031,0.0483279013628446,0.0219581800715522,0.3136323443677471,English-UK,English-UK,29.7700394218134,29.9526938239159,59.7227332457293,UK_short_observation (n_files<30),9,UK_short_obs
Helen,515,54,0.5145631067961165,0.1393509400709634,0.0221970117467376,3.431446958388215e-10,0.0681659985543313,0.0176971413053766,-0.049763024134211,0.0291349862334786,0.3363886277842305,English-UK,English-UK,24.42706964520368,36.19710906701708,60.62417871222076,UK_long_longitudinal (n_files≥30),184,UK_long_long
Jack,401,47,0.3516209476309227,0.0112869058533567,0.0390235118363477,0.772402718293309,-0.0222311134139679,0.030149084504919,-0.0006485627506796,0.0460648798827255,0.303362372982959,English-UK,English-UK,32.96714848883048,24.06570302233903,57.03285151116951,UK_short_observation (n_files<30),10,UK_short_obs
Jason,320,45,0.353125,0.0788506539378073,0.0403760448438525,0.0508306356808585,-0.01745215778221,0.0207674489300393,0.0881442918126296,0.03758022641399,0.1961981635564735,English-UK,English-UK,17.7227332457293,24.26281208935611,41.98554533508541,UK_short_observation (n_files<30),10,UK_short_obs
Jonathan,240,39,0.55,0.085680576612784,0.059134744666222,0.1473643536691933,0.0848032601100692,0.0346573303342193,-0.0280454353520219,0.0311003256996419,0.2811549696042917,English-UK,English-UK,19.50722733245729,35.9526938239159,55.45992115637319,UK_short_observation (n_files<30),10,UK_short_obs
Laura,588,53,0.4370748299319728,0.1417570009488882,0.0675606370421777,0.0358858187841972,0.0711456964739026,0.0317859272926996,-0.0373654749501245,0.0589638803590066,0.2407079628064846,English-UK,English-UK,9.229960578186596,24.197109067017085,33.42706964520368,UK_short_observation (n_files<30),9,UK_short_obs
Neville,1330,63,0.2609022556390977,-0.0304360070978027,0.0288401143103461,0.2912717418942118,0.0215211568901423,0.0217800554205034,0.0345115003566317,0.0160154222185815,0.1220536396223834,English-UK,English-UK,17.657030223390276,24.229960578186596,41.88699080157687,UK_short_observation (n_files<30),9,UK_short_obs
Nicole,1564,71,0.3644501278772378,0.0855125347225032,0.0211341581676276,5.20609796303451e-05,0.0295756547700002,0.0093339497501588,-0.0081188569092432,0.0220651320145549,0.1793007929673635,English-UK,English-UK,8.26281208935611,27.09855453350854,35.36136662286465,UK_long_longitudinal (n_files≥30),34,UK_long_long
Penny,357,40,0.6106442577030813,0.0416182640294154,0.0612805667997161,0.4970473000531542,0.0152459115793149,0.0610302511622469,0.0374028040218248,0.0677520998967336,0.2768249718009615,English-UK,English-UK,8.68988173455979,33.16425755584757,41.85413929040736,UK_short_observation (n_files<30),9,UK_short_obs
Samantha,1386,65,0.4148629148629149,-0.0276872793559952,0.0597968962307105,0.643348587436859,-0.0500695719141495,0.0457881024829872,0.1759360329767699,0.0546540707966316,0.301263818271053,English-UK,English-UK,15.40867279894875,26.9526938239159,42.36136662286465,UK_short_observation (n_files<30),9,UK_short_obs
Sean,4918,94,0.4211061407076047,0.0508668401930343,0.0380796960404061,0.1816148056262366,0.0216718052665505,0.0306422091665161,0.0705527448048501,0.0398623228380919,0.3271787759387138,English-UK,English-UK,15.37582128777924,26.919842312746383,42.29566360052562,UK_short_observation (n_files<30),9,UK_short_obs
