child,n_episodes,n_cues,outcome_mean,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,beta_COI,se_COI,beta_cum,se_cum,r2,corpus_label,language,obs_window_months,age_min_post,age_max_post,subcorpus,n_files_in_corpus_dir,group
Adam,6707,90,0.6851051140599373,0.0656432488621318,0.0316487062946279,0.038068067341744,0.0560456976501064,0.0293203457684622,-0.0059484928453186,0.0287876742120185,0.3246997269558027,Brown,English,35.26281208935612,27.131406044678055,62.39421813403417,Brown,0,Brown
Eve,1570,64,0.678343949044586,0.0276829767166257,0.0324963273195933,0.3942806061445272,0.035892904670013,0.025779160080605,0.0877637883303006,0.0501198994367268,0.3655793506850381,Brown,English,3.0,24.0,27.0,Brown,0,Brown
Sarah,6682,89,0.6412750673451063,0.0421280549297146,0.0520610283368101,0.4183971234587273,0.0160703899737904,0.0426353605052485,0.0210447681118507,0.0338894102307905,0.3191388049648528,Brown,English,33.82128777923784,27.16425755584757,60.98554533508541,Brown,0,Brown
Anne,6175,83,0.5509311740890688,0.0379198671636132,0.0406940135328096,0.3514248385221526,0.0094105532048553,0.0315178953240458,0.0584334815672725,0.0398423568611775,0.2824369405835991,Manchester,English-Manchester,8.835742444152437,24.492772667542702,33.32851511169514,Manchester,35,Manchester
Aran,5762,88,0.6291218326969802,0.0335919623996808,0.0467657705874936,0.4725708882687313,0.0215182222300152,0.0364978553544173,0.0191965956671168,0.0333199645518125,0.3255083127604569,Manchester,English-Manchester,10.85413929040736,24.06570302233903,34.91984231274639,Manchester,33,Manchester
Becky,2415,70,0.5300207039337475,0.0004857894369189,0.0579849385732657,0.9933155166344364,5.541083089469212e-05,0.0406436972780103,0.0738299003354403,0.031652477710118,0.30169358710697,Manchester,English-Manchester,10.13140604467806,25.36136662286465,35.49277266754271,Manchester,34,Manchester
Carl,5983,83,0.625940163797426,-0.0410734575508226,0.0466570051072372,0.378681769628972,-0.042373035839663,0.036365557575496,0.0703781474268159,0.0386930945856372,0.3042527243207535,Manchester,English-Manchester,8.295663600525625,24.197109067017085,32.49277266754271,Manchester,33,Manchester
Dominic,1575,56,0.6152380952380953,0.0500410212167003,0.0299312004293535,0.0945503210730437,0.026082317418376,0.0390033287865235,0.0545787480868949,0.0263085952437347,0.2026254376295309,Manchester,English-Manchester,8.90144546649146,25.62417871222076,34.52562417871222,Manchester,35,Manchester
Gail,1526,67,0.5334207077326344,0.0232782598625255,0.0227927611185878,0.3071120577011107,0.0138283395442243,0.0154275775629901,0.0491530513208049,0.0376705058891972,0.2706643557689205,Manchester,English-Manchester,10.770039421813408,24.62417871222076,35.39421813403417,Manchester,34,Manchester
Joel,3532,78,0.5931483578708947,0.0437091059131191,0.035917209233258,0.2236268618013189,0.008708914083895,0.0297786030980612,0.0190113343492785,0.0225859177804652,0.3379807682133215,Manchester,English-Manchester,9.967148488830482,24.39421813403417,34.36136662286465,Manchester,35,Manchester
John,14831,101,0.5314543860832041,-0.0261607763849245,0.0441933117420765,0.5538758047781454,-0.0488477888389713,0.034365686774056,0.0917409393560061,0.0354739233816511,0.291884338061176,Manchester,English-Manchester,10.36136662286465,24.42706964520368,34.78843626806833,Manchester,32,Manchester
Liz,8212,90,0.4918412079883097,-0.0268231537409327,0.0761985499565678,0.7248258205546697,-0.0244753931986036,0.0546966209985298,0.1376161166263759,0.0446351870486551,0.2678144989174396,Manchester,English-Manchester,10.361366622864654,24.229960578186596,34.59132720105125,Manchester,34,Manchester
Ruth,9241,92,0.507196190888432,-0.019369176272848,0.0553296565375072,0.7262872034872002,-0.0040573075280018,0.0392043903977412,0.0992400005197292,0.0299914104899163,0.2784651834867062,Manchester,English-Manchester,11.52562417871222,24.16425755584757,35.68988173455979,Manchester,33,Manchester
Warren,18281,100,0.5724522728515945,-0.0342449070374627,0.0337804994018887,0.3107031079116128,-0.049915357232496,0.0312039354584353,0.0682585280926268,0.0329773152714957,0.3312808465228939,Manchester,English-Manchester,9.55847568988174,24.09855453350854,33.65703022339028,Manchester,36,Manchester
Abigail,4296,94,0.5491154562383612,0.0336487499097094,0.0559618334256638,0.5476532856222213,0.0142856535245431,0.0386720617105066,0.0165172811500165,0.043673893026389,0.3164040680047311,English-UK,English-UK,31.967148488830485,24.032851511169515,56.0,UK_short_observation (n_files<30),10,UK_short_obs
Eleanor,43709,121,0.5638426868608296,0.0299255994375293,0.0264967756354146,0.2587268884991932,0.0050102733058218,0.0159029695633587,0.0378169207352889,0.017147377882632,0.3146066240360831,English-UK,English-UK,12.919842312746384,24.06570302233903,36.98554533508541,UK_long_longitudinal (n_files≥30),181,UK_long_long
Frances,1451,74,0.6092350103376981,-0.0621004220457919,0.0651295639373607,0.3403415951238205,-0.0508279330602728,0.0457083315701151,0.0445118793405007,0.0308023692470919,0.3454982318257504,English-UK,English-UK,28.16425755584757,30.09855453350854,58.26281208935611,UK_short_observation (n_files<30),10,UK_short_obs
Fraser,13062,100,0.5679834634818558,-0.0149405813190168,0.0160831011166559,0.3529090525278396,-0.0193153258814263,0.0093822896464884,0.0814909395500388,0.0119782031418288,0.2668048491985623,English-UK,English-UK,12.967148488830484,24.032851511169515,37.0,UK_long_longitudinal (n_files≥30),217,UK_long_long
Geoffrey,1853,74,0.5607123583378305,0.150557686869123,0.0427923850111563,0.0004342736845862,0.0989668041676569,0.029876311430371,-0.023901723478991,0.0311392895860308,0.3562127840729535,English-UK,English-UK,29.7700394218134,29.9526938239159,59.7227332457293,UK_short_observation (n_files<30),9,UK_short_obs
Helen,515,54,0.625242718446602,0.1019656956038323,0.0523780299076399,0.0515675402264823,0.0467037428573737,0.0435134178143246,-0.029877152976822,0.027215068407226,0.3416257618002105,English-UK,English-UK,24.42706964520368,36.19710906701708,60.62417871222076,UK_long_longitudinal (n_files≥30),184,UK_long_long
Jack,401,47,0.4638403990024937,0.0224602923336482,0.0429024127659043,0.6006120930152257,-0.0226885661516551,0.0319584401335421,-0.0097196142950189,0.0460783788771674,0.3920112275930852,English-UK,English-UK,32.96714848883048,24.06570302233903,57.03285151116951,UK_short_observation (n_files<30),10,UK_short_obs
Jason,320,45,0.459375,0.0355624819312953,0.0435041049155048,0.4136706373817558,-0.051225005312152,0.0281149117126398,0.1283309290588066,0.0532244500468204,0.296621073074802,English-UK,English-UK,17.7227332457293,24.26281208935611,41.98554533508541,UK_short_observation (n_files<30),10,UK_short_obs
Jonathan,240,39,0.6583333333333333,0.1476740235685039,0.0687808511025459,0.031791503497701,0.1252086762214429,0.0361552494426208,-0.071282523636844,0.0360430667625799,0.3576536872522214,English-UK,English-UK,19.50722733245729,35.9526938239159,55.45992115637319,UK_short_observation (n_files<30),10,UK_short_obs
Laura,588,53,0.5714285714285714,0.1312795520495792,0.0503634204018663,0.0091434132980945,0.0801278980740798,0.0237962820543922,-0.0536303605332607,0.0438135866919501,0.3700660664666814,English-UK,English-UK,9.229960578186596,24.197109067017085,33.42706964520368,UK_short_observation (n_files<30),9,UK_short_obs
Neville,1330,63,0.3398496240601504,-0.0341332511045061,0.0586035874540809,0.5602683039756924,0.0161741011745175,0.0433353924650292,0.0686243702945443,0.027800614992753,0.1419637209906327,English-UK,English-UK,17.657030223390276,24.229960578186596,41.88699080157687,UK_short_observation (n_files<30),9,UK_short_obs
Nicole,1564,71,0.4916879795396419,0.0849952857627258,0.0211222355127232,5.722470670853366e-05,0.0279630474391153,0.0121096795651342,-0.0052760468165473,0.0236157445206186,0.2734691366434723,English-UK,English-UK,8.26281208935611,27.09855453350854,35.36136662286465,UK_long_longitudinal (n_files≥30),34,UK_long_long
Penny,357,40,0.6722689075630253,-0.0009329106478605,0.0814317737022572,0.9908593576375302,0.0081430262195447,0.0722356613910586,0.0551832073705084,0.0641594956108415,0.2751584396189445,English-UK,English-UK,8.68988173455979,33.16425755584757,41.85413929040736,UK_short_observation (n_files<30),9,UK_short_obs
Samantha,1386,65,0.5202020202020202,0.0096966029164772,0.0651326541128407,0.8816525224492167,-0.0312640618038277,0.0518914912881181,0.1233686579999444,0.0608849914026304,0.31706102935685,English-UK,English-UK,15.40867279894875,26.9526938239159,42.36136662286465,UK_short_observation (n_files<30),9,UK_short_obs
Sean,4918,94,0.5394469296461977,0.0157087859372187,0.0586013735327372,0.7886517982884086,0.0008345461233004,0.0462718703823992,0.0730123110101444,0.0452286323801639,0.3500027330946688,English-UK,English-UK,15.37582128777924,26.919842312746383,42.29566360052562,UK_short_observation (n_files<30),9,UK_short_obs
Stella,1484,64,0.4925876010781671,0.0792175423718949,0.0425267040427544,0.0624943879956807,0.0309515693648849,0.0341763593170726,-0.0112509741449942,0.051603975675998,0.3305327165240972,English-UK,English-UK,0.0,26.985545335085416,26.985545335085416,UK_short_observation (n_files<30),8,UK_short_obs
Thomas,166827,136,0.4983605771248059,0.0076896771474203,0.0407015115673021,0.8501488248591282,0.0051226867491241,0.0309004526727679,0.0689853136881064,0.0281965270458302,0.3217972881243733,English-UK,English-UK,35.26281208935611,24.39421813403417,59.65703022339028,UK_long_longitudinal (n_files≥30),379,UK_long_long
