file,n_utt,n_child,n_caregiver,n_other,caregiver_to_child_ratio,pct_mor,pct_gra,pct_rich_dep,pct_zero_tokens,mean_tokens,median_tokens,n_total_word_tokens,pct_control_word_tokens,pct_period,pct_question,pct_exclamation,pct_other_term,header_types,n_distinct_header_types,subcorpus,pool,child
020304,1737,1268,448,21,0.35331230283911674,0.9976971790443293,0.9976971790443293,0.19458837075417387,0.018998272884283247,2.6275187104202646,2.0,4564,0.04557405784399649,0.713874496257916,0.26482440990213013,0.007484168105929764,0.013816925734024179,begin|comment|date|end|id|languages|participants|pid|time_duration|types|utf8,11,Brown,English,Adam
020318,1972,1284,634,54,0.4937694704049844,0.9959432048681541,0.9959432048681541,0.22768762677484786,0.008113590263691683,2.7991886409736306,2.0,5520,0.03931159420289855,0.6688640973630832,0.3204868154158215,0.0015212981744421906,0.009127789046653144,begin|comment|date|end|id|languages|participants|pid|tape_location|time_duration|types|utf8,12,Brown,English,Adam
020403,1305,862,415,28,0.4814385150812065,0.9984674329501916,0.9984674329501916,0.19770114942528735,0.007662835249042145,3.1808429118773947,3.0,4151,0.04384485666104553,0.664367816091954,0.32337164750957853,0.006130268199233717,0.006130268199233717,begin|comment|date|end|id|languages|participants|pid|time_duration|types|utf8,11,Brown,English,Adam
020415,1224,783,347,94,0.44316730523627074,0.9967320261437909,0.9967320261437909,0.23202614379084968,0.013888888888888888,2.5751633986928106,2.0,3152,0.027601522842639593,0.6405228758169934,0.35049019607843135,0.0016339869281045752,0.007352941176470588,begin|comment|end|id|languages|participants|pid|time_duration|types|utf8,10,Brown,English,Adam
020430,1344,860,386,98,0.44883720930232557,0.9962797619047619,0.9962797619047619,0.20535714285714285,0.014136904761904762,2.955357142857143,2.0,3972,0.031973816717019134,0.6860119047619048,0.3080357142857143,0.002232142857142857,0.003720238095238095,begin|comment|date|end|id|languages|participants|pid|time_duration|types|utf8,11,Brown,English,Adam
020512,1201,835,265,101,0.31736526946107785,0.9983347210657785,0.9983347210657785,0.3447127393838468,0.006661115736885929,2.7768526228143213,2.0,3335,0.0287856071964018,0.7052456286427977,0.27893422148209823,0.002497918401332223,0.013322231473771857,begin|comment|date|end|id|languages|participants|pid|situation|tape_location|time_duration|types|utf8,13,Brown,English,Adam
020603,1386,873,447,66,0.5120274914089347,0.9949494949494949,0.9949494949494949,0.2698412698412698,0.016594516594516596,2.9177489177489178,2.0,4044,0.027200791295746787,0.6507936507936508,0.33261183261183264,0.008658008658008658,0.007936507936507936,begin|comment|date|end|id|languages|participants|pid|time_duration|types|utf8,11,Brown,English,Adam
020617,1068,665,353,50,0.530827067669173,0.9925093632958801,0.9925093632958801,0.27340823970037453,0.009363295880149813,3.3707865168539324,3.0,3600,0.04694444444444444,0.6685393258426966,0.3099250936329588,0.00749063670411985,0.014044943820224719,begin|comment|date|end|id|languages|participants|pid|time_duration|types|utf8,11,Brown,English,Adam
020701,1408,880,492,36,0.5590909090909091,0.9978693181818182,0.9978693181818182,0.2663352272727273,0.017045454545454544,3.015625,3.0,4246,0.030146019783325484,0.671875,0.3068181818181818,0.002130681818181818,0.019176136363636364,begin|comment|date|end|id|languages|participants|pid|time_duration|types|utf8,11,Brown,English,Adam
020714,1496,972,447,77,0.45987654320987653,0.9946524064171123,0.9946524064171123,0.22727272727272727,0.017379679144385027,3.0481283422459895,3.0,4560,0.039912280701754385,0.6671122994652406,0.3201871657754011,0.00267379679144385,0.010026737967914439,begin|comment|date|end|id|languages|participants|pid|time_duration|types|utf8,11,Brown,English,Adam
010600a,1588,741,804,43,1.0850202429149798,0.9748110831234257,0.9748110831234257,0.05037783375314862,0.013853904282115869,2.646095717884131,2.0,4202,0.0390290337934317,0.7059193954659949,0.2865239294710327,0.0025188916876574307,0.005037783375314861,begin|comment|date|end|id|languages|participants|pid|tape_location|time_duration|types|utf8,12,Brown,English,Eve
010600b,1289,473,698,118,1.4756871035940804,0.9705197827773467,0.9705197827773467,0.10007757951900698,0.023273855702094646,2.9984484096198605,2.0,3865,0.029754204398447608,0.752521334367727,0.2342901474010861,0.0007757951900698216,0.012412723041117145,begin|comment|date|end|id|languages|participants|pid|tape_location|time_duration|types|utf8,12,Brown,English,Eve
010700a,618,253,309,56,1.2213438735177866,0.9724919093851133,0.9724919093851133,0.13592233009708737,0.019417475728155338,2.9514563106796117,2.0,1824,0.024671052631578948,0.7734627831715211,0.20711974110032363,0.006472491909385114,0.012944983818770227,begin|date|end|id|languages|participants|pid|tape_location|time_duration|types|utf8,11,Brown,English,Eve
010700b,1451,585,721,145,1.2324786324786325,0.9869055823569952,0.9869055823569952,0.055823569951757405,0.00895933838731909,2.908339076498966,2.0,4220,0.035545023696682464,0.7966919365954515,0.18607856650585802,0.0013783597518952446,0.015851137146795313,begin|comment|date|end|id|languages|participants|pid|tape_location|time_duration|types|utf8,12,Brown,English,Eve
010800,1478,706,599,173,0.8484419263456091,0.9837618403247632,0.9837618403247632,0.07307171853856563,0.007442489851150203,2.8558863328822732,2.0,4221,0.0367211561241412,0.7665764546684709,0.2158322056833559,0.0013531799729364006,0.016238159675236806,begin|comment|date|end|id|languages|participants|pid|tape_location|time_duration|types|utf8,12,Brown,English,Eve
010900a,1069,536,443,90,0.8264925373134329,0.9878391019644528,0.9878391019644528,0.11973807296538821,0.013096351730589336,3.0140318054256316,3.0,3222,0.029174425822470516,0.7193638914873713,0.23666978484565013,0.0,0.04396632366697849,begin|comment|date|end|id|languages|participants|pid|situation|tape_location|time_duration|types|utf8,13,Brown,English,Eve
010900b,1272,523,652,97,1.2466539196940727,0.9740566037735849,0.9740566037735849,0.13443396226415094,0.015723270440251572,3.1422955974842766,3.0,3997,0.024768576432324243,0.7570754716981132,0.22720125786163523,0.0,0.015723270440251572,begin|comment|date|end|id|languages|participants|pid|tape_location|time_duration|types|utf8,12,Brown,English,Eve
010900c,2058,959,794,305,0.8279457768508863,0.9844509232264335,0.9844509232264335,0.1618075801749271,0.013119533527696793,3.2891156462585034,3.0,6769,0.037080809573053625,0.706997084548105,0.26676384839650147,0.0,0.026239067055393587,begin|comment|date|end|id|languages|participants|pid|situation|tape_location|time_duration|types|utf8,13,Brown,English,Eve
