file,corpus_dir,child,n_utt,n_speakers,n_participants_declared,has_investigator,n_caregiver_codes,duration_minutes,Situation,Activities,Location,Types,Transcriber,pct_xxx,pct_yyy,pct_www,pct_amp_event,pct_timecode,pct_plus_info,pct_CHI,pct_MOT,pct_FAT,pct_INV,pct_mor,pct_gra,pct_com,pct_sit,pct_act,pct_exp,pct_spa,pct_xpho,pct_err,pct_add,n_distinct_dep_tiers,subcorpus
020304,English,Adam,1737,5,5,1,1,60.0,,,,"long, toyplay, TD",,0.042026482440990214,0.0005757052389176742,0.0,0.0011514104778353484,0.0,0.0,0.7299942429476108,0.257915947035118,0.0,0.0,0.9976971790443293,0.9976971790443293,0.02475532527345999,0.0,0.009211283822682787,0.0063327576280944155,0.14162348877374784,0.002302820955670697,0.0057570523891767415,0.014392630972941854,9,Brown
020318,English,Adam,1972,4,4,1,1,60.0,,,,"long, toyplay, TD",,0.02332657200811359,0.002028397565922921,0.0,0.004563894523326572,0.0,0.0,0.6511156186612576,0.32150101419878296,0.0,0.0,0.9959432048681541,0.9959432048681541,0.029411764705882353,0.002028397565922921,0.005578093306288032,0.015212981744421906,0.17342799188640973,0.004056795131845842,0.007606490872210953,0.0035496957403651115,12,Brown
020403,English,Adam,1305,4,4,1,1,60.0,,,,"long, toyplay, TD",,0.041379310344827586,0.0022988505747126436,0.0,0.007662835249042145,0.0,0.0,0.660536398467433,0.31800766283524906,0.0,0.0,0.9984674329501916,0.9984674329501916,0.0022988505747126436,0.0053639846743295016,0.00842911877394636,0.0,0.1739463601532567,0.0,0.006130268199233717,0.00996168582375479,8,Brown
020415,English,Adam,1224,5,5,1,2,60.0,,,,"long, toyplay, TD",,0.02042483660130719,0.0,0.0,0.007352941176470588,0.0,0.0,0.6397058823529411,0.28022875816993464,0.0032679738562091504,0.0,0.9967320261437909,0.9967320261437909,0.004901960784313725,0.0,0.011437908496732025,0.005718954248366013,0.18709150326797386,0.0,0.005718954248366013,0.013888888888888888,9,Brown
020430,English,Adam,1344,4,4,1,1,60.0,,,,"long, toyplay, TD",,0.025297619047619048,0.001488095238095238,0.0,0.004464285714285714,0.0,0.0,0.6398809523809523,0.28720238095238093,0.0,0.0,0.9962797619047619,0.9962797619047619,0.002976190476190476,0.004464285714285714,0.006696428571428571,0.013392857142857142,0.17038690476190477,0.000744047619047619,0.005208333333333333,0.005208333333333333,10,Brown
020512,English,Adam,1201,4,4,1,1,60.0,"record of speech while Adam was alone in room at night , the night before the following sample was taken",,,"long, toyplay, TD",,0.030807660283097418,0.0008326394671107411,0.0008326394671107411,0.002497918401332223,0.0,0.0,0.6952539550374688,0.2206494587843464,0.0,0.0,0.9983347210657785,0.9983347210657785,0.038301415487094086,0.004995836802664446,0.10824313072439634,0.004163197335553705,0.22231473771856786,0.0016652789342214821,0.004995836802664446,0.025811823480432972,12,Brown
020603,English,Adam,1386,4,4,1,1,60.0,,,,"long, toyplay, TD",,0.02886002886002886,0.0,0.0,0.006493506493506494,0.0,0.0,0.6298701298701299,0.3225108225108225,0.0,0.0,0.9949494949494949,0.9949494949494949,0.006493506493506494,0.004329004329004329,0.08152958152958154,0.0,0.17676767676767677,0.0,0.005772005772005772,0.005772005772005772,10,Brown
020617,English,Adam,1068,5,5,1,2,60.0,,,,"long, toyplay, TD",,0.035580524344569285,0.0,0.0009363295880149813,0.003745318352059925,0.0,0.0,0.6226591760299626,0.3258426966292135,0.0046816479400749065,0.0,0.9925093632958801,0.9925093632958801,0.00749063670411985,0.0009363295880149813,0.13670411985018727,0.010299625468164793,0.13108614232209737,0.0,0.0056179775280898875,0.006554307116104869,11,Brown
020701,English,Adam,1408,5,5,1,2,60.0,,,,"long, toyplay, TD",,0.026988636363636364,0.0007102272727272727,0.0,0.0078125,0.0,0.0,0.625,0.34801136363636365,0.0014204545454545455,0.0,0.9978693181818182,0.9978693181818182,0.02556818181818182,0.0007102272727272727,0.052556818181818184,0.0234375,0.16051136363636365,0.0007102272727272727,0.007102272727272727,0.01065340909090909,12,Brown
020714,English,Adam,1496,5,5,1,1,120.0,,,,"long, toyplay, TD",,0.04411764705882353,0.0,0.0,0.0066844919786096255,0.0,0.0,0.6497326203208557,0.29879679144385024,0.0,0.0,0.9946524064171123,0.9946524064171123,0.0053475935828877,0.011363636363636364,0.05815508021390375,0.0053475935828877,0.13970588235294118,0.0,0.004010695187165776,0.011363636363636364,11,Brown
010600a,English,Eve,1588,4,4,1,1,30.0,,,,"long, toyplay, TD",,0.06801007556675064,0.0,0.0,0.001889168765743073,0.0,0.0,0.46662468513853905,0.5062972292191436,0.0,0.0,0.9748110831234257,0.9748110831234257,0.013853904282115869,0.0012594458438287153,0.011335012594458438,0.013853904282115869,0.0,0.0,0.0,0.001889168765743073,10,Brown
010600b,English,Eve,1289,5,5,1,2,60.0,,,,"long, toyplay, TD",,0.057408844065166796,0.0,0.0,0.0069821567106283944,0.0,0.0,0.3669511249030256,0.4972847168347556,0.04422032583397983,0.0,0.9705197827773467,0.9705197827773467,0.04344453064391001,0.0015515903801396431,0.031031807602792862,0.008533747090768037,0.0,0.0,0.0023273855702094647,0.0007757951900698216,11,Brown
