window,child,subcorpus_norm,n_episodes,obs_window,beta,se,p
3,Adam,Brown,6707,,0.0026206487811567,0.0206708598265587,0.8991146339505159
3,Eve,Brown,1570,,-0.0785509127599201,0.023994560931887,0.0010615051571592
3,Sarah,Brown,6682,,0.0489671885791791,0.0141320835691467,0.0005302985874581
3,Anne,Manchester,6175,,0.0119133947969438,0.0208254077672604,0.5672809355567083
3,Aran,Manchester,5762,,0.0315723316039718,0.0206215665608141,0.125760845267091
3,Becky,Manchester,2415,,-0.0131514528469211,0.0416865724486001,0.7523940840687273
3,Carl,Manchester,5983,,-0.0100498159936242,0.0233524034974773,0.6669376613742721
3,Dominic,Manchester,1575,,0.033826597296122,0.0300588970877723,0.2604433221836228
3,Gail,Manchester,1526,,0.0082294044434542,0.0288926166993821,0.7757764971663809
3,Joel,Manchester,3532,,-0.0154630657289801,0.0198079465820122,0.4350086064146008
3,John,Manchester,14831,,-0.0158948633406846,0.0177682526209296,0.3710194749033036
3,Liz,Manchester,8212,,-0.0022787107254753,0.0397403572921106,0.9542743846531816
3,Ruth,Manchester,9241,,-0.0110816635164311,0.0260183982858564,0.6701687366290312
3,Warren,Manchester,18281,,-0.0238294131910819,0.015308413234955,0.1195602517100157
3,Abigail,UK_short_obs,4296,,0.0331913707727859,0.0345860324017346,0.3372185162872448
3,Eleanor,UK_long_long,43709,,0.0030271209488189,0.0245630268466132,0.9019179051967824
3,Frances,UK_short_obs,1451,,0.0002312327083463,0.0324351000429116,0.9943118582985648
3,Fraser,UK_long_long,13062,,-0.0049052257500994,0.0124122567441387,0.6927011259438189
3,Geoffrey,UK_short_obs,1853,,0.0066253039298086,0.0380270070067794,0.861687633764056
3,Helen,UK_long_long,515,,0.0853260180126513,0.0342550791427374,0.0127419543971857
3,Jack,UK_short_obs,401,,-0.0473181650628884,0.0443390154430632,0.2858859335206882
3,Jason,UK_short_obs,320,,0.0190093921550123,0.0345384659049904,0.5820565538769256
3,Jonathan,UK_short_obs,240,,-0.0630656405974405,0.1251041655420402,0.6141875641688643
3,Laura,UK_short_obs,588,,0.1308476448936809,0.0733770645800428,0.0745500638525362
3,Neville,UK_short_obs,1330,,-0.0155105421773101,0.021191481098537,0.4642152859125544
3,Nicole,UK_long_long,1564,,0.0491852135566797,0.0226972724655586,0.0302341011985546
3,Penny,UK_short_obs,357,,-0.0130449134142759,0.0627037249406876,0.8351973555654051
3,Samantha,UK_short_obs,1386,,-0.036336067448278,0.0282604217060524,0.1985274809711681
3,Sean,UK_short_obs,4918,,0.0059518149261691,0.0274432998003613,0.8283043615173474
3,Stella,UK_short_obs,1484,,0.079900681237839,0.0398689030267621,0.0450609271552477
3,Thomas,UK_long_long,166827,,0.0111345569557662,0.0059272409895078,0.0603073841768137
3,April,NA_other,667,10.0,0.001976661463951951,0.019690456187994223,0.920037265968301
5,Adam,Brown,6707,,0.0400006798695883,0.017197521794884,0.0200208954035123
5,Eve,Brown,1570,,-0.0524326462671159,0.0325670616932095,0.1074000219018531
5,Sarah,Brown,6682,,0.0569823841338013,0.0176293341617006,0.0012282031353625
5,Anne,Manchester,6175,,0.0223894111472092,0.0190357937394393,0.2395252368996021
5,Aran,Manchester,5762,,0.0415507517204555,0.024451515349971,0.0892604260855551
5,Becky,Manchester,2415,,-0.0209958013248907,0.0390651654730368,0.5909527806442154
