child,model,n_episodes,n_cues,outcome_mean,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,r2,beta_rplus_episode_z_local,p_rplus_episode_z_local,beta_rplus_between_z_local,p_rplus_between_z_local,beta_rplus_ep_x_COI_local,p_rplus_ep_x_COI_local,beta_rplus_bet_x_COI_local,p_rplus_bet_x_COI_local,language,window,subcorpus,subcorpus_norm
Adam,base,6707,90,0.5822275234829283,0.04000067986958835,0.017197521794884006,0.020020895403512387,0.3133057101481509,,,,,,,,,English,5,Brown,Brown
Eve,base,1570,64,0.5929936305732484,-0.05243264626711596,0.03256706169320958,0.10740002190185317,0.31068618768082523,,,,,,,,,English,5,Brown,Brown
Sarah,base,6682,89,0.5296318467524693,0.056982384133801335,0.01762933416170063,0.0012282031353625484,0.3018410021871676,,,,,,,,,English,5,Brown,Brown
Anne,base,6175,83,0.417165991902834,0.022389411147209288,0.01903579373943939,0.23952523689960215,0.21589017745943007,,,,,,,,,English-Manchester,5,Manchester,Manchester
Aran,base,5762,88,0.5095452967719541,0.04155075172045557,0.02445151534997102,0.08926042608555512,0.2917294513008818,,,,,,,,,English-Manchester,5,Manchester,Manchester
Becky,base,2415,70,0.4380952380952381,-0.020995801324890706,0.039065165473036845,0.5909527806442154,0.25996642708923146,,,,,,,,,English-Manchester,5,Manchester,Manchester
Carl,base,5983,83,0.5189704161791743,-0.015825433782755548,0.03162163312557526,0.6167496280071572,0.26290374956717144,,,,,,,,,English-Manchester,5,Manchester,Manchester
Dominic,base,1575,56,0.48,0.021670201322656783,0.03621835735308462,0.5496258124484094,0.13173644591697187,,,,,,,,,English-Manchester,5,Manchester,Manchester
Gail,base,1526,67,0.41546526867627787,0.01745972590826414,0.031943497583317826,0.5846662584345663,0.19605492210426145,,,,,,,,,English-Manchester,5,Manchester,Manchester
Joel,base,3532,78,0.4909399773499434,0.012337074853891364,0.028775028092641684,0.668110694484777,0.2884827687769742,,,,,,,,,English-Manchester,5,Manchester,Manchester
John,base,14831,101,0.40995212730092373,-0.022553464323691735,0.022971135349877738,0.3261897299296196,0.23901539359928092,,,,,,,,,English-Manchester,5,Manchester,Manchester
