child,model,n_episodes,n_cues,outcome_mean,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,r2,beta_rplus_episode_z_local,p_rplus_episode_z_local,beta_rplus_between_z_local,p_rplus_between_z_local,beta_rplus_ep_x_COI_local,p_rplus_ep_x_COI_local,beta_rplus_bet_x_COI_local,p_rplus_bet_x_COI_local,language,window,subcorpus,subcorpus_norm
Adam,with_rplus,6707,90,0.6851051140599373,0.039188810340281516,0.02737532908482265,0.15227622561115445,0.32949202581760917,-0.008092527871120367,0.059357898176841485,0.03553485938698157,0.003961340781876142,0.008671187322369923,0.037672768638079106,0.01621121368126758,0.023536518577304252,English,10,Brown,Brown
Eve,with_rplus,1570,64,0.678343949044586,0.02837034423312328,0.032366053498758734,0.3807331211509307,0.36591198878076847,-0.005888832797121431,0.47417703693077995,0.005190967474065786,0.7010517862724176,0.00474713113872366,0.640651473466985,-0.0018999716280320529,0.81500333344642,English,10,Brown,Brown
Sarah,with_rplus,6682,89,0.6412750673451063,0.04366991464004034,0.047006522422003955,0.3528796566970004,0.3224575827058551,-0.0005068284682327982,0.9245349555381489,0.02217236263045045,0.14245983765800604,0.0020074110615253735,0.7409671944260342,-0.005057492252055978,0.5128207154586197,English,10,Brown,Brown
Anne,with_rplus,6175,83,0.5509311740890688,0.03546343161035616,0.03865374565312626,0.35889939315600683,0.28293197876924936,-0.0025513664831078716,0.6228560692307489,-0.011221164187991127,0.24122631054164412,0.0026671923745430585,0.6513692659079917,-0.0037629128188749607,0.26443615025965894,English-Manchester,10,Manchester,Manchester
Aran,with_rplus,5762,88,0.6291218326969802,0.012989531067505349,0.03307997599494021,0.6945628537881721,0.3331224411265149,0.0030568411697563637,0.43759065347644466,0.05007591244347382,1.8900323039148432e-05,-0.00395190251971984,0.41467812175993,0.017419708537347867,0.0014487985696170318,English-Manchester,10,Manchester,Manchester
Becky,with_rplus,2415,70,0.5300207039337475,-0.005023953597209637,0.06180229956080983,0.9352107517682535,0.30299693196250843,0.018259508602044276,0.0019813790507985096,-0.005606829075055847,0.6728266005110397,-0.005420694573690848,0.42272896325706444,0.00019423375958677936,0.9758142292935507,English-Manchester,10,Manchester,Manchester
Carl,with_rplus,5983,83,0.625940163797426,-0.031702941255113554,0.04742982752317149,0.5038669324901534,0.3070024699417079,0.003233600158207642,0.574069367915844,0.030876034705138233,0.14797510349154686,0.0012100548096345034,0.8579364371134625,0.007403711676663588,0.367172144612839,English-Manchester,10,Manchester,Manchester
Dominic,with_rplus,1575,56,0.6152380952380953,0.029579899110967058,0.026937623450528237,0.27216577218880655,0.21000605150935248,0.0016539598922555628,0.8096188359527925,0.014066657336199117,0.4513094030106458,-0.012268501922423725,0.2874297924246326,0.03205079779869335,0.005441242895436961,English-Manchester,10,Manchester,Manchester
Gail,with_rplus,1526,67,0.5334207077326344,0.02127587188783353,0.022036751526068193,0.33430833301166396,0.27328072380122737,-0.012630550182254945,0.2773191417538745,0.01889028900268821,0.17004884154076405,-0.012450686465174773,0.28619687429727836,0.015361352112989914,0.07186802793165945,English-Manchester,10,Manchester,Manchester
Joel,with_rplus,3532,78,0.5931483578708947,0.04292040886612335,0.03690014760501736,0.24476862478899375,0.3391334092639049,-0.0022491159663818308,0.7892066647507444,-0.008388342492264049,0.513512889826047,0.012568786257223947,0.23335629730987661,-0.0004400003483343161,0.9562815225110264,English-Manchester,10,Manchester,Manchester
John,with_rplus,14831,101,0.5314543860832041,-0.029929973793433536,0.04345882823819804,0.49101383177804314,0.29267728270663185,0.005656726903278451,0.13285042310142567,-0.0008847672420050955,0.944813728283567,-0.0030019620522698464,0.46307097702319655,-0.005558950995619851,0.27452461400089223,English-Manchester,10,Manchester,Manchester
Liz,with_rplus,8212,90,0.49184120798830977,-0.025600134246412123,0.07661342114525224,0.7382687396911105,0.2683399885861012,0.004982405598437806,0.3698314491050658,0.003351338709631395,0.7858962780667685,0.005746845448814741,0.44753595067563123,0.004077879014284679,0.448845506153016,English-Manchester,10,Manchester,Manchester
Ruth,with_rplus,9241,92,0.507196190888432,-0.022172021794070296,0.05049463163330834,0.6605915321845691,0.28098391970613745,-0.005451358460256356,0.2070036840107211,-0.027352908299648045,0.02152146018229488,0.0006080900358687476,0.8903599796262651,-0.007528343415591315,0.16743811671402398,English-Manchester,10,Manchester,Manchester
Warren,with_rplus,18281,100,0.5724522728515945,-0.022096472207779147,0.03475832189844201,0.524960592312249,0.33610142349837246,0.006809421879911705,0.07878078250761357,0.039909433886891145,0.015276583414022557,0.0005199233671643299,0.9038501923056041,0.010391392640191052,0.14907343931490527,English-Manchester,10,Manchester,Manchester
Abigail,with_rplus,4296,94,0.5491154562383612,0.03446658400150959,0.05617559104752833,0.5395121429805381,0.31679320109810705,-0.0014777593947976533,0.8490972344340245,0.0072239304732441756,0.6696051608829336,0.0033708129617163653,0.679746763373785,-0.002799106849716442,0.7538687657542854,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Anne,with_rplus,2042,71,0.5582761998041136,0.05044684749194633,0.024367899121069972,0.03843199543167519,0.22936702328368008,-0.013074316431545316,0.1277549492114552,0.0018739106280705768,0.8579052330221202,0.01183579306274993,0.2340575407210801,0.002492897267690541,0.6293654984680848,English-UK,10,Manchester,Manchester
Aran,with_rplus,792,54,0.6452020202020202,0.05795460778653503,0.04357422200653779,0.1835115227632207,0.3238903596648668,0.017545265609064546,0.2706285717965162,0.031102228971742574,0.027372341223797007,-0.0017814755439362513,0.907384529480251,0.0022136717628025073,0.7961478223850562,English-UK,10,Manchester,Manchester
Becky,with_rplus,627,55,0.594896331738437,-0.03496969463202832,0.06385725575644943,0.5839508722237621,0.27874069836774595,0.020353363935898858,0.12660325661638863,-0.018972786237308865,0.3164647065797508,-0.010651262249096387,0.5781278753849051,0.0028276681551224953,0.8101817824593487,English-UK,10,Manchester,Manchester
