window,subcorpus,truncation_rate
3,Brown,0.007056019087957083
3,Manchester,0.001671537989075481
3,NA_other,0.0029985007496251873
3,UK_long_long,0.0016328934212247472
3,UK_short_obs,0.0004763362031713595
5,Brown,0.010221175991027565
5,Manchester,0.0033445029347146577
5,NA_other,0.0074962518740629685
5,UK_long_long,0.003044554648234784
5,UK_short_obs,0.0010552853293291798
7,Brown,0.014050123521635099
7,Manchester,0.004861106780145807
7,NA_other,0.014992503748125937
7,UK_long_long,0.0044397304947054045
7,UK_short_obs,0.0014001221726604263
10,Brown,0.021010182722668674
10,Manchester,0.007392963943286714
10,NA_other,0.0239880059970015
10,UK_long_long,0.006287383259184834
10,UK_short_obs,0.002414547646135496
15,Brown,0.03106061680362727
15,Manchester,0.011195631943438937
15,NA_other,0.037481259370314844
15,UK_long_long,0.009386235280691662
15,UK_short_obs,0.006243827347259024
20,Brown,0.04277890854576737
20,Manchester,0.015630848143273476
20,NA_other,0.041979010494752625
20,UK_long_long,0.012310159085393471
20,UK_short_obs,0.009076345887996625
