child,n_episodes,n_cues,outcome_mean,beta_COI4_x_cum,se_COI4_x_cum,p_COI4_x_cum,r2,language,window,subcorpus
Adam,6707,90,0.5822275234829283,0.029212338789464026,0.014054354287280375,0.03766095189654379,0.31345391519976606,English,5,Brown
Eve,1570,64,0.5929936305732484,-0.042252419426471344,0.02116776129204617,0.045925861037262816,0.3108356361824307,English,5,Brown
Sarah,6682,89,0.5296318467524693,0.047980611305345325,0.011517401637233393,3.10095017284291e-05,0.30186819284240096,English,5,Brown
Anne,6175,83,0.417165991902834,0.018695383755858278,0.01488090938943063,0.20899511065405774,0.21577151200964184,English-Manchester,5,Manchester
Aran,5762,88,0.5095452967719541,0.03909817715672398,0.018237775192574805,0.03204876283858986,0.2918440677140155,English-Manchester,5,Manchester
Becky,2415,70,0.4380952380952381,-0.012528495098052386,0.031356694811179385,0.6894896886169002,0.25991351298519316,English-Manchester,5,Manchester
Carl,5983,83,0.5189704161791743,-0.009436664872685442,0.0324913204347474,0.7714823356462098,0.2625703879242408,English-Manchester,5,Manchester
Dominic,1575,56,0.48,0.008869046888862045,0.03579231409574602,0.8042953926937486,0.131449058764451,English-Manchester,5,Manchester
Gail,1526,67,0.41546526867627787,0.012655094885119983,0.030290804260813507,0.676103082319411,0.1959791713957343,English-Manchester,5,Manchester
Joel,3532,78,0.4909399773499434,0.015968513086432323,0.024810394807816914,0.519820654887872,0.2884820503314899,English-Manchester,5,Manchester
John,14831,101,0.40995212730092373,-0.015060741790444952,0.02214741600157621,0.49649019739582745,0.2387577137524115,English-Manchester,5,Manchester
Liz,8212,90,0.39064783244033124,0.011464840351240568,0.0512912791014787,0.8231275776179405,0.22488232867848257,English-Manchester,5,Manchester
Ruth,9241,92,0.40406882372037656,0.0003996126272710152,0.037786733316288214,0.9915621496113103,0.2537552973161462,English-Manchester,5,Manchester
Warren,18281,100,0.45621136699305287,-0.019623529847513137,0.016449680592753545,0.23289173215656267,0.2833584362960274,English-Manchester,5,Manchester
Abigail,4296,94,0.4231843575418994,0.04707906413472651,0.026700276114930314,0.0778595826218527,0.31486593853873623,English-UK,5,UK_short_obs
Eleanor,43709,121,0.4436614884806333,0.01164099830560558,0.017091949111811784,0.49582036778310745,0.2669595509071635,English-UK,5,UK_long_long
Frances,1451,74,0.49758787043418334,0.0002873925341602135,0.029069662945141666,0.9921119714734964,0.3197317210694881,English-UK,5,UK_short_obs
Fraser,13062,100,0.45751033532384017,-0.0018385048792750407,0.012414502784375595,0.8822691246311507,0.2405700581792768,English-UK,5,UK_long_long
Geoffrey,1853,74,0.43658931462493256,0.03648010458644384,0.023299598172685565,0.1174196330219608,0.3132594239488141,English-UK,5,UK_short_obs
Helen,515,54,0.5145631067961165,0.12584992724150393,0.02214477014378308,1.3231037506742888e-08,0.3352189338221043,English-UK,5,UK_long_long
Jack,401,47,0.3516209476309227,-0.0021941832651466153,0.033195458611226074,0.9472990874275182,0.30292037671902905,English-UK,5,UK_short_obs
Jason,320,45,0.353125,0.07662089261039967,0.03488693552924538,0.028073110207407208,0.19669574389700561,English-UK,5,UK_short_obs
Jonathan,240,39,0.55,0.07400210214065386,0.05191879539839735,0.1540580173367992,0.2808697560802853,English-UK,5,UK_short_obs
Laura,588,53,0.4370748299319728,0.10989724348295976,0.06731755940714193,0.10257004691280901,0.23721058069347667,English-UK,5,UK_short_obs
Neville,1330,63,0.26090225563909775,-0.02215915084813367,0.029457608839063985,0.4519075760736099,0.1216586905260858,English-UK,5,UK_short_obs
Nicole,1564,71,0.36445012787723785,0.07039173604011487,0.022735190324092283,0.0019604602431065963,0.17770511305325276,English-UK,5,UK_long_long
Penny,357,40,0.6106442577030813,0.056198252491963974,0.04828905511472042,0.24450968775914483,0.27816670483392025,English-UK,5,UK_short_obs
Samantha,1386,65,0.4148629148629149,-0.00918393843585133,0.05790548616099067,0.8739822826164532,0.30075885836160743,English-UK,5,UK_short_obs
Sean,4918,94,0.4211061407076047,0.0513845509795805,0.03356656789328853,0.12581257785151112,0.3272499843630444,English-UK,5,UK_short_obs
Stella,1484,64,0.37129380053908356,0.08810391105915016,0.028366973360333825,0.0018972508995741028,0.25496989595441544,English-UK,5,UK_short_obs
Thomas,166827,136,0.3821204001750316,0.01674243468349781,0.013941022353749041,0.22977160209565495,0.28110370527828943,English-UK,5,UK_long_long
April,667,59,0.49775112443778113,-0.011889020884356172,0.015968252935458907,0.4565491755995492,0.32095825865602223,English-NA-Pool,5,NA_other
