cue_subtype,cue_type,cue_form,count,S_acoustic,S_positional,S_frequency_zscore,S_frequency_normalized,S_repetition,S_perceptual,AttentionIndex,WeightedAttentionIndex,Reliability_gra,Reliability_gra_is_circular,Reliability_position,Reliability_form,Reliability_composite_noncircular,FunctionEntropy_gra,PositionConsistency,dominant_gra_relation,n_distinct_gra_relations,pos_mean,pos_std,n_distinct_functions,most_common_function
subject_position,word_order,you,777215,0.0539,0.3207,2.425,0.9187,1.0,0.0714,0.473,0.473,0.9978,True,0.5113,0.7967,0.654,0.023,0.0,NSUBJ,2,0.2721,0.3046,1,agent
object_position,word_order,it,343970,0.299,0.2127,2.2081,0.901,1.0,0.0714,0.4968,0.467,1.0,True,0.0,0.3124,0.1562,0.0,0.0,OBJ,1,0.6482,0.3191,1,patient
pron_that,pronoun,that,28307,0.5712,0.468,1.5435,0.824,1.0,0.0714,0.5869,0.4436,0.2741,False,0.9524,0.0095,0.481,0.5911,0.0014,ROOT,40,0.7879,0.2886,1,reference
aux_be,aux,is,194380,0.2561,0.1711,2.0562,0.8866,1.0,0.0714,0.477,0.4283,0.4607,False,0.0,0.4468,0.2234,0.4459,0.0,COP,39,0.4617,0.3892,1,tense_aspect_modal
aux_do,aux,do,132406,0.197,0.2671,1.954,0.8759,1.0,0.0714,0.4823,0.4194,0.7387,False,0.0,0.772,0.386,0.2725,0.0,AUX,34,0.337,0.3706,1,tense_aspect_modal
pron_what,pronoun,what,40468,0.1926,0.445,1.6386,0.8373,1.0,0.0714,0.5093,0.3983,0.8385,False,0.4372,0.3583,0.3978,0.2263,0.0,ROOT,41,0.2477,0.3168,1,reference
pron_acc_it,pronoun,it,25708,0.4173,0.3371,1.5179,0.8202,1.0,0.0714,0.5292,0.3962,0.3745,False,0.9908,0.0076,0.4992,0.5984,0.1508,ROOT,35,0.768,0.2454,1,patient
pron_acc_you,pronoun,you,15662,0.4742,0.3897,1.386,0.8,1.0,0.0714,0.5471,0.3896,0.2627,False,0.9863,0.0086,0.4975,0.606,0.1208,ROOT,35,0.7825,0.2541,1,patient
pron_this,pronoun,this,8908,0.5645,0.45,1.2359,0.7748,1.0,0.0714,0.5722,0.3837,0.2841,False,0.0,0.0016,0.0008,0.6076,0.0374,COP,38,0.7861,0.2782,1,reference
pron_there,pronoun,there,29058,0.0099,0.6228,1.5505,0.825,1.0,0.0714,0.5058,0.3833,0.9515,False,0.0,0.9725,0.4862,0.0883,0.3369,EXPL,27,0.1013,0.1916,1,reference
pron_nom_it,pronoun,it,21915,0.4003,0.3124,1.4754,0.8139,1.0,0.0714,0.5196,0.3829,0.3122,False,0.0,0.0024,0.0012,0.619,0.0,COP,39,0.6398,0.3737,1,agent
pron_acc_i,pronoun,me,7925,0.555,0.4485,1.2048,0.7694,1.0,0.0714,0.5689,0.3765,0.319,False,0.0,0.0005,0.0003,0.5538,0.1251,OBL,33,0.8045,0.2528,1,patient
prep_on,preposition,on,52988,0.2471,0.1615,1.7104,0.8469,1.0,0.0714,0.4654,0.3732,0.4601,False,0.0,0.9589,0.4795,0.4952,0.0262,CASE,36,0.6577,0.2814,1,role_or_location
verb_past,tense,got,133569,0.1355,0.0418,1.9564,0.8761,1.0,0.0714,0.425,0.3698,0.493,False,0.8275,0.6485,0.738,0.493,0.0,ROOT,38,0.478,0.2946,1,past
aux_shall,aux,shall,13043,0.0529,0.6409,1.3374,0.7921,1.0,0.1429,0.5257,0.3673,0.9208,False,0.0,0.9242,0.4621,0.1257,0.1307,AUX,25,0.1163,0.2512,1,tense_aspect_modal
aux_have,aux,have,34393,0.225,0.161,1.5954,0.8314,1.0,0.1429,0.4721,0.3635,0.7287,False,0.0,0.7039,0.3519,0.2893,0.0,AUX,33,0.4158,0.3771,1,tense_aspect_modal
aux_can,aux,can,41424,0.0958,0.2428,1.6448,0.8382,1.0,0.0714,0.4496,0.3525,0.8636,False,0.0,0.9057,0.4529,0.1842,0.0,AUX,31,0.3009,0.317,1,tense_aspect_modal
prep_up,preposition,up,16427,0.3351,0.2458,1.3987,0.802,1.0,0.0714,0.4909,0.3513,0.6678,False,0.0,0.9596,0.4798,0.4064,0.0326,COMPOUND-PRT,31,0.6966,0.2796,1,role_or_location
det_the,determiner,the,164551,0.0206,-0.0123,2.0119,0.882,1.0,0.0714,0.3923,0.3474,0.6567,False,0.0,0.9647,0.4824,0.3525,0.0622,DET,40,0.5362,0.271,1,np_boundary
det_a,determiner,a,127583,0.0221,-0.0041,1.9442,0.8748,1.0,0.0714,0.3928,0.3405,0.5674,False,0.0,0.9638,0.4819,0.4201,0.1078,DET,37,0.4765,0.2578,1,np_boundary
prep_out,preposition,out,11117,0.3463,0.258,1.2948,0.785,1.0,0.0714,0.4921,0.338,0.5759,False,0.0,0.962,0.481,0.4822,0.0703,COMPOUND-PRT,28,0.7103,0.2687,1,role_or_location
det_what,determiner,what,9089,0.0099,0.6516,1.2413,0.7758,1.0,0.0714,0.5017,0.3372,0.8313,False,0.0,0.0031,0.0015,0.208,0.3285,DET,21,0.0986,0.1941,1,np_boundary
prep_off,preposition,off,7272,0.3954,0.3069,1.1819,0.7653,1.0,0.0714,0.5078,0.3329,0.5206,False,0.0,0.9596,0.4798,0.4769,0.0329,COMPOUND-PRT,30,0.7325,0.2795,1,role_or_location
prep_down,preposition,down,8521,0.332,0.2417,1.2241,0.7728,1.0,0.1429,0.4979,0.3322,0.6526,False,0.0,0.9592,0.4796,0.4115,0.0504,COMPOUND-PRT,28,0.6999,0.2744,1,role_or_location
pron_acc_they,pronoun,them,8809,0.3252,0.253,1.2329,0.7743,1.0,0.0714,0.4848,0.3247,0.321,False,0.9859,0.0062,0.4961,0.6394,0.1308,ROOT,32,0.7256,0.2512,1,patient
pron_nom_you,pronoun,you,24560,0.1804,0.0785,1.5058,0.8184,1.0,0.0714,0.4298,0.3203,0.2622,False,0.0,0.0089,0.0044,0.6108,0.0235,ADVMOD,39,0.5642,0.2822,1,agent
aux_will,aux,will,11889,0.2707,0.1753,1.3127,0.788,1.0,0.0714,0.4611,0.319,0.6577,False,0.0,0.7104,0.3552,0.3547,0.0,AUX,31,0.4993,0.3708,1,tense_aspect_modal
prep_in,preposition,in,48134,0.0799,-0.0024,1.6848,0.8435,1.0,0.0714,0.3985,0.3168,0.6263,False,0.0,0.9485,0.4742,0.4374,0.0754,CASE,36,0.5768,0.2672,1,role_or_location
