cue_subtype,cue_type,first_emergence_month,peak_rate_per_1k,peak_month,uptake_slope,uptake_slope_r,n_bins_present,total_child_cue_tokens,cue_type_cg,caregiver_count,caregiver_AI,caregiver_WAI,Reliability_gra,Reliability_position,Reliability_form,dominant_gra_relation,log_caregiver_count
aux_be,aux,15,101.138,60,1.7743,0.8946,16,25181,aux,194380,0.477,0.4283,0.4607,0.0,0.4468,COP,12.177575429606426
aux_can,aux,18,58.154,60,1.0679,0.8198,15,12670,aux,41424,0.4496,0.3525,0.8636,0.0,0.9057,AUX,10.631639842294764
aux_could,aux,21,13.2,48,0.196,0.5443,14,783,aux,6072,0.4113,0.2641,0.8104,0.0,0.715,AUX,8.711607995897575
aux_do,aux,15,55.132,42,1.2004,0.8513,16,18267,aux,132406,0.4823,0.4194,0.7387,0.0,0.772,AUX,11.793635791178106
aux_get,aux,21,2.528,60,0.0299,0.6397,14,268,aux,1623,0.3345,0.1823,0.4295,0.0,0.0123,AUX-PASS,7.392647520721623
aux_getta,aux,24,0.102,54,0.0031,0.924,6,8,aux,23,0.3252,0.0762,0.8261,0.0,0.913,AUX,3.1780538303479458
aux_ha,aux,24,0.258,36,0.0008,0.0995,7,72,aux,153,0.2313,0.0859,1.0,0.0,0.9608,AUX,5.0369526024136295
aux_hafta,aux,24,3.336,36,-0.0186,-0.2064,12,629,aux,3036,0.3412,0.2017,0.9585,0.0,0.9654,AUX,8.01862546504575
aux_have,aux,18,18.963,60,0.3383,0.8412,15,3208,aux,34393,0.4721,0.3635,0.7287,0.0,0.7039,AUX,10.445637409544144
aux_may,aux,24,0.764,51,0.0089,0.5022,12,98,aux,272,0.2887,0.1194,0.9154,0.0,0.9522,AUX,5.60947179518496
aux_might,aux,21,5.523,48,0.0935,0.6375,14,591,aux,4156,0.3734,0.2294,0.9196,0.0,0.9365,AUX,8.332548939252638
aux_must,aux,18,3.502,48,0.0705,0.8025,15,380,aux,2923,0.3773,0.222,0.9251,0.0,0.9309,AUX,7.980707820869669
aux_need,aux,27,0.095,42,0.003,0.8332,5,5,aux,44,0.1668,0.0468,0.9773,0.0,1.0,AUX,3.8066624897703196
aux_needta,aux,24,3.256,54,0.0979,0.9101,12,417,aux,956,0.3038,0.1537,0.9895,0.0,0.9676,AUX,6.863803391452954
aux_shall,aux,21,6.323,57,0.1143,0.7735,14,1107,aux,13043,0.5257,0.3673,0.9208,0.0,0.9242,AUX,9.47608353690921
aux_shat,aux,30,0.148,45,0.009,0.8984,4,5,aux,24,0.2287,0.0543,0.7083,0.0,0.9583,AUX,3.2188758248682006
aux_should,aux,21,2.528,60,0.0632,0.8946,14,204,aux,3268,0.3963,0.2365,0.828,0.0,0.8583,AUX,8.092239406724211
aux_useta,aux,30,0.135,48,0.0047,0.9197,6,11,aux,415,0.2825,0.1256,0.9542,0.0,0.0,AUX,6.030685260261263
aux_will,aux,21,23.926,45,0.353,0.6541,14,2531,aux,11889,0.4611,0.319,0.6577,0.0,0.7104,AUX,9.383452989684827
aux_would,aux,18,7.543,48,0.1461,0.7431,15,428,aux,9924,0.4537,0.3078,0.8341,0.0,0.8534,AUX,9.202812105555392
det_a,determiner,15,78.842,42,0.5476,0.5402,16,38331,determiner,127583,0.3928,0.3405,0.5674,0.0,0.9638,DET,11.75653025018108
det_all,determiner,18,11.607,57,0.0818,0.5359,15,4528,determiner,16652,0.4191,0.3003,0.3697,0.0,0.9567,DET-PREDET,9.720345659358271
det_another,determiner,21,9.592,30,-0.0948,-0.6346,14,3478,determiner,5120,0.4149,0.2612,0.6121,0.0,0.9689,DET,8.54110501146255
det_any,determiner,15,3.312,51,0.0404,0.6366,15,605,determiner,4133,0.3849,0.2363,0.3726,0.9506,0.9673,ROOT,8.327000740241713
det_both,determiner,24,0.693,57,0.0159,0.7787,11,57,determiner,410,0.2908,0.129,0.4707,0.0,0.9683,DET,6.018593214496234
det_each,determiner,24,1.264,60,0.0204,0.6676,9,26,determiner,412,0.3048,0.1354,0.5316,0.0,0.9539,DET,6.023447592961033
det_either,determiner,27,0.199,36,0.0021,0.3337,5,27,determiner,227,0.5109,0.2045,0.4581,0.9912,0.9956,ROOT,5.429345628954441
det_every,determiner,24,1.264,60,0.0294,0.8424,12,45,determiner,626,0.3205,0.1522,0.8051,0.0,0.9633,DET,6.440946540632921
det_half,determiner,27,0.148,45,0.0038,0.7697,5,11,determiner,176,0.2497,0.0953,0.6364,0.0,0.9489,DET-PREDET,5.176149732573829
det_no,determiner,18,10.513,30,-0.1354,-0.6273,14,4757,determiner,4321,0.4454,0.2749,0.6445,0.0,0.0012,DET,8.371473537066832
det_quite,determiner,27,0.135,48,0.005,0.9081,6,7,determiner,552,0.2855,0.1329,0.4112,0.0,0.0,DET-PREDET,6.315358001522335
det_some,determiner,15,16.818,39,0.1414,0.5019,15,5061,determiner,17743,0.3759,0.2711,0.6342,0.0,0.9602,DET,9.783802709590148
det_that,determiner,18,24.02,60,0.0882,0.2586,15,11753,determiner,25383,0.3852,0.2881,0.6919,0.0,0.1405,DET,10.141874333263031
det_the,determiner,15,91.464,54,1.3228,0.8028,16,34125,determiner,164551,0.3923,0.3474,0.6567,0.0,0.9647,DET,12.010981908658
det_this,determiner,15,18.963,60,0.2591,0.6488,16,8380,determiner,21214,0.3881,0.2851,0.6934,0.0,0.9566,DET,9.962463757636426
det_what,determiner,18,12.642,60,0.0848,0.3969,15,1177,determiner,9089,0.5017,0.3372,0.8313,0.0,0.0031,DET,9.114930187171524
det_which,determiner,24,3.545,45,0.0423,0.479,13,444,determiner,3153,0.4695,0.2789,0.9508,0.0,0.9791,DET,8.056426767522984
indirect_object,word_order,15,12.005,54,0.23,0.8254,16,1828,word_order,18144,0.4043,0.2923,1.0,0.0,0.0348,IOBJ,9.806150319647172
object_position,word_order,15,223.748,45,3.1956,0.7937,16,85538,word_order,343970,0.4968,0.467,1.0,0.0,0.3124,OBJ,12.748312630476313
prep_about,preposition,24,1.772,45,0.0348,0.7664,13,295,preposition,4785,0.4197,0.2622,0.6249,0.0,0.964,CASE,8.47345026846832
prep_above,preposition,24,0.084,27,0.0,0.0,4,27,preposition,140,0.2252,0.0822,0.7143,0.0,0.9286,CASE,4.948759890378168
prep_across,preposition,24,1.264,60,0.0188,0.6706,12,33,preposition,312,0.2916,0.1236,0.7083,0.0,0.9327,CASE,5.746203190540153
prep_after,preposition,21,2.528,60,0.0417,0.7043,14,231,preposition,1714,0.3663,0.2011,0.7258,0.0,0.951,CASE,7.44716835960004
prep_along,preposition,24,0.286,42,0.003,0.399,8,23,preposition,241,0.2276,0.0921,0.7593,0.0,0.0,CASE,5.488937726156687
prep_around,preposition,24,0.173,57,0.003,0.6816,9,45,preposition,428,0.2545,0.1138,0.75,0.0,0.0,CASE,6.061456918928017
prep_as,preposition,21,0.953,57,0.0135,0.5741,12,90,preposition,1132,0.3082,0.1598,0.5972,0.0,0.0027,CASE,7.0326242610280065
prep_at,preposition,15,16.435,60,0.2739,0.928,16,2441,preposition,18681,0.3767,0.2732,0.7383,0.0,0.9516,CASE,9.835315772432795
prep_away,preposition,24,0.289,39,0.0086,0.6459,8,57,preposition,266,0.3538,0.1457,0.8195,0.0,0.0,COMPOUND-PRT,5.58724865840025
prep_back,preposition,24,0.24,30,0.001,0.1538,9,43,preposition,119,0.2449,0.0864,0.8908,0.0,0.0,COMPOUND-PRT,4.787491742782046
prep_because,preposition,24,0.361,39,0.0049,0.4751,10,59,preposition,268,0.3879,0.16,0.8545,0.0,0.0224,CASE,5.594711379601839
prep_before,preposition,24,0.102,54,0.0034,0.9523,5,6,preposition,292,0.2907,0.1217,0.7877,0.0,0.0,CASE,5.680172609017068
prep_behind,preposition,21,0.808,48,0.0038,0.2229,13,217,preposition,1040,0.3073,0.1574,0.5942,0.0,0.9673,CASE,6.947937068614969
prep_beside,preposition,24,0.269,48,0.0057,0.6903,8,20,preposition,75,0.2208,0.0705,0.7733,0.0,0.9467,CASE,4.330733340286331
