age_bin,cue_subtype,cue_type,n_cue_tokens,n_child_utterances,rate_per_1k
15,aux_be,aux,5,696,7.184
15,aux_do,aux,5,696,7.184
15,det_a,determiner,16,696,22.989
15,det_any,determiner,1,696,1.437
15,det_some,determiner,2,696,2.874
15,det_the,determiner,3,696,4.31
15,det_this,determiner,1,696,1.437
15,indirect_object,word_order,3,696,4.31
15,object_position,word_order,32,696,45.977
15,prep_at,preposition,2,696,2.874
15,prep_for,preposition,2,696,2.874
15,prep_in,preposition,9,696,12.931
15,prep_to,preposition,2,696,2.874
15,prep_up,preposition,5,696,7.184
15,pron_acc_her,pronoun,1,696,1.437
15,pron_acc_i,pronoun,21,696,30.172
15,pron_acc_it,pronoun,1,696,1.437
15,pron_acc_they,pronoun,1,696,1.437
15,pron_acc_you,pronoun,1,696,1.437
15,pron_my,pronoun,2,696,2.874
15,pron_nom_he,pronoun,1,696,1.437
15,pron_nom_i,pronoun,1,696,1.437
15,pron_nom_it,pronoun,2,696,2.874
15,pron_nom_we,pronoun,2,696,2.874
15,pron_nom_you,pronoun,2,696,2.874
15,pron_that,pronoun,7,696,10.057
15,pron_there,pronoun,1,696,1.437
15,pron_this,pronoun,2,696,2.874
15,pron_what,pronoun,3,696,4.31
15,pron_your,pronoun,1,696,1.437
15,subject_position,word_order,25,696,35.92
15,verb_past,tense,5,696,7.184
18,aux_be,aux,43,3618,11.885
18,aux_can,aux,1,3618,0.276
18,aux_do,aux,9,3618,2.488
18,aux_have,aux,1,3618,0.276
18,aux_must,aux,1,3618,0.276
18,aux_would,aux,1,3618,0.276
18,det_a,determiner,172,3618,47.54
18,det_all,determiner,12,3618,3.317
18,det_no,determiner,21,3618,5.804
18,det_that,determiner,20,3618,5.528
18,det_the,determiner,62,3618,17.137
18,det_this,determiner,2,3618,0.553
18,det_what,determiner,8,3618,2.211
18,indirect_object,word_order,1,3618,0.276
18,object_position,word_order,134,3618,37.037
18,prep_at,preposition,1,3618,0.276
18,prep_down,preposition,11,3618,3.04
18,prep_for,preposition,2,3618,0.553
18,prep_in,preposition,16,3618,4.422
18,prep_like,preposition,1,3618,0.276
18,prep_of,preposition,1,3618,0.276
18,prep_off,preposition,4,3618,1.106
18,prep_on,preposition,18,3618,4.975
18,prep_out,preposition,3,3618,0.829
18,prep_over,preposition,2,3618,0.553
18,prep_to,preposition,1,3618,0.276
18,prep_under,preposition,9,3618,2.488
18,prep_up,preposition,13,3618,3.593
18,prep_with,preposition,1,3618,0.276
18,pron_acc_he,pronoun,3,3618,0.829
18,pron_acc_i,pronoun,32,3618,8.845
18,pron_acc_it,pronoun,2,3618,0.553
18,pron_acc_you,pronoun,1,3618,0.276
18,pron_my,pronoun,42,3618,11.609
18,pron_nom_he,pronoun,4,3618,1.106
18,pron_nom_i,pronoun,1,3618,0.276
18,pron_nom_it,pronoun,3,3618,0.829
18,pron_nom_she,pronoun,1,3618,0.276
18,pron_nom_they,pronoun,1,3618,0.276
18,pron_nom_you,pronoun,3,3618,0.829
18,pron_none,pronoun,1,3618,0.276
18,pron_our,pronoun,1,3618,0.276
18,pron_that,pronoun,71,3618,19.624
18,pron_there,pronoun,56,3618,15.478
18,pron_this,pronoun,18,3618,4.975
18,pron_what,pronoun,105,3618,29.022
18,pron_which,pronoun,1,3618,0.276
18,pron_who,pronoun,2,3618,0.553
18,pron_your,pronoun,8,3618,2.211
18,subject_position,word_order,163,3618,45.053
18,verb_past,tense,33,3618,9.121
21,aux_be,aux,179,22617,7.914
21,aux_can,aux,29,22617,1.282
21,aux_could,aux,2,22617,0.088
21,aux_da,aux,1,22617,0.044
21,aux_do,aux,112,22617,4.952
21,aux_get,aux,4,22617,0.177
21,aux_have,aux,8,22617,0.354
21,aux_might,aux,2,22617,0.088
21,aux_mo,aux,1,22617,0.044
21,aux_must,aux,3,22617,0.133
21,aux_shall,aux,2,22617,0.088
21,aux_should,aux,1,22617,0.044
21,aux_will,aux,15,22617,0.663
21,aux_would,aux,1,22617,0.044
21,det_a,determiner,873,22617,38.599
21,det_all,determiner,110,22617,4.864
21,det_another,determiner,133,22617,5.881
21,det_any,determiner,22,22617,0.973
21,det_no,determiner,178,22617,7.87
21,det_some,determiner,58,22617,2.564
21,det_that,determiner,406,22617,17.951
21,det_the,determiner,1081,22617,47.796
21,det_this,determiner,278,22617,12.292
21,det_what,determiner,26,22617,1.15
21,indirect_object,word_order,13,22617,0.575
21,object_position,word_order,1441,22617,63.713
