cue_subtype,cue_type,cue_form,count,S_acoustic,S_positional,S_frequency_zscore,S_frequency_normalized,S_repetition,S_perceptual,AttentionIndex,WeightedAttentionIndex,Reliability_gra,Reliability_gra_is_circular,Reliability_position,Reliability_form,Reliability_composite_noncircular,FunctionEntropy_gra,PositionConsistency,dominant_gra_relation,n_distinct_gra_relations,pos_mean,pos_std,n_distinct_functions,most_common_function
object_position,word_order,it,20090,0.3621,0.2729,2.2887,0.9079,1.0,0.1,0.5286,0.4913,1.0,True,0.0,0.3561,0.178,0.0,0.0,OBJ,1,0.6619,0.3358,1,patient
subject_position,word_order,you,42592,0.0582,0.3358,2.5778,0.9294,1.0,0.1,0.4847,0.4847,0.9982,True,0.4982,0.7435,0.6209,0.0186,0.0,NSUBJ,2,0.2804,0.3151,1,agent
aux_do,aux,don't,8121,0.0542,0.1896,1.9403,0.8744,1.0,0.2,0.4636,0.3916,0.901,False,0.0,0.9681,0.4841,0.1491,0.0773,AUX,23,0.2704,0.2667,1,tense_aspect_modal
pron_what,pronoun,what,4513,0.4135,0.3363,1.7143,0.8474,0.7441,0.1,0.4882,0.3854,0.8737,False,0.5559,0.9918,0.7739,0.2129,0.0,ROOT,30,0.366,0.3761,1,reference
pron_that,pronoun,that,1651,0.639,0.5396,1.3275,0.7904,0.6794,0.1,0.5497,0.3821,0.3392,False,0.96,0.0079,0.4839,0.6175,0.0434,ROOT,30,0.8222,0.2765,1,reference
pron_acc_it,pronoun,it,1868,0.5262,0.4455,1.375,0.7982,0.8047,0.1,0.5349,0.378,0.3849,False,0.9957,0.0054,0.5005,0.6653,0.2186,ROOT,22,0.8209,0.2258,1,patient
aux_be,aux,is,7531,0.0843,0.0629,1.9113,0.8712,1.0,0.1,0.4237,0.3548,0.631,False,0.0,0.8971,0.4486,0.36,0.0,COP,30,0.4346,0.2963,1,tense_aspect_modal
verb_past,tense,got,5794,0.1315,0.0353,1.8105,0.8594,1.0,0.1,0.4252,0.3457,0.6346,False,0.841,0.8847,0.8629,0.4563,0.0,ROOT,28,0.4712,0.2908,1,past
pron_acc_you,pronoun,you,1124,0.5721,0.4827,1.1796,0.7649,0.6794,0.1,0.5198,0.3426,0.2963,False,0.9947,0.0062,0.5004,0.6589,0.1901,ROOT,28,0.8278,0.2341,1,patient
det_the,determiner,the,9075,0.0215,-0.0193,1.9831,0.879,1.0,0.1,0.3962,0.3388,0.6562,False,0.0,0.9628,0.4814,0.3816,0.072,DET,28,0.5508,0.2682,1,np_boundary
det_a,determiner,a,6731,0.0195,0.0165,1.8681,0.8662,1.0,0.1,0.4004,0.3311,0.5883,False,0.0,0.9634,0.4817,0.4177,0.0905,DET,30,0.5001,0.2629,1,np_boundary
pron_this,pronoun,this,538,0.723,0.597,0.8962,0.7102,0.5868,0.1,0.5434,0.3206,0.4442,False,0.0,0.0,0.0,0.5986,0.1426,COP,20,0.8557,0.2478,1,reference
pron_your,pronoun,your,3288,0.0374,-0.0167,1.5925,0.831,1.0,0.1,0.3903,0.2966,0.6378,False,0.0,0.9309,0.4655,0.439,0.0744,NMOD-POSS,23,0.5672,0.2675,1,reference
pron_nom_you,pronoun,you,2252,0.123,0.0203,1.4469,0.8095,0.9575,0.1,0.4021,0.2912,0.3801,False,0.0,0.0013,0.0007,0.5677,0.0469,ADVMOD,34,0.4878,0.2754,1,agent
prep_on,preposition,on,2344,0.1617,0.0741,1.4623,0.8119,0.8296,0.1,0.3954,0.2879,0.5431,False,0.0,0.9565,0.4782,0.5112,0.0319,CASE,25,0.6037,0.2798,1,role_or_location
indirect_object,word_order,me,1543,0.1387,0.0484,1.3015,0.7861,1.0,0.1,0.4146,0.2856,1.0,True,0.0,0.115,0.0575,0.0,0.0583,IOBJ,1,0.5429,0.2722,1,recipient
prep_out,preposition,out,969,0.3333,0.2354,1.1225,0.7545,0.7441,0.1,0.4335,0.2797,0.5686,False,0.0,0.9617,0.4809,0.4897,0.0393,COMPOUND-PRT,19,0.6819,0.2777,1,role_or_location
pron_acc_i,pronoun,me,429,0.5664,0.4478,0.8091,0.6919,0.6139,0.1,0.484,0.2753,0.3124,False,0.9883,0.0023,0.4953,0.6712,0.115,ROOT,17,0.7994,0.2558,1,patient
prep_up,preposition,up,997,0.318,0.226,1.1335,0.7565,0.722,0.1,0.4245,0.275,0.7392,False,0.0,0.9739,0.4869,0.3741,0.0,COMPOUND-PRT,20,0.6681,0.2894,1,role_or_location
aux_can,aux,can,1615,0.0477,0.1291,1.319,0.789,0.7938,0.2,0.3919,0.2716,0.8954,False,0.0,0.961,0.4805,0.1637,0.04,AUX,18,0.3285,0.2774,1,tense_aspect_modal
pron_nom_it,pronoun,it,705,0.3589,0.2745,1.0002,0.7311,0.722,0.1,0.4373,0.2691,0.2,False,0.8199,0.0114,0.4156,0.7347,0.0,ROOT,25,0.6237,0.3702,1,agent
