cue_subtype,cue_type,first_emergence_month,peak_rate_per_1k,peak_month,uptake_slope,uptake_slope_r,n_bins_present,total_child_cue_tokens,cue_type_cg,caregiver_count,caregiver_AI,caregiver_WAI,Reliability_gra,Reliability_position,Reliability_form,dominant_gra_relation,log_caregiver_count
aux_be,aux,18,120.392,60,2.8805,0.9198,15,5216,aux,7531,0.4237,0.3548,0.631,0.0,0.8971,COP,8.926915889777042
aux_can,aux,18,57.131,54,1.2733,0.8504,15,2494,aux,1615,0.3919,0.2716,0.8954,0.0,0.961,AUX,7.38770923908104
aux_could,aux,24,16.612,57,0.3485,0.803,12,256,aux,182,0.2363,0.1155,0.9505,0.0,0.989,AUX,5.209486152841421
aux_do,aux,18,94.75,54,2.143,0.9124,15,4318,aux,8121,0.4636,0.3916,0.901,0.0,0.9681,AUX,9.002331708246244
aux_get,aux,21,2.585,48,0.0192,0.3303,14,91,aux,97,0.2184,0.0939,0.4742,0.0,0.0103,AUX-PASS,4.584967478670572
aux_ha,aux,21,1.176,60,0.0146,0.6696,11,32,aux,18,0.1431,0.0395,1.0,0.0,1.0,AUX,2.9444389791664403
aux_hafta,aux,21,6.031,48,0.0965,0.7027,13,159,aux,229,0.2335,0.1191,0.9694,0.0,0.9738,AUX,5.438079308923196
aux_have,aux,18,10.671,24,-0.0722,-0.353,15,183,aux,323,0.3178,0.1723,0.8731,0.0,0.3963,AUX,5.780743515792329
aux_may,aux,18,4.579,39,0.0002,0.0016,14,125,aux,188,0.2518,0.1238,0.9574,0.0,0.9255,AUX,5.241747015059643
aux_might,aux,36,1.569,60,0.0347,0.4684,8,43,aux,88,0.2288,0.0963,0.9545,0.0,0.9773,AUX,4.48863636973214
aux_must,aux,21,0.944,51,0.0074,0.3198,10,36,aux,159,0.269,0.1281,1.0,0.0,0.9686,AUX,5.075173815233827
aux_needta,aux,36,0.315,51,0.0004,0.0387,5,9,aux,9,0.1374,0.0297,1.0,0.0,0.0,AUX,2.302585092994046
aux_shall,aux,24,2.033,24,-0.0351,-0.6255,7,26,aux,77,0.2971,0.1214,0.9091,0.0,0.987,AUX,4.356708826689592
aux_should,aux,33,1.972,42,0.0205,0.3087,10,71,aux,122,0.2419,0.1092,0.959,0.0,0.9918,AUX,4.812184355372417
aux_useta,aux,36,0.689,48,0.0099,0.4138,6,11,aux,19,0.1613,0.0453,0.8947,0.0,0.0,AUX,2.995732273553991
aux_will,aux,18,20.027,42,0.3647,0.7177,15,787,aux,564,0.313,0.1861,0.8741,0.0,0.9627,AUX,6.336825731146441
aux_would,aux,27,3.62,51,0.0399,0.4182,10,77,aux,572,0.334,0.199,0.9231,0.0,0.979,AUX,6.35088571671474
det_a,determiner,18,136.135,51,1.5963,0.6136,15,8293,determiner,6731,0.4004,0.3311,0.5883,0.0,0.9634,DET,8.814627555310697
det_all,determiner,18,16.997,51,0.2444,0.7629,15,785,determiner,848,0.3514,0.2223,0.2783,0.0,0.961,DET-PREDET,6.744059186311348
det_another,determiner,18,13.974,24,-0.0573,-0.2352,15,661,determiner,268,0.3281,0.1722,0.5373,0.0,0.9366,DET,5.594711379601839
det_any,determiner,21,2.353,60,0.0335,0.5419,14,84,determiner,381,0.3249,0.1812,0.5354,0.9633,0.9842,ROOT,5.945420608606575
det_both,determiner,21,0.82,57,-0.0035,-0.193,8,22,determiner,28,0.2395,0.0757,0.5,0.0,0.9286,DET,3.367295829986474
det_each,determiner,36,1.034,48,-0.0046,-0.1092,8,27,determiner,17,0.1523,0.0413,0.4706,0.0,1.0,DET,2.8903717578961645
det_every,determiner,39,1.176,60,0.0463,0.8383,8,21,determiner,61,0.2584,0.1001,0.8852,0.0,0.9672,DET,4.127134385045092
det_half,determiner,51,0.63,51,-0.143,-1.0,2,5,determiner,9,0.1619,0.035,0.8889,0.0,1.0,DET-PREDET,2.302585092994046
det_no,determiner,18,15.892,54,0.0361,0.1265,15,594,determiner,413,0.3737,0.2112,0.8015,0.0,0.0024,DET,6.025865973825314
det_some,determiner,18,28.485,36,0.1388,0.2029,15,1366,determiner,569,0.3204,0.1907,0.638,0.0,0.9525,DET,6.345636360828596
det_that,determiner,18,29.777,33,0.1367,0.2489,15,1661,determiner,987,0.3226,0.2087,0.6748,0.0,0.003,DET,6.895682697747868
det_the,determiner,18,105.414,57,2.2779,0.8033,15,5584,determiner,9075,0.3962,0.3388,0.6562,0.0,0.9628,DET,9.113388845899733
det_this,determiner,18,32.941,60,0.7008,0.8988,15,1434,determiner,767,0.3311,0.2063,0.7275,0.0,0.0026,DET,6.643789733147672
det_what,determiner,18,24.393,33,-0.1261,-0.2813,15,866,determiner,697,0.406,0.2494,0.9369,0.0,0.0029,DET,6.548219102762372
det_which,determiner,33,3.076,57,0.0675,0.6612,10,92,determiner,59,0.3015,0.1158,0.9661,0.0,1.0,DET,4.0943445622221
indirect_object,word_order,18,17.255,60,0.3179,0.8908,15,866,word_order,1543,0.4146,0.2856,1.0,0.0,0.115,IOBJ,7.342131730584722
object_position,word_order,18,316.56,48,2.6861,0.646,15,24266,word_order,20090,0.5286,0.4913,1.0,0.0,0.3561,OBJ,9.90802723257816
prep_about,preposition,24,4.828,54,0.0668,0.6614,13,179,preposition,320,0.3095,0.1676,0.7281,0.0,0.9688,CASE,5.771441123130016
prep_across,preposition,39,0.402,54,0.0029,0.1792,6,9,preposition,12,0.1591,0.0383,0.6667,0.0,1.0,CASE,2.5649493574615367
prep_after,preposition,18,2.541,24,-0.0165,-0.3135,13,50,preposition,74,0.2456,0.0995,0.8108,0.0,0.973,CASE,4.31748811353631
prep_around,preposition,24,1.569,60,0.0212,0.5643,13,50,preposition,59,0.2156,0.0828,0.8136,0.0,0.0169,CASE,4.0943445622221
prep_as,preposition,24,0.862,48,0.0008,0.043,8,18,preposition,32,0.1331,0.0437,0.5625,0.0,0.0,CASE,3.4965075614664802
prep_at,preposition,18,9.607,36,0.13,0.6319,15,449,preposition,724,0.2999,0.1853,0.7514,0.0,0.9599,CASE,6.586171654854675
prep_away,preposition,30,0.82,57,0.0202,0.744,6,9,preposition,13,0.3085,0.0764,1.0,0.0,0.0,COMPOUND-PRT,2.6390573296152584
prep_back,preposition,21,0.303,42,-0.0018,-0.2921,7,10,preposition,10,0.1592,0.0358,0.8,0.0,0.0,COMPOUND-PRT,2.3978952727983707
prep_because,preposition,30,0.392,60,0.0089,0.8925,6,6,preposition,7,0.3246,0.0633,0.8571,0.0,0.0,CASE,2.0794415416798357
prep_behind,preposition,18,3.351,18,-0.0295,-0.4516,11,38,preposition,37,0.235,0.0802,0.6216,0.0,0.973,CASE,3.6375861597263857
prep_beside,preposition,24,0.689,48,0.0126,0.5533,3,6,preposition,7,0.1217,0.0237,0.5714,0.0,1.0,CASE,2.0794415416798357
prep_by,preposition,18,2.978,18,-0.014,-0.2383,15,111,preposition,149,0.2532,0.119,0.7181,0.0,0.9463,CASE,5.0106352940962555
prep_down,preposition,18,14.298,36,-0.0146,-0.0694,15,759,preposition,601,0.4065,0.2441,0.6389,0.0,0.9551,COMPOUND-PRT,6.400257445308821
