age_bin,cue_subtype,cue_type,n_cue_tokens,n_child_utterances,rate_per_1k
18,aux_be,aux,5,2686,1.862
18,aux_can,aux,2,2686,0.745
18,aux_do,aux,2,2686,0.745
18,aux_have,aux,3,2686,1.117
18,aux_may,aux,2,2686,0.745
18,aux_will,aux,1,2686,0.372
18,det_a,determiner,180,2686,67.014
18,det_all,determiner,6,2686,2.234
18,det_another,determiner,17,2686,6.329
18,det_no,determiner,12,2686,4.468
18,det_some,determiner,3,2686,1.117
18,det_that,determiner,12,2686,4.468
18,det_the,determiner,51,2686,18.987
18,det_this,determiner,6,2686,2.234
18,det_what,determiner,2,2686,0.745
18,indirect_object,word_order,1,2686,0.372
18,object_position,word_order,349,2686,129.933
18,prep_after,preposition,1,2686,0.372
18,prep_at,preposition,3,2686,1.117
18,prep_behind,preposition,9,2686,3.351
18,prep_by,preposition,8,2686,2.978
18,prep_down,preposition,19,2686,7.074
18,prep_from,preposition,2,2686,0.745
18,prep_in,preposition,2,2686,0.745
18,prep_like,preposition,1,2686,0.372
18,prep_of,preposition,2,2686,0.745
18,prep_off,preposition,1,2686,0.372
18,prep_on,preposition,13,2686,4.84
18,prep_out,preposition,8,2686,2.978
18,prep_under,preposition,7,2686,2.606
18,prep_up,preposition,9,2686,3.351
18,prep_with,preposition,1,2686,0.372
18,pron_acc_i,pronoun,2,2686,0.745
18,pron_acc_it,pronoun,11,2686,4.095
18,pron_acc_you,pronoun,2,2686,0.745
18,pron_my,pronoun,20,2686,7.446
18,pron_nom_you,pronoun,1,2686,0.372
18,pron_somebody,pronoun,3,2686,1.117
18,pron_that,pronoun,168,2686,62.547
18,pron_there,pronoun,12,2686,4.468
18,pron_this,pronoun,1,2686,0.372
18,pron_what,pronoun,6,2686,2.234
18,pron_you,pronoun,1,2686,0.372
18,pron_your,pronoun,1,2686,0.372
18,subject_position,word_order,188,2686,69.993
18,verb_past,tense,56,2686,20.849
21,aux_be,aux,23,4080,5.637
21,aux_can,aux,20,4080,4.902
21,aux_do,aux,31,4080,7.598
21,aux_get,aux,2,4080,0.49
21,aux_ha,aux,2,4080,0.49
21,aux_hafta,aux,3,4080,0.735
21,aux_have,aux,27,4080,6.618
21,aux_may,aux,3,4080,0.735
21,aux_must,aux,1,4080,0.245
21,aux_will,aux,5,4080,1.225
21,det_a,determiner,213,4080,52.206
21,det_all,determiner,33,4080,8.088
21,det_another,determiner,44,4080,10.784
21,det_any,determiner,1,4080,0.245
21,det_both,determiner,2,4080,0.49
21,det_no,determiner,52,4080,12.745
21,det_some,determiner,37,4080,9.069
21,det_that,determiner,115,4080,28.186
21,det_the,determiner,201,4080,49.265
21,det_this,determiner,7,4080,1.716
21,det_what,determiner,25,4080,6.127
21,indirect_object,word_order,10,4080,2.451
21,object_position,word_order,1156,4080,283.333
21,prep_after,preposition,3,4080,0.735
21,prep_at,preposition,3,4080,0.735
21,prep_back,preposition,1,4080,0.245
21,prep_behind,preposition,1,4080,0.245
21,prep_by,preposition,3,4080,0.735
21,prep_down,preposition,41,4080,10.049
21,prep_for,preposition,16,4080,3.922
21,prep_from,preposition,3,4080,0.735
21,prep_in,preposition,239,4080,58.578
21,prep_into,preposition,1,4080,0.245
21,prep_like,preposition,11,4080,2.696
21,prep_of,preposition,24,4080,5.882
21,prep_off,preposition,12,4080,2.941
21,prep_on,preposition,118,4080,28.922
21,prep_out,preposition,25,4080,6.127
21,prep_over,preposition,4,4080,0.98
21,prep_to,preposition,10,4080,2.451
21,prep_under,preposition,2,4080,0.49
21,prep_until,preposition,1,4080,0.245
21,prep_up,preposition,29,4080,7.108
21,prep_with,preposition,33,4080,8.088
21,pron_acc_he,pronoun,1,4080,0.245
21,pron_acc_i,pronoun,12,4080,2.941
21,pron_acc_it,pronoun,25,4080,6.127
21,pron_acc_they,pronoun,1,4080,0.245
21,pron_acc_you,pronoun,12,4080,2.941
21,pron_he,pronoun,1,4080,0.245
21,pron_her,pronoun,1,4080,0.245
21,pron_his,pronoun,1,4080,0.245
21,pron_my,pronoun,231,4080,56.618
21,pron_nom_he,pronoun,1,4080,0.245
21,pron_nom_i,pronoun,7,4080,1.716
21,pron_nom_it,pronoun,3,4080,0.735
21,pron_nom_they,pronoun,1,4080,0.245
21,pron_nom_you,pronoun,10,4080,2.451
21,pron_nothing,pronoun,1,4080,0.245
21,pron_one,pronoun,1,4080,0.245
21,pron_our,pronoun,2,4080,0.49
21,pron_something,pronoun,2,4080,0.49
21,pron_that,pronoun,130,4080,31.863
21,pron_there,pronoun,44,4080,10.784
21,pron_this,pronoun,5,4080,1.225
21,pron_what,pronoun,33,4080,8.088
21,pron_you,pronoun,9,4080,2.206
21,pron_your,pronoun,21,4080,5.147
21,subject_position,word_order,1012,4080,248.039
21,verb_past,tense,279,4080,68.382
24,aux_be,aux,171,3936,43.445
24,aux_can,aux,102,3936,25.915
24,aux_could,aux,1,3936,0.254
24,aux_do,aux,74,3936,18.801
24,aux_get,aux,6,3936,1.524
24,aux_ha,aux,2,3936,0.508
24,aux_hafta,aux,5,3936,1.27
24,aux_have,aux,42,3936,10.671
24,aux_may,aux,9,3936,2.287
24,aux_shall,aux,8,3936,2.033
24,aux_will,aux,26,3936,6.606
24,det_a,determiner,377,3936,95.783
24,det_all,determiner,32,3936,8.13
24,det_another,determiner,55,3936,13.974
24,det_any,determiner,6,3936,1.524
24,det_both,determiner,3,3936,0.762
24,det_no,determiner,28,3936,7.114
24,det_some,determiner,111,3936,28.201
24,det_that,determiner,59,3936,14.99
24,det_the,determiner,237,3936,60.213
24,det_this,determiner,54,3936,13.72
24,det_what,determiner,23,3936,5.843
24,indirect_object,word_order,43,3936,10.925
24,object_position,word_order,1195,3936,303.608
24,prep_about,preposition,2,3936,0.508
24,prep_after,preposition,10,3936,2.541
24,prep_around,preposition,1,3936,0.254
24,prep_as,preposition,2,3936,0.508
24,prep_at,preposition,28,3936,7.114
24,prep_behind,preposition,1,3936,0.254
24,prep_beside,preposition,1,3936,0.254
24,prep_by,preposition,11,3936,2.795
24,prep_down,preposition,27,3936,6.86
24,prep_for,preposition,89,3936,22.612
24,prep_from,preposition,13,3936,3.303
24,prep_in,preposition,179,3936,45.478
24,prep_like,preposition,18,3936,4.573
24,prep_of,preposition,33,3936,8.384
24,prep_off,preposition,27,3936,6.86
24,prep_on,preposition,155,3936,39.38
24,prep_out,preposition,22,3936,5.589
