cue_subtype,cue_type,cue_form,count,S_acoustic,S_positional,S_frequency_zscore,S_frequency_normalized,S_repetition,S_perceptual,AttentionIndex,WeightedAttentionIndex,Reliability_gra,Reliability_gra_is_circular,Reliability_position,Reliability_form,Reliability_composite_noncircular,FunctionEntropy_gra,PositionConsistency,dominant_gra_relation,n_distinct_gra_relations,pos_mean,pos_std,n_distinct_functions,most_common_function
object_position,word_order,apa,7052,0.4161,0.3189,2.6215,0.9322,1.0,0.2222,0.5779,0.5657,1.0,True,0.0,0.0768,0.0384,0.0,0.1078,OBJ,1,0.7434,0.2578,1,patient
subject_position,word_order,Ica,8538,0.0587,0.5338,2.6974,0.9369,1.0,0.2222,0.5503,0.5503,1.0,True,0.0,0.1247,0.0623,0.0,0.0,NSUBJ,1,0.2028,0.3088,1,agent
affix_di,voice_passive,dibuka,2288,0.3335,0.1587,2.1743,0.8979,1.0,0.4444,0.5669,0.4845,0.8033,False,0.5747,0.9415,0.7581,0.2935,0.0,ROOT,26,0.5093,0.3626,1,patient_focus
prep_di,preposition,di,2297,0.1363,0.1451,2.1759,0.8981,1.0,0.2222,0.4803,0.4107,0.8254,False,0.0,0.79,0.395,0.2553,0.0,CASE,19,0.4643,0.3404,1,spatial_role
yang,relativizer,yang,2778,0.076,0.1095,2.2514,0.9048,1.0,0.2222,0.4625,0.4051,0.5792,False,0.0,0.8193,0.4096,0.4875,0.0,NSUBJ,30,0.4484,0.31,1,clause_link
prep_ke,preposition,ke,1071,0.1298,0.0671,1.8728,0.8668,1.0,0.2222,0.4572,0.3524,0.8824,False,0.0,0.7514,0.3757,0.2056,0.0,CASE,13,0.5102,0.3168,1,spatial_role
affix_ber,voice_intrans,berenang,247,0.3279,0.1348,1.2901,0.7842,0.9326,0.4444,0.5248,0.3196,0.7328,False,0.587,0.8905,0.7388,0.4361,0.0,ROOT,12,0.4868,0.3607,1,stative_or_reciprocal
affix_me,voice_active,meletus,98,0.4184,0.2061,0.9229,0.7156,0.8977,0.4444,0.5365,0.2723,0.7041,False,0.602,0.6596,0.6308,0.5149,0.0,ROOT,9,0.5775,0.3688,1,agent_focus
prep_buat,preposition,buat,190,0.0789,0.5105,1.1859,0.766,0.7296,0.2222,0.4615,0.2677,0.7842,False,0.0,0.0108,0.0054,0.4467,0.0,CASE,4,0.2371,0.3354,1,spatial_role
prep_dari,preposition,dari,292,0.0856,0.2151,1.3566,0.7952,0.8099,0.2222,0.4256,0.2671,0.8733,False,0.0,0.8125,0.4062,0.263,0.0,CASE,10,0.4033,0.3417,1,spatial_role
prep_kalo,preposition,kalo,74,0.0,0.6703,0.8113,0.6924,0.4216,0.3333,0.4235,0.202,0.9459,False,0.0,0.0,0.0,0.2191,0.3258,CASE,3,0.0939,0.1948,1,spatial_role
prep_atas,preposition,atas,47,0.5106,0.3894,0.631,0.6527,0.5718,0.2222,0.4694,0.2007,0.5957,False,0.0,0.6957,0.3478,0.6616,0.0497,CASE,7,0.784,0.2746,1,spatial_role
affix_ter,voice_resultative,terbalik,44,0.3636,0.15,0.6048,0.6467,0.6263,0.5556,0.4684,0.197,0.8182,False,0.6818,0.9394,0.8106,0.4316,0.0,ROOT,5,0.4697,0.3457,1,accidental_or_capable
prep_pada,preposition,pada,75,0.1467,0.1533,0.8166,0.6935,0.6794,0.2222,0.379,0.1813,0.8133,False,0.0,0.7714,0.3857,0.4184,0.0,CASE,6,0.4546,0.3448,1,spatial_role
prep_sambil,preposition,sambil,49,0.1837,0.1857,0.6475,0.6565,0.6263,0.3333,0.3971,0.1716,0.9592,False,0.0,0.6875,0.3438,0.181,0.0,CASE,3,0.4715,0.3749,1,spatial_role
affix_pe,nominalizer,permen,21,0.5238,0.4238,0.311,0.5771,0.638,0.3333,0.4992,0.1705,0.7619,False,0.4286,0.5,0.4643,0.5202,0.0,ROOT,6,0.7447,0.326,1,agent_nominal
prep_sebelah,preposition,sebelah,47,0.1489,0.134,0.631,0.6527,0.4506,0.1111,0.2995,0.1281,0.8298,False,0.0,0.6596,0.3298,0.3863,0.0,CASE,6,0.4597,0.3461,1,spatial_role
prep_untuk,preposition,untuk,34,0.1176,0.0765,0.5024,0.623,0.5196,0.2222,0.3118,0.1225,0.8824,False,0.0,0.7059,0.3529,0.3264,0.0,CASE,5,0.4889,0.3423,1,spatial_role
prep_lewat,preposition,lewat,30,0.1333,0.3333,0.4526,0.6113,0.4216,0.1111,0.3221,0.1222,0.8,False,0.0,0.0333,0.0167,0.5375,0.0,CASE,3,0.3727,0.3864,1,spatial_role
prep_bagi,preposition,bagi,19,0.2632,0.1632,0.2712,0.5674,0.4989,0.2222,0.343,0.1135,0.6842,False,0.0,0.6111,0.3056,0.6313,0.0,CASE,5,0.5386,0.3997,1,spatial_role
prep_dalam,preposition,dalam,18,0.1667,0.0667,0.2497,0.5621,0.4506,0.3333,0.3159,0.1027,0.8889,False,0.0,0.7059,0.3529,0.3876,0.0,CASE,3,0.5635,0.3087,1,spatial_role
prep_untung,preposition,untung,9,0.1111,0.6778,-0.0256,0.4936,0.3487,0.2222,0.3707,0.0943,0.5556,False,0.0,0.0,0.0,0.9911,0.0,CASE,2,0.1852,0.3768,1,spatial_role
prep_entar,preposition,entar,7,0.0,0.9,-0.1254,0.4687,0.1502,0.2222,0.3482,0.08,0.7143,False,0.0,0.0,0.0,0.8631,1.0,CASE,2,0.0,0.0,1,spatial_role
prep_karena,preposition,karena,5,0.4,0.3,-0.2591,0.4356,0.3487,0.2222,0.3413,0.0676,0.8,False,0.0,0.0,0.0,0.7219,0.0,CASE,2,0.57,0.4467,1,spatial_role
prep_luar,preposition,luar,7,0.2857,0.1857,-0.1254,0.4687,0.3004,0.2222,0.2925,0.0672,0.5714,False,0.0,0.0,0.0,0.8699,0.0,NMOD-LMOD,3,0.5881,0.4056,1,spatial_role
prep_seperti,preposition,ini,6,0.3333,0.2333,-0.1867,0.4535,0.3004,0.2222,0.3085,0.0663,0.5,False,0.0,0.0,0.0,0.8962,0.0,CASE,4,0.6583,0.3169,1,spatial_role
prep_dengan,preposition,dengan,6,0.1667,0.4,-0.1867,0.4535,0.3004,0.2222,0.3085,0.0663,1.0,False,0.0,0.6667,0.3333,0.0,0.0,CASE,1,0.2833,0.4021,1,spatial_role
prep_selama,preposition,selama,5,0.2,0.3,-0.2591,0.4356,0.238,0.2222,0.2792,0.0553,0.8,False,0.0,1.0,0.5,0.7219,0.0,CASE,2,0.3089,0.4051,1,spatial_role
