cue_subtype,cue_type,first_emergence_month,peak_rate_per_1k,peak_month,uptake_slope,uptake_slope_r,n_bins_present,total_child_cue_tokens,cue_type_cg,caregiver_count,caregiver_AI,caregiver_WAI,Reliability_gra,Reliability_position,Reliability_form,dominant_gra_relation,log_caregiver_count
affix_ber,voice_intrans,18,9.568,66,0.0995,0.668,19,1092,voice_intrans,247,0.5248,0.3196,0.7328,0.587,0.8905,ROOT,5.5134287461649825
affix_di,voice_passive,18,30.368,60,0.3987,0.7472,19,5208,voice_passive,2288,0.5669,0.4845,0.8033,0.5747,0.9415,ROOT,7.735870319952567
affix_me,voice_active,18,6.908,69,0.081,0.8272,19,672,voice_active,98,0.5365,0.2723,0.7041,0.602,0.6596,ROOT,4.59511985013459
affix_pe,nominalizer,30,0.985,42,0.0025,0.1234,14,111,nominalizer,21,0.4992,0.1705,0.7619,0.4286,0.5,ROOT,3.091042453358316
affix_ter,voice_resultative,24,1.355,66,0.0142,0.6718,16,143,voice_resultative,44,0.4684,0.197,0.8182,0.6818,0.9394,ROOT,3.8066624897703196
object_position,word_order,18,118.048,69,1.8646,0.9123,19,22385,word_order,7052,0.5779,0.5657,1.0,0.0,0.0768,OBJ,8.86120833720818
prep_atas,preposition,18,1.994,24,-0.0045,-0.1747,18,300,preposition,47,0.4694,0.2007,0.5957,0.0,0.6957,CASE,3.871201010907891
prep_bagi,preposition,18,0.948,18,0.0039,0.23,18,91,preposition,19,0.343,0.1135,0.6842,0.0,0.6111,CASE,2.995732273553991
prep_buat,preposition,21,7.533,72,0.0125,0.1034,18,788,preposition,190,0.4615,0.2677,0.7842,0.0,0.0108,CASE,5.25227342804663
prep_dalam,preposition,21,0.541,30,-0.003,-0.3136,14,58,preposition,18,0.3159,0.1027,0.8889,0.0,0.7059,CASE,2.9444389791664403
prep_dari,preposition,21,6.131,69,0.0953,0.8124,18,827,preposition,292,0.4256,0.2671,0.8733,0.0,0.8125,CASE,5.680172609017068
prep_dengan,preposition,30,1.468,69,0.0243,0.7793,12,75,preposition,6,0.3085,0.0663,1.0,0.0,0.6667,CASE,1.9459101490553132
prep_di,preposition,18,50.63,66,0.6409,0.7178,19,9653,preposition,2297,0.4803,0.4107,0.8254,0.0,0.79,CASE,7.739794458408701
prep_entar,preposition,39,0.41,45,-0.0066,-0.348,6,22,preposition,7,0.3482,0.08,0.7143,0.0,0.0,CASE,2.0794415416798357
prep_kalo,preposition,27,2.843,36,0.0146,0.2345,15,365,preposition,74,0.4235,0.202,0.9459,0.0,0.0,CASE,4.31748811353631
prep_karena,preposition,30,0.219,51,-0.0002,-0.0428,8,14,preposition,5,0.3413,0.0676,0.8,0.0,0.0,CASE,1.791759469228055
prep_ke,preposition,21,17.029,57,0.2472,0.8344,18,3193,preposition,1071,0.4572,0.3524,0.8824,0.0,0.7514,CASE,6.977281341630747
prep_lewat,preposition,27,0.877,66,0.0117,0.7046,15,114,preposition,30,0.3221,0.1222,0.8,0.0,0.0333,CASE,3.4339872044851463
prep_luar,preposition,27,0.438,39,-0.0009,-0.1167,15,43,preposition,7,0.2925,0.0672,0.5714,0.0,0.0,NMOD-LMOD,2.0794415416798357
prep_pada,preposition,24,2.81,54,0.0387,0.6905,16,184,preposition,75,0.379,0.1813,0.8133,0.0,0.7714,CASE,4.330733340286331
prep_sambil,preposition,24,0.802,51,0.0118,0.6693,13,59,preposition,49,0.3971,0.1716,0.9592,0.0,0.6875,CASE,3.912023005428146
prep_sebelah,preposition,27,0.82,45,0.0078,0.493,15,126,preposition,47,0.2995,0.1281,0.8298,0.0,0.6596,CASE,3.871201010907891
prep_seperti,preposition,30,0.691,69,0.0084,0.5216,14,68,preposition,6,0.3085,0.0663,0.5,0.0,0.0,CASE,1.9459101490553132
prep_untuk,preposition,24,4.976,54,0.0555,0.5385,16,629,preposition,34,0.3118,0.1225,0.8824,0.0,0.7059,CASE,3.5553480614894135
prep_untung,preposition,27,0.351,54,0.0015,0.2396,8,15,preposition,9,0.3707,0.0943,0.5556,0.0,0.0,CASE,2.302585092994046
subject_position,word_order,18,185.751,69,2.9282,0.9073,19,31920,word_order,8538,0.5503,0.5503,1.0,0.0,0.1247,NSUBJ,9.052399183907607
yang,relativizer,18,93.976,57,1.1603,0.7157,19,14556,relativizer,2778,0.4625,0.4051,0.5792,0.0,0.8193,NSUBJ,7.929846429742503
