age_bin,cue_subtype,cue_type,n_cue_tokens,n_child_utterances,rate_per_1k
18,affix_ber,voice_intrans,2,2109,0.948
18,affix_di,voice_passive,2,2109,0.948
18,affix_me,voice_active,2,2109,0.948
18,object_position,word_order,21,2109,9.957
18,prep_atas,preposition,2,2109,0.948
18,prep_bagi,preposition,2,2109,0.948
18,prep_di,preposition,1,2109,0.474
18,prep_pegi,preposition,1,2109,0.474
18,subject_position,word_order,17,2109,8.061
18,yang,relativizer,3,2109,1.422
21,affix_ber,voice_intrans,3,5659,0.53
21,affix_di,voice_passive,31,5659,5.478
21,affix_me,voice_active,7,5659,1.237
21,object_position,word_order,83,5659,14.667
21,prep_atas,preposition,2,5659,0.353
21,prep_bagi,preposition,2,5659,0.353
21,prep_buat,preposition,5,5659,0.884
21,prep_dalam,preposition,2,5659,0.353
21,prep_dari,preposition,2,5659,0.353
21,prep_di,preposition,16,5659,2.827
21,prep_ke,preposition,3,5659,0.53
21,subject_position,word_order,128,5659,22.619
21,yang,relativizer,25,5659,4.418
24,affix_ber,voice_intrans,12,13040,0.92
24,affix_di,voice_passive,75,13040,5.752
24,affix_me,voice_active,11,13040,0.844
24,affix_ter,voice_resultative,4,13040,0.307
24,object_position,word_order,396,13040,30.368
24,prep_atas,preposition,26,13040,1.994
24,prep_bagi,preposition,4,13040,0.307
24,prep_buat,preposition,35,13040,2.684
24,prep_dar,preposition,1,13040,0.077
24,prep_dari,preposition,6,13040,0.46
24,prep_di,preposition,161,13040,12.347
24,prep_ke,preposition,44,13040,3.374
24,prep_ntuk,preposition,1,13040,0.077
24,prep_pada,preposition,1,13040,0.077
24,prep_per,preposition,1,13040,0.077
24,prep_sambil,preposition,1,13040,0.077
24,prep_sebab,preposition,1,13040,0.077
24,prep_selain,preposition,1,13040,0.077
24,prep_untuk,preposition,2,13040,0.153
24,subject_position,word_order,430,13040,32.975
24,yang,relativizer,153,13040,11.733
27,affix_ber,voice_intrans,9,11909,0.756
27,affix_di,voice_passive,121,11909,10.16
27,affix_me,voice_active,11,11909,0.924
27,affix_ter,voice_resultative,4,11909,0.336
27,object_position,word_order,608,11909,51.054
27,prep_atas,preposition,23,11909,1.931
27,prep_bagi,preposition,4,11909,0.336
27,prep_buat,preposition,19,11909,1.595
27,prep_dalam,preposition,4,11909,0.336
27,prep_dari,preposition,8,11909,0.672
27,prep_di,preposition,264,11909,22.168
27,prep_kalo,preposition,1,11909,0.084
27,prep_karna,preposition,1,11909,0.084
27,prep_ke,preposition,96,11909,8.061
27,prep_lewat,preposition,4,11909,0.336
27,prep_luar,preposition,1,11909,0.084
27,prep_pada,preposition,3,11909,0.252
27,prep_sambil,preposition,1,11909,0.084
