cue_subtype,cue_type,cue_form,count,S_acoustic,S_positional,S_frequency_zscore,S_frequency_normalized,S_repetition,S_perceptual,AttentionIndex,WeightedAttentionIndex,Reliability_gra,Reliability_gra_is_circular,Reliability_position,Reliability_form,Reliability_composite_noncircular,FunctionEntropy_gra,PositionConsistency,dominant_gra_relation,n_distinct_gra_relations,pos_mean,pos_std,n_distinct_functions,most_common_function
vfin_other,verb_final,ない,5848,1.0,0.8701,3.4392,0.9689,1.0,0.0625,0.7803,0.7791,0.3613,False,0.0,0.2567,0.1283,0.5812,0.7052,AUX,13,0.985,0.0852,1,other
vfin_past,verb_final,た,5249,1.0,0.8922,3.3889,0.9674,0.7993,0.0625,0.7443,0.7338,0.754,False,0.0,0.793,0.3965,0.403,0.8477,AUX,9,0.9961,0.044,1,past_or_copula
vfin_nonpast,verb_final,てる,3710,1.0,0.8302,3.2272,0.9618,1.0,0.0625,0.7709,0.7293,0.4426,False,0.0,0.4539,0.227,0.5104,0.5591,AUX,9,0.9651,0.1274,1,nonpast
particle_no_final,nominalizer,の,3253,1.0,0.9,3.166,0.9595,0.8099,0.0625,0.7464,0.6948,1.0,False,0.0,0.9748,0.4874,0.0,1.0,MARK,1,1.0,0.0,1,explanatory_final
particle_yo,sfp,よ,5365,0.7709,0.6782,3.399,0.9677,0.9978,0.0625,0.6954,0.6874,0.9965,False,0.0,0.9694,0.4847,0.018,0.3678,MARK,4,0.9133,0.1827,1,assertion
particle_ne,sfp,ね,5928,0.6915,0.5959,3.4455,0.9691,1.0,0.0625,0.6638,0.6638,0.9745,False,0.0,0.9681,0.484,0.0887,0.1038,MARK,4,0.8491,0.259,1,confirmation
particle_ka,question,か,4103,0.4431,0.3548,3.2741,0.9635,1.0,0.0625,0.5648,0.5409,0.8635,False,0.0,0.9683,0.4841,0.2954,0.1656,MARK,4,0.7944,0.2412,1,interrogative
particle_wa,topic,は,3985,0.4479,0.1898,3.2605,0.963,1.0,0.0625,0.5327,0.5083,0.8329,False,0.1897,0.9503,0.57,0.2483,0.0,CASE,7,0.5577,0.3286,1,topic
elong_long,prosodic_elongation,ー,980,0.9867,0.8867,2.6072,0.9313,0.1502,0.0625,0.6035,0.4785,0.952,False,0.0,1.0,0.5,0.19,0.7347,MARK,3,0.9915,0.0767,1,prosody
vfin_te,verb_final,て,565,1.0,0.9,2.3506,0.913,0.3487,0.0625,0.6448,0.4705,0.7274,False,1.0,0.0,0.5,0.5059,1.0,ROOT,5,1.0,0.0,1,te_form
particle_na,sfp,なあ,640,0.7922,0.6953,2.4087,0.9175,0.5868,0.0625,0.6109,0.4544,0.9953,False,0.0,0.9766,0.4883,0.0299,0.3479,MARK,3,0.9114,0.1885,1,prohibition_or_emphasis
particle_ni,case_dat,に,3977,0.1028,0.0111,3.2596,0.963,1.0,0.0625,0.4279,0.4082,0.9935,False,0.3075,0.8743,0.5909,0.032,0.1064,CASE,4,0.5046,0.2583,1,recipient_or_goal
particle_no_gen,case_gen,の,3411,0.0979,0.0091,3.1881,0.9604,1.0,0.0625,0.426,0.3989,0.8898,False,0.294,0.0103,0.1522,0.5006,0.0854,CASE,2,0.4962,0.2643,1,genitive
particle_ga,case_nom,が,2955,0.1103,0.0164,3.1212,0.9578,1.0,0.0625,0.4294,0.395,0.9966,False,0.331,0.8969,0.614,0.0185,0.1077,CASE,4,0.5059,0.2579,1,agent
particle_mo,focus,も,2641,0.1181,0.0215,3.0689,0.9556,1.0,0.0625,0.4316,0.3914,0.8902,False,0.3169,0.897,0.607,0.2837,0.1065,CASE,4,0.4987,0.2582,1,additive
dm_ょ,discourse_marker,ょ,309,0.9417,0.845,2.0695,0.8879,0.1502,0.0625,0.5775,0.3813,1.0,False,0.0,1.0,0.5,0.0,0.6844,MARK,1,0.9802,0.0912,1,discourse
particle_to,case_com,と,1304,0.1457,0.0564,2.7402,0.9394,0.9844,0.0625,0.4377,0.3614,0.9808,False,0.2822,0.8534,0.5678,0.0836,0.0177,CASE,4,0.516,0.2839,1,comitative
particle_no_other,particle_no_other,の,633,0.5498,0.475,2.4036,0.9171,0.3004,0.0625,0.461,0.3423,0.4107,False,0.94,0.0158,0.4779,0.6541,0.2218,ROOT,15,0.842,0.2249,1,ambiguous
particle_no_nom,nominalizer,の,2466,0.0,-0.074,3.037,0.9542,0.9601,0.0625,0.3805,0.3421,1.0,False,0.0,0.5045,0.2522,0.0,0.3277,MARK,1,0.6107,0.1943,1,nominalizer
