cue_subtype,cue_type,first_emergence_month,peak_rate_per_1k,peak_month,uptake_slope,uptake_slope_r,n_bins_present,total_child_cue_tokens,cue_type_cg,caregiver_count,caregiver_AI,caregiver_WAI,Reliability_gra,Reliability_position,Reliability_form,dominant_gra_relation,log_caregiver_count
dm_さ,discourse_marker,18,17.691,36,0.6487,0.6768,7,165,discourse_marker,265,0.296,0.1902,0.5509,0.0,1.0,MARK,5.583496308781699
dm_し,discourse_marker,21,2.416,24,-0.1279,-0.9323,6,113,discourse_marker,230,0.199,0.1246,0.9609,0.0,0.0,MARK,5.442417710521793
dm_っけ,discourse_marker,24,0.6,36,0.0434,0.9881,4,10,discourse_marker,186,0.5369,0.3233,0.9785,0.0,1.0,MARK,5.231108616854587
dm_って,discourse_marker,15,21.889,36,0.6487,0.6746,8,700,discourse_marker,1494,0.3399,0.286,0.6245,0.2677,1.0,CASE,7.3098814858247865
dm_もん,discourse_marker,18,5.508,30,0.3382,0.9399,7,217,discourse_marker,468,0.3913,0.277,1.0,0.0,1.0,MARK,6.150602768446279
dm_ょ,discourse_marker,21,3.623,24,-0.1086,-0.7269,6,149,discourse_marker,309,0.5775,0.3813,1.0,0.0,1.0,MARK,5.736572297479192
dm_わ,discourse_marker,15,8.696,36,0.0005,0.0021,8,351,discourse_marker,308,0.5014,0.3309,1.0,0.0,1.0,MARK,5.733341276897746
elong_long,prosodic_elongation,15,34.682,15,-1.563,-0.8683,8,811,prosodic_elongation,980,0.6035,0.4785,0.952,0.0,1.0,MARK,6.8885724595653635
part_あ,particle_other,15,5.78,15,-0.1742,-0.6794,8,41,particle_other,22,0.4895,0.1767,0.9545,0.0,0.0,MARK,3.1354942159291497
part_お,particle_other,30,0.6,36,0.0758,0.883,3,6,particle_other,7,0.1377,0.033,0.7143,0.0,0.0,MARK,2.0794415416798357
part_かい,particle_other,18,0.684,18,-0.0268,-0.9737,5,20,particle_other,13,0.3975,0.1208,0.6154,0.0,0.0,MARK,2.6390573296152584
part_かー,particle_other,15,0.963,15,-0.0205,-0.463,6,7,particle_other,24,0.5139,0.1904,0.8333,0.0,1.0,MARK,3.2188758248682006
part_がっ,particle_other,24,1.499,36,0.0986,0.8903,5,26,particle_other,27,0.1735,0.0666,1.0,0.0,1.0,MARK,3.332204510175204
part_がる,particle_other,24,0.652,27,0.0158,0.2337,4,17,particle_other,7,0.1948,0.0466,1.0,0.0,1.0,MARK,2.0794415416798357
part_これ,particle_other,21,1.199,36,0.0439,0.579,5,11,particle_other,8,0.3657,0.0925,0.75,0.0,0.0,MARK,2.1972245773362196
part_しか,particle_other,24,1.199,36,0.0599,0.7084,5,21,particle_other,61,0.1834,0.0871,0.9672,0.1967,1.0,CASE,4.127134385045092
part_ぞ,particle_other,21,2.099,36,0.0982,0.8074,6,43,particle_other,99,0.5226,0.277,0.9798,0.0,1.0,MARK,4.605170185988092
part_ぞー,particle_other,18,0.571,33,0.0089,0.3553,5,13,particle_other,17,0.4864,0.1618,1.0,0.0,1.0,MARK,2.8903717578961645
part_ち,particle_other,15,0.963,15,-0.0452,-0.882,6,8,particle_other,8,0.5407,0.1368,1.0,0.0,0.0,MARK,2.1972245773362196
part_っ,particle_other,15,6.744,15,-0.1654,-0.5088,6,23,particle_other,39,0.1984,0.0843,1.0,0.0,0.0,MARK,3.6888794541139363
part_っと,particle_other,15,2.89,15,-0.0901,-0.6496,5,9,particle_other,13,0.1514,0.046,0.3846,0.6154,1.0,CASE,2.6390573296152584
part_て,particle_other,21,0.29,30,0.0057,0.3304,4,10,particle_other,18,0.2026,0.0687,0.6667,0.2778,0.0,CASE,2.9444389791664403
part_ねー,particle_other,24,0.322,24,-0.0833,-1.0,2,5,particle_other,5,0.13,0.0268,0.2,0.0,1.0,MARK,1.791759469228055
part_ゃ,particle_other,24,0.579,27,-0.0097,-0.1849,3,12,particle_other,8,0.3907,0.0988,1.0,0.0,0.0,MARK,2.1972245773362196
part_ゃー,particle_other,27,0.29,27,-0.0347,-1.0,2,5,particle_other,10,0.1457,0.0402,1.0,0.0,1.0,MARK,2.3978952727983707
part_や,particle_other,15,7.707,15,-0.2312,-0.6031,8,141,particle_other,66,0.3814,0.1846,0.5455,0.0,0.0,MARK,4.204692619390966
part_やっ,particle_other,21,0.242,24,-0.0117,-0.5637,4,6,particle_other,9,0.1434,0.038,1.0,0.0,0.0,CASE,2.302585092994046
part_やら,particle_other,27,0.507,27,-0.0708,-0.8558,3,9,particle_other,6,0.1342,0.0301,0.8333,0.5,0.0,CASE,1.9459101490553132
