age_bin,cue_subtype,cue_type,n_cue_tokens,n_child_utterances,rate_per_1k
15,dm_って,discourse_marker,4,1038,3.854
15,dm_わ,discourse_marker,6,1038,5.78
15,elong_long,prosodic_elongation,36,1038,34.682
15,part_ぁ,particle_other,2,1038,1.927
15,part_あ,particle_other,6,1038,5.78
15,part_ああ,particle_other,2,1038,1.927
15,part_あー,particle_other,1,1038,0.963
15,part_ぃ,particle_other,3,1038,2.89
15,part_ぇ,particle_other,3,1038,2.89
15,part_え,particle_other,1,1038,0.963
15,part_ぉ,particle_other,1,1038,0.963
15,part_かー,particle_other,1,1038,0.963
15,part_けー,particle_other,2,1038,1.927
15,part_げ,particle_other,3,1038,2.89
15,part_こ,particle_other,1,1038,0.963
15,part_ち,particle_other,1,1038,0.963
15,part_っ,particle_other,7,1038,6.744
15,part_っか,particle_other,3,1038,2.89
15,part_っと,particle_other,3,1038,2.89
15,part_ねん,particle_other,1,1038,0.963
15,part_ぽ,particle_other,1,1038,0.963
15,part_まい,particle_other,1,1038,0.963
15,part_ゃあ,particle_other,1,1038,0.963
15,part_や,particle_other,8,1038,7.707
15,part_ん,particle_other,1,1038,0.963
15,particle_ga,case_nom,5,1038,4.817
15,particle_ka,question,25,1038,24.085
15,particle_mo,focus,16,1038,15.414
15,particle_na,sfp,8,1038,7.707
15,particle_ne,sfp,16,1038,15.414
15,particle_ni,case_dat,11,1038,10.597
15,particle_no_final,nominalizer,2,1038,1.927
15,particle_no_gen,case_gen,1,1038,0.963
15,particle_no_nom,nominalizer,5,1038,4.817
15,particle_to,case_com,18,1038,17.341
15,particle_wa,topic,11,1038,10.597
15,particle_yo,sfp,24,1038,23.121
15,vfin_nonpast,verb_final,25,1038,24.085
15,vfin_other,verb_final,46,1038,44.316
15,vfin_past,verb_final,72,1038,69.364
18,dm_さ,discourse_marker,2,4384,0.456
18,dm_って,discourse_marker,8,4384,1.825
18,dm_もん,discourse_marker,2,4384,0.456
18,dm_わ,discourse_marker,25,4384,5.703
18,elong_long,prosodic_elongation,118,4384,26.916
18,part_ぁ,particle_other,8,4384,1.825
18,part_あ,particle_other,6,4384,1.369
18,part_ああ,particle_other,1,4384,0.228
18,part_あっ,particle_other,2,4384,0.456
18,part_あわ,particle_other,1,4384,0.228
18,part_ぃ,particle_other,15,4384,3.422
18,part_う,particle_other,1,4384,0.228
18,part_ぇ,particle_other,6,4384,1.369
18,part_え,particle_other,1,4384,0.228
18,part_ぉ,particle_other,3,4384,0.684
18,part_かい,particle_other,3,4384,0.684
