cue_subtype,cue_type,cue_form,count,S_acoustic,S_positional,S_frequency_zscore,S_frequency_normalized,S_repetition,S_perceptual,AttentionIndex,WeightedAttentionIndex,Reliability_gra,Reliability_gra_is_circular,Reliability_position,Reliability_form,Reliability_composite_noncircular,FunctionEntropy_gra,PositionConsistency,dominant_gra_relation,n_distinct_gra_relations,pos_mean,pos_std,n_distinct_functions,most_common_function
vfin_other,verb_final,봐,12183,1.0,0.6707,1.7593,0.8531,1.0,0.25,0.7548,0.7548,0.8146,False,1.0,0.6367,0.8184,0.2781,0.2726,ROOT,15,0.8853,0.2102,1,other
vfin_yo,verb_final,주세요,3075,1.0,0.806,1.1637,0.762,1.0,0.5,0.8136,0.6946,0.7558,False,1.0,0.8529,0.9265,0.3857,0.4951,ROOT,10,0.953,0.1459,1,polite
vfin_eoa,verb_final,했어,2644,1.0,0.7434,1.0984,0.75,1.0,0.5,0.7987,0.669,0.8082,False,1.0,0.8334,0.9167,0.3162,0.3712,ROOT,12,0.9217,0.1817,1,casual
vfin_ji,verb_final,그렇지,1191,1.0,0.7589,0.7534,0.6799,1.0,0.75,0.8378,0.6308,0.7691,False,1.0,0.8161,0.9081,0.4379,0.3975,ROOT,7,0.9295,0.1741,1,confirmation
vfin_ne,verb_final,잘하네,735,1.0,0.8156,0.5446,0.6329,1.0,0.5,0.7897,0.5541,0.8095,False,1.0,0.8882,0.9441,0.3483,0.5188,ROOT,8,0.9578,0.1391,1,exclamation
vfin_da,verb_final,간다,695,1.0,0.654,0.5204,0.6272,1.0,0.5,0.7562,0.5261,0.8144,False,1.0,0.7676,0.8838,0.3606,0.2543,ROOT,9,0.877,0.2155,1,plain_decl
particle_i_suffix,case_nom,이름이,3367,0.0924,0.3116,1.2029,0.769,1.0,0.75,0.5846,0.5047,0.6507,False,0.0,0.781,0.3905,0.4637,0.0,NSUBJ,16,0.3092,0.3205,1,agent
particle_neun_suffix,topic,얘는,2998,0.1601,0.3183,1.1527,0.76,1.0,0.5,0.5477,0.4661,0.6911,False,0.0,0.8729,0.4365,0.4141,0.0,DISLOCATED,16,0.2999,0.3146,1,topic
vfin_yeyo,verb_final,거예요,272,1.0,0.8375,0.1146,0.5286,0.9412,0.5,0.7615,0.454,0.9007,False,1.0,0.9851,0.9926,0.2433,0.5804,ROOT,6,0.9688,0.1213,1,polite_decl
particle_ga_suffix,case_nom,엄마가,3680,0.0467,0.2745,1.2414,0.7758,1.0,0.5,0.5194,0.4533,0.7785,False,0.0,0.9032,0.4516,0.3657,0.0,NSUBJ,13,0.3112,0.299,1,agent
vfin_sumnida,verb_final,갑니다,174,1.0,0.7851,-0.0787,0.4803,1.0,0.5,0.7531,0.4134,0.7529,False,1.0,0.7326,0.8663,0.5284,0.4466,ROOT,5,0.9425,0.1599,1,formal
particle_reul_suffix,case_acc,쿠키를,870,0.0345,0.0586,0.6175,0.6497,1.0,0.75,0.4986,0.3587,0.9,False,0.0,0.9789,0.4895,0.2223,0.0198,OBJ,9,0.4568,0.2833,1,patient
particle_eun_suffix,topic,사람은,641,0.0952,0.2339,0.4854,0.619,1.0,0.5,0.4896,0.3364,0.7785,False,0.0,0.8374,0.4187,0.3675,0.0,DISLOCATED,13,0.3407,0.316,1,topic
particle_eul_suffix,case_acc,말을,917,0.0174,0.045,0.6403,0.6548,1.0,0.5,0.4435,0.3216,0.8953,False,0.0,0.9726,0.4863,0.2187,0.0648,OBJ,12,0.4589,0.2703,1,patient
conn_go,connective,하고,1199,0.0,-0.0258,0.7563,0.6805,1.0,0.25,0.381,0.2871,0.5938,False,0.4512,0.888,0.6696,0.4965,0.1636,ROOT,13,0.5727,0.2417,1,conjunctive
particle_do_suffix,focus,정도,297,0.101,0.001,0.1526,0.5381,1.0,0.5,0.428,0.2592,0.6027,False,0.0,0.0264,0.0132,0.554,0.0455,PUNCT,11,0.5216,0.2759,1,additive
conn_seo,connective,가서,661,0.0,-0.0017,0.4987,0.6221,1.0,0.25,0.3741,0.2583,0.7534,False,0.0,0.831,0.4155,0.3951,0.1926,CCOMP,9,0.4531,0.2333,1,causal_sequential
conn_myeon,connective,하면,555,0.0,-0.0081,0.4231,0.6042,1.0,0.25,0.3692,0.2481,0.7081,False,0.0,0.8578,0.4289,0.4847,0.1707,CCOMP,8,0.4628,0.2397,1,conditional
particle_ui_suffix,case_gen,아기의,114,0.0351,0.1105,-0.2616,0.435,0.9548,0.75,0.4571,0.2305,0.8684,False,0.0,0.8182,0.4091,0.3001,0.1032,NMOD,8,0.353,0.2592,1,genitive
conn_nikka,connective,보니까,180,0.0,-0.0333,-0.064,0.484,0.9957,0.5,0.3893,0.2151,0.5722,False,0.0,0.6863,0.3431,0.6542,0.2283,CCOMP,8,0.45,0.223,1,causal
particle_e_suffix,case_loc,집에,168,0.119,0.025,-0.0939,0.4765,0.9495,0.25,0.364,0.1985,0.3988,False,0.0,0.014,0.007,0.6804,0.1541,PUNCT,10,0.5553,0.2445,1,location
particle_wa_suffix,case_com,우와,54,0.4815,0.3259,-0.5849,0.3578,0.6139,0.5,0.4558,0.1942,0.7407,False,0.0,0.0,0.0,0.4988,0.0,PUNCT,7,0.6358,0.3495,1,comitative
particle_euro_suffix,case_inst,이쪽으로,37,0.2162,0.1432,-0.7484,0.3212,0.6597,0.75,0.4181,0.1616,0.6486,False,0.0,0.0,0.0,0.6175,0.0852,PUNCT,6,0.6279,0.2644,1,instrument_or_direction
particle_hante_suffix,case_dat,엄마한테,37,0.1622,0.0622,-0.7484,0.3212,0.6886,0.5,0.3468,0.1341,0.4865,False,0.0,0.0,0.0,0.7479,0.0,PUNCT,7,0.4847,0.3052,1,recipient_plain
particle_eseo_suffix,case_loc,뒤에서,19,0.0526,-0.0474,-1.0367,0.2618,0.6139,0.5,0.2762,0.0879,0.4737,False,0.0526,0.0,0.0263,0.8034,0.3089,COMPOUND,4,0.5679,0.1997,1,location_source
particle_buteo_suffix,case_abl,그때부터,7,0.2857,0.1857,-1.4687,0.1871,0.4216,0.75,0.366,0.0809,0.8571,False,0.0,0.0,0.0,0.5917,0.0,PUNCT,2,0.5368,0.3451,1,source
particle_gwa_suffix,case_com,사과,8,0.125,0.025,-1.4109,0.1961,0.3004,0.5,0.2293,0.0536,0.625,False,0.0,0.0,0.0,0.8194,0.0,PUNCT,3,0.5295,0.3023,1,comitative
particle_kkaji_suffix,case_term,지금까지,5,0.0,-0.1,-1.6142,0.166,0.3487,0.75,0.2329,0.0444,0.6,False,0.0,0.0,0.0,0.971,0.3795,NSUBJ,2,0.3427,0.1793,1,terminus
particle_ga_standalone,case_nom,가,7,0.0,-0.1,-1.4687,0.1871,0.3004,0.25,0.1275,0.0282,0.8571,False,0.0,0.1429,0.0714,0.5917,0.3576,CASE,2,0.5022,0.1856,1,agent
