cue_subtype,cue_type,first_emergence_month,peak_rate_per_1k,peak_month,uptake_slope,uptake_slope_r,n_bins_present,total_child_cue_tokens,cue_type_cg,caregiver_count,caregiver_AI,caregiver_WAI,Reliability_gra,Reliability_position,Reliability_form,dominant_gra_relation,log_caregiver_count
conn_go,connective,18,26.722,42,0.6732,0.8179,10,377,connective,1199,0.381,0.2871,0.5938,0.4512,0.888,ROOT,7.090076835776092
conn_myeon,connective,21,34.771,42,1.1618,0.8433,9,307,connective,555,0.3692,0.2481,0.7081,0.0,0.8578,CCOMP,6.320768294250582
conn_nikka,connective,21,3.863,42,0.1671,0.754,7,33,connective,180,0.3893,0.2151,0.5722,0.0,0.6863,CCOMP,5.198497031265826
conn_seo,connective,21,26.401,42,0.8958,0.9002,9,299,connective,661,0.3741,0.2583,0.7534,0.0,0.831,CCOMP,6.495265555937008
particle_do_suffix,focus,18,7.281,24,-0.0733,-0.3491,10,120,focus,297,0.428,0.2592,0.6027,0.0,0.0264,PUNCT,5.697093486505405
particle_e_suffix,case_loc,24,0.59,24,,,1,6,case_loc,168,0.364,0.1985,0.3988,0.0,0.014,PUNCT,5.1298987149230735
particle_eul_suffix,case_acc,21,15.335,39,0.4005,0.6184,9,176,case_acc,917,0.4435,0.3216,0.8953,0.0,0.9726,OBJ,6.822197390620491
particle_eun_suffix,topic,21,13.721,39,0.3575,0.6345,9,160,topic,641,0.4896,0.3364,0.7785,0.0,0.8374,DISLOCATED,6.464588303689961
particle_ga_suffix,case_nom,15,78.827,39,2.1752,0.8222,11,1248,case_nom,3680,0.5194,0.4533,0.7785,0.0,0.9032,NSUBJ,8.210939733379021
particle_gwa_suffix,case_com,24,0.295,24,0.0014,0.1511,4,6,case_com,8,0.2293,0.0536,0.625,0.0,0.0,PUNCT,2.1972245773362196
particle_i_suffix,case_nom,15,78.236,42,1.4237,0.6907,11,1612,case_nom,3367,0.5846,0.5047,0.6507,0.0,0.781,NSUBJ,8.122074375362217
particle_neun_suffix,topic,18,68.335,39,1.7061,0.8298,10,1056,topic,2998,0.5477,0.4661,0.6911,0.0,0.8729,DISLOCATED,8.00603417874901
particle_reul_suffix,case_acc,21,21.893,42,0.8757,0.8922,9,211,case_acc,870,0.4986,0.3587,0.9,0.0,0.9789,OBJ,6.769641976852503
particle_ui_suffix,case_gen,27,2.254,42,0.1236,0.8539,6,29,case_gen,114,0.4571,0.2305,0.8684,0.0,0.8182,NMOD,4.74493212836325
particle_wa_suffix,case_com,24,1.473,30,0.1963,1.0,2,9,case_com,54,0.4558,0.1942,0.7407,0.0,0.0,PUNCT,4.007333185232471
vfin_da,verb_final,15,30.054,21,0.3992,0.4536,11,638,verb_final,695,0.7562,0.5261,0.8144,1.0,0.7676,ROOT,6.54534966033442
vfin_eoa,verb_final,15,70.588,45,1.8821,0.9499,11,1778,verb_final,2644,0.7987,0.669,0.8082,1.0,0.8334,ROOT,7.8804263442924
vfin_ji,verb_final,18,24.469,42,0.4445,0.6606,10,498,verb_final,1191,0.8378,0.6308,0.7691,1.0,0.8161,ROOT,7.083387847625295
vfin_ne,verb_final,15,10.264,18,-0.0458,-0.156,11,216,verb_final,735,0.7897,0.5541,0.8095,1.0,0.8882,ROOT,6.601230118728877
vfin_other,verb_final,12,487.443,21,3.6414,0.3581,12,12485,verb_final,12183,0.7548,0.7548,0.8146,1.0,0.6367,ROOT,9.407878894574997
vfin_sumnida,verb_final,24,2.69,39,0.0465,0.3601,7,35,verb_final,174,0.7531,0.4134,0.7529,1.0,0.7326,ROOT,5.1647859739235145
vfin_yeyo,verb_final,24,4.829,42,0.1816,0.7196,6,36,verb_final,272,0.7615,0.454,0.9007,1.0,0.9851,ROOT,5.60947179518496
vfin_yo,verb_final,15,152.286,42,2.8545,0.6788,11,1381,verb_final,3075,0.8136,0.6946,0.7558,1.0,0.8529,ROOT,8.031385330625534
