age_bin,cue_subtype,cue_type,n_cue_tokens,n_child_utterances,rate_per_1k
12,vfin_other,verb_final,9,1373,6.555
15,particle_euro_short_suffix,case_inst,1,1136,0.88
15,particle_ga_suffix,case_nom,1,1136,0.88
15,particle_i_suffix,case_nom,4,1136,3.521
15,vfin_da,verb_final,1,1136,0.88
15,vfin_eoa,verb_final,9,1136,7.923
15,vfin_ne,verb_final,2,1136,1.761
15,vfin_other,verb_final,277,1136,243.838
15,vfin_yo,verb_final,2,1136,1.761
18,conn_go,connective,1,1364,0.733
18,particle_do_suffix,focus,2,1364,1.466
18,particle_euro_short_suffix,case_inst,1,1364,0.733
18,particle_ga_suffix,case_nom,5,1364,3.666
18,particle_i_suffix,case_nom,35,1364,25.66
18,particle_neun_suffix,topic,5,1364,3.666
18,vfin_da,verb_final,28,1364,20.528
18,vfin_eoa,verb_final,21,1364,15.396
18,vfin_ji,verb_final,23,1364,16.862
18,vfin_ne,verb_final,14,1364,10.264
18,vfin_other,verb_final,443,1364,324.78
18,vfin_yo,verb_final,34,1364,24.927
21,conn_go,connective,8,2429,3.294
21,conn_myeon,connective,2,2429,0.823
21,conn_nikka,connective,1,2429,0.412
21,conn_seo,connective,2,2429,0.823
21,particle_do_suffix,focus,6,2429,2.47
21,particle_e_standalone,case_loc,1,2429,0.412
21,particle_eul_suffix,case_acc,3,2429,1.235
21,particle_eun_suffix,topic,3,2429,1.235
21,particle_euro_short_suffix,case_inst,4,2429,1.647
21,particle_ga_suffix,case_nom,51,2429,20.996
21,particle_i_suffix,case_nom,85,2429,34.994
21,particle_neun_suffix,topic,44,2429,18.114
21,particle_reul_suffix,case_acc,6,2429,2.47
21,vfin_da,verb_final,73,2429,30.054
21,vfin_eoa,verb_final,93,2429,38.287
21,vfin_ji,verb_final,17,2429,6.999
21,vfin_ne,verb_final,22,2429,9.057
21,vfin_other,verb_final,1184,2429,487.443
21,vfin_yo,verb_final,57,2429,23.466
24,conn_go,connective,60,10164,5.903
24,conn_myeon,connective,13,10164,1.279
24,conn_seo,connective,27,10164,2.656
24,particle_do_suffix,focus,74,10164,7.281
24,particle_e_standalone,case_loc,1,10164,0.098
24,particle_e_suffix,case_loc,6,10164,0.59
24,particle_eul_suffix,case_acc,10,10164,0.984
24,particle_eun_suffix,topic,11,10164,1.082
24,particle_euro_short_suffix,case_inst,7,10164,0.689
24,particle_ga_suffix,case_nom,142,10164,13.971
24,particle_gwa_suffix,case_com,3,10164,0.295
24,particle_hante_suffix,case_dat,1,10164,0.098
24,particle_i_suffix,case_nom,396,10164,38.961
24,particle_neun_suffix,topic,173,10164,17.021
24,particle_reul_suffix,case_acc,11,10164,1.082
24,particle_wa_suffix,case_com,3,10164,0.295
24,vfin_da,verb_final,127,10164,12.495
24,vfin_eoa,verb_final,343,10164,33.747
24,vfin_ji,verb_final,72,10164,7.084
24,vfin_ne,verb_final,35,10164,3.444
24,vfin_other,verb_final,2957,10164,290.929
24,vfin_sumnida,verb_final,8,10164,0.787
24,vfin_yeyo,verb_final,6,10164,0.59
24,vfin_yo,verb_final,141,10164,13.872
27,conn_go,connective,31,5555,5.581
27,conn_myeon,connective,21,5555,3.78
27,conn_nikka,connective,1,5555,0.18
27,conn_seo,connective,27,5555,4.86
27,particle_do_suffix,focus,11,5555,1.98
27,particle_eul_suffix,case_acc,8,5555,1.44
27,particle_eun_suffix,topic,14,5555,2.52
27,particle_euro_short_suffix,case_inst,3,5555,0.54
27,particle_ga_suffix,case_nom,100,5555,18.002
27,particle_gwa_suffix,case_com,1,5555,0.18
27,particle_i_suffix,case_nom,169,5555,30.423
27,particle_kkaji_suffix,case_term,1,5555,0.18
27,particle_neun_standalone,topic,1,5555,0.18
27,particle_neun_suffix,topic,89,5555,16.022
27,particle_reul_suffix,case_acc,3,5555,0.54
27,particle_ui_suffix,case_gen,2,5555,0.36
27,vfin_da,verb_final,77,5555,13.861
27,vfin_eoa,verb_final,249,5555,44.824
27,vfin_ji,verb_final,75,5555,13.501
27,vfin_ne,verb_final,46,5555,8.281
27,vfin_other,verb_final,1795,5555,323.132
27,vfin_sumnida,verb_final,8,5555,1.44
27,vfin_yeyo,verb_final,4,5555,0.72
27,vfin_yo,verb_final,106,5555,19.082
30,conn_go,connective,30,4074,7.364
30,conn_myeon,connective,15,4074,3.682
30,conn_nikka,connective,3,4074,0.736
30,conn_seo,connective,28,4074,6.873
30,particle_do_suffix,focus,3,4074,0.736
30,particle_eul_suffix,case_acc,12,4074,2.946
30,particle_eun_suffix,topic,17,4074,4.173
30,particle_ga_suffix,case_nom,83,4074,20.373
30,particle_hante_suffix,case_dat,1,4074,0.245
30,particle_i_suffix,case_nom,89,4074,21.846
30,particle_neun_suffix,topic,76,4074,18.655
30,particle_reul_suffix,case_acc,4,4074,0.982
30,particle_ui_suffix,case_gen,2,4074,0.491
30,particle_wa_suffix,case_com,6,4074,1.473
30,vfin_da,verb_final,30,4074,7.364
30,vfin_eoa,verb_final,185,4074,45.41
30,vfin_ji,verb_final,33,4074,8.1
30,vfin_ne,verb_final,12,4074,2.946
30,vfin_other,verb_final,1139,4074,279.578
30,vfin_sumnida,verb_final,1,4074,0.245
30,vfin_yo,verb_final,53,4074,13.009
33,conn_go,connective,57,3907,14.589
33,conn_myeon,connective,28,3907,7.167
33,conn_nikka,connective,2,3907,0.512
33,conn_seo,connective,29,3907,7.423
33,particle_do_suffix,focus,3,3907,0.768
33,particle_eul_suffix,case_acc,16,3907,4.095
33,particle_eun_suffix,topic,8,3907,2.048
33,particle_ga_standalone,case_nom,1,3907,0.256
33,particle_ga_suffix,case_nom,144,3907,36.857
33,particle_gwa_suffix,case_com,1,3907,0.256
33,particle_i_standalone,case_nom,1,3907,0.256
33,particle_i_suffix,case_nom,139,3907,35.577
33,particle_neun_suffix,topic,114,3907,29.178
33,particle_reul_suffix,case_acc,24,3907,6.143
33,particle_ui_suffix,case_gen,5,3907,1.28
33,vfin_da,verb_final,55,3907,14.077
33,vfin_eoa,verb_final,193,3907,49.399
33,vfin_ji,verb_final,57,3907,14.589
33,vfin_ne,verb_final,18,3907,4.607
33,vfin_other,verb_final,947,3907,242.385
33,vfin_sumnida,verb_final,1,3907,0.256
33,vfin_yeyo,verb_final,1,3907,0.256
33,vfin_yo,verb_final,166,3907,42.488
36,conn_go,connective,42,3598,11.673
36,conn_myeon,connective,31,3598,8.616
36,conn_nikka,connective,1,3598,0.278
36,conn_seo,connective,33,3598,9.172
36,particle_do_suffix,focus,9,3598,2.501
36,particle_eul_suffix,case_acc,29,3598,8.06
36,particle_eun_suffix,topic,16,3598,4.447
36,particle_ga_standalone,case_nom,1,3598,0.278
36,particle_ga_suffix,case_nom,161,3598,44.747
36,particle_gwa_suffix,case_com,1,3598,0.278
