cue_subtype,cue_type,first_emergence_month,peak_rate_per_1k,peak_month,uptake_slope,uptake_slope_r,n_bins_present,total_child_cue_tokens,cue_type_cg,caregiver_count,caregiver_AI,caregiver_WAI,Reliability_gra,Reliability_position,Reliability_form,dominant_gra_relation,log_caregiver_count
ba,construction_ba,18,28.75,54,0.4807,0.7975,15,855,construction_ba,2186,0.4118,0.2915,0.895,0.0,0.9285,CASE,7.690286020676768
bei,construction_bei,18,4.068,48,0.0562,0.585,11,75,construction_bei,147,0.2311,0.1063,0.9781,0.0,0.9796,AUX-PASS,4.997212273764115
de_adv,particle_de,21,24.194,63,0.3287,0.6729,12,99,particle_de,338,0.2647,0.142,0.3201,0.0,0.926,MARK-ADV,5.82600010738045
de_comp,particle_de,18,17.964,57,0.2164,0.709,15,217,particle_de,996,0.332,0.211,0.8181,0.0,0.9145,COMPOUND-EXT,6.904750769961838
de_mod,particle_de,18,107.077,36,1.4463,0.6947,15,4906,particle_de,10164,0.5521,0.4689,0.3576,0.0,0.0017,CASE,9.226705726062447
gei,preposition_gei,18,48.446,30,0.2607,0.309,15,1622,preposition_gei,3606,0.3995,0.3012,0.425,0.0,0.9157,ADVCL,8.19063168090354
guo,aspect_guo,18,9.98,57,0.0783,0.4225,14,216,aspect_guo,582,0.3662,0.2147,0.7486,0.0,0.957,AUX,6.368187186350492
le,aspect_le,18,158.602,63,2.2646,0.8716,15,5176,aspect_le,10664,0.6979,0.5958,0.6789,0.0,0.9819,DISCOURSE,9.274722630905451
object_position,word_order,15,319.097,36,3.9778,0.6124,16,14101,word_order,27277,0.7382,0.6941,1.0,0.0,0.4969,OBJ,10.21383579548682
subject_position,word_order,18,602.151,63,8.0236,0.6767,15,23377,word_order,52229,0.5657,0.5657,1.0,0.62,0.6885,NSUBJ,10.863412321430344
zhe,aspect_zhe,21,13.441,63,0.1858,0.6998,14,247,aspect_zhe,872,0.3943,0.2458,0.9132,0.0,0.9403,AUX,6.771935555839602
