age_bin,cue_subtype,cue_type,n_cue_tokens,n_child_utterances,rate_per_1k
15,object_position,word_order,4,306,13.072
18,ba,construction_ba,2,2972,0.673
18,bei,construction_bei,2,2972,0.673
18,de_comp,particle_de,1,2972,0.336
18,de_mod,particle_de,30,2972,10.094
18,gei,preposition_gei,4,2972,1.346
18,guo,aspect_guo,2,2972,0.673
18,le,aspect_le,22,2972,7.402
18,object_position,word_order,168,2972,56.528
18,subject_position,word_order,189,2972,63.594
21,ba,construction_ba,10,4909,2.037
21,de_adv,particle_de,4,4909,0.815
21,de_comp,particle_de,5,4909,1.019
21,de_mod,particle_de,137,4909,27.908
21,gei,preposition_gei,38,4909,7.741
21,guo,aspect_guo,11,4909,2.241
21,le,aspect_le,199,4909,40.538
21,object_position,word_order,540,4909,110.002
21,subject_position,word_order,830,4909,169.077
21,zhe,aspect_zhe,7,4909,1.426
24,ba,construction_ba,41,7915,5.18
24,bei,construction_bei,2,7915,0.253
24,de_adv,particle_de,13,7915,1.642
24,de_comp,particle_de,15,7915,1.895
24,de_mod,particle_de,419,7915,52.937
24,gei,preposition_gei,91,7915,11.497
24,guo,aspect_guo,28,7915,3.538
24,le,aspect_le,516,7915,65.193
24,object_position,word_order,1233,7915,155.78
24,subject_position,word_order,1808,7915,228.427
24,zhe,aspect_zhe,14,7915,1.769
27,ba,construction_ba,51,6015,8.479
27,bei,construction_bei,10,6015,1.663
27,de_adv,particle_de,10,6015,1.663
27,de_comp,particle_de,12,6015,1.995
27,de_mod,particle_de,354,6015,58.853
27,gei,preposition_gei,167,6015,27.764
27,guo,aspect_guo,12,6015,1.995
27,le,aspect_le,411,6015,68.329
27,object_position,word_order,1459,6015,242.56
27,subject_position,word_order,2208,6015,367.082
27,zhe,aspect_zhe,8,6015,1.33
30,ba,construction_ba,115,8525,13.49
30,bei,construction_bei,13,8525,1.525
30,de_adv,particle_de,21,8525,2.463
30,de_comp,particle_de,32,8525,3.754
30,de_mod,particle_de,793,8525,93.021
30,gei,preposition_gei,413,8525,48.446
30,guo,aspect_guo,31,8525,3.636
30,le,aspect_le,826,8525,96.891
30,object_position,word_order,2218,8525,260.176
30,subject_position,word_order,3506,8525,411.261
30,zhe,aspect_zhe,33,8525,3.871
33,ba,construction_ba,87,7153,12.163
33,bei,construction_bei,12,7153,1.678
33,de_adv,particle_de,7,7153,0.979
33,de_comp,particle_de,32,7153,4.474
33,de_mod,particle_de,664,7153,92.828
33,gei,preposition_gei,205,7153,28.659
