cue_subtype,cue_type,cue_form,count,S_acoustic,S_positional,S_frequency_zscore,S_frequency_normalized,S_repetition,S_perceptual,AttentionIndex,WeightedAttentionIndex,Reliability_gra,Reliability_gra_is_circular,Reliability_position,Reliability_form,Reliability_composite_noncircular,FunctionEntropy_gra,PositionConsistency,dominant_gra_relation,n_distinct_gra_relations,pos_mean,pos_std,n_distinct_functions,most_common_function
aspect_imperf,aspect,давай,5870,0.4506,0.2496,1.9003,0.8699,1.0,0.5,0.614,0.5609,0.7618,False,0.822,0.8073,0.8146,0.3579,0.0,ROOT,16,0.5722,0.3866,1,event_structure
case_nom,case_nom,это,13362,0.3847,0.168,2.1929,0.8996,1.0,0.125,0.5155,0.5155,0.5052,False,0.0,0.4085,0.2042,0.3892,0.0,NSUBJ,25,0.482,0.3722,1,agent
aspect_perf,aspect,скажи,3758,0.4148,0.2199,1.7416,0.8509,1.0,0.375,0.5721,0.4957,0.76,False,0.8065,0.7706,0.7885,0.369,0.0,ROOT,11,0.5412,0.3888,1,event_structure
case_gen,case_gen,тебя,1269,0.4153,0.2783,1.3554,0.795,1.0,0.375,0.5727,0.4308,0.3191,False,0.7124,0.4478,0.5801,0.6077,0.0,ROOT,15,0.6961,0.2985,1,possession_or_partitive
case_acc,case_acc,что,2968,0.3406,0.215,1.6577,0.8399,1.0,0.125,0.5041,0.4243,0.6597,False,0.0,0.3019,0.151,0.4297,0.0,OBJ,17,0.6031,0.3494,1,patient
case_ins,case_ins,тобой,476,0.3487,0.2319,1.0066,0.7323,1.0,0.375,0.5376,0.349,0.6029,False,0.0,0.5427,0.2713,0.526,0.0,OBL,10,0.6679,0.3093,1,instrument
case_loc,case_loc,нём,538,0.4275,0.3275,1.0501,0.7408,1.0,0.125,0.5242,0.347,0.5167,False,0.0,0.4307,0.2153,0.5466,0.0813,OBL,10,0.7503,0.2655,1,location
case_dat,case_dat,мне,726,0.259,0.1369,1.1568,0.7607,1.0,0.25,0.4813,0.3338,0.7314,False,0.0,0.6806,0.3403,0.3792,0.0,IOBJ,13,0.5338,0.3433,1,recipient
prep_на,preposition,на,628,0.1847,0.1436,1.1052,0.7512,1.0,0.125,0.4409,0.2991,0.8806,False,0.0,0.8614,0.4307,0.2575,0.0,CASE,6,0.4631,0.3371,1,spatial_role
prep_в,preposition,в,563,0.1101,0.1238,1.0663,0.7439,1.0,0.125,0.4206,0.2804,0.9893,False,0.0,0.8596,0.4298,0.0599,0.0,CASE,3,0.4722,0.3278,1,spatial_role
