cue_subtype,cue_type,first_emergence_month,peak_rate_per_1k,peak_month,uptake_slope,uptake_slope_r,n_bins_present,total_child_cue_tokens,cue_type_cg,caregiver_count,caregiver_AI,caregiver_WAI,Reliability_gra,Reliability_position,Reliability_form,dominant_gra_relation,log_caregiver_count
aspect_imperf,aspect,12,621.951,45,15.0243,0.8999,11,4085,aspect,5870,0.614,0.5609,0.7618,0.822,0.8073,ROOT,8.677780256064185
aspect_perf,aspect,12,378.049,45,9.6653,0.8577,11,1240,aspect,3758,0.5721,0.4957,0.76,0.8065,0.7706,ROOT,8.231908243564177
case_acc,case_acc,12,192.661,39,5.059,0.8407,11,1132,case_acc,2968,0.5041,0.4243,0.6597,0.0,0.3019,OBJ,7.99598047476376
case_dat,case_dat,15,158.537,45,3.87,0.6959,8,277,case_dat,726,0.4813,0.3338,0.7314,0.0,0.6806,IOBJ,6.588926477533519
case_gen,case_gen,12,207.317,45,4.2748,0.743,11,499,case_gen,1269,0.5727,0.4308,0.3191,0.7124,0.4478,ROOT,7.146772179452637
case_ins,case_ins,12,22.099,36,0.5381,0.6873,8,141,case_ins,476,0.5376,0.349,0.6029,0.0,0.5427,OBL,6.1675164908883415
case_loc,case_loc,24,36.585,45,1.5971,0.8735,7,262,case_loc,538,0.5242,0.347,0.5167,0.0,0.4307,OBL,6.289715570908998
case_nom,case_nom,12,768.293,45,15.2717,0.8493,11,10647,case_nom,13362,0.5155,0.5155,0.5052,0.0,0.4085,NSUBJ,9.500244972781061
prep_без,preposition,30,1.842,36,0.2018,0.7205,3,5,preposition,25,0.282,0.0967,1.0,0.0,0.913,CASE,3.258096538021482
prep_в,preposition,12,36.585,45,0.972,0.8415,10,236,preposition,563,0.4206,0.2804,0.9893,0.0,0.8596,CASE,6.335054251498059
prep_для,preposition,27,14.733,36,1.4058,0.8587,4,39,preposition,36,0.3009,0.1143,1.0,0.0,0.9375,CASE,3.6109179126442243
prep_за,preposition,27,1.682,30,0.082,0.3236,3,12,preposition,90,0.3237,0.1537,0.9889,0.0,0.9383,CASE,4.51085950651685
prep_из,preposition,30,24.39,45,1.6304,0.9743,3,15,preposition,39,0.3006,0.1167,1.0,0.0,0.9677,CASE,3.6888794541139363
prep_к,preposition,18,48.78,45,1.382,0.7227,8,47,preposition,72,0.3135,0.1416,1.0,0.0,0.7246,CASE,4.290459441148391
prep_на,preposition,15,41.284,39,1.2226,0.8923,10,431,preposition,628,0.4409,0.2991,0.8806,0.0,0.8614,CASE,6.444131256700441
prep_о,preposition,18,1.365,33,0.0694,0.993,4,12,preposition,14,0.2385,0.068,1.0,0.0,0.0,CASE,2.70805020110221
prep_от,preposition,27,1.592,33,0.1388,0.9072,3,15,preposition,26,0.2921,0.1014,0.9615,0.0,0.6923,CASE,3.295836866004329
prep_по,preposition,15,6.727,30,0.1215,0.426,5,57,preposition,76,0.3126,0.1429,0.9605,0.0,0.9178,CASE,4.343805421853684
prep_под,preposition,33,1.842,36,0.235,1.0,2,6,preposition,14,0.2624,0.0748,0.9286,0.0,0.9286,CASE,2.70805020110221
prep_про,preposition,27,13.761,39,0.8061,0.915,5,25,preposition,69,0.3132,0.14,0.9855,0.0,0.8806,CASE,4.248495242049359
prep_с,preposition,24,48.78,45,2.0522,0.7989,7,70,preposition,313,0.3554,0.2151,0.9968,0.0,0.8271,CASE,5.749392985908253
prep_у,preposition,12,134.146,45,2.1398,0.6004,11,308,preposition,567,0.3673,0.2452,0.9859,0.0,0.7629,CASE,6.342121418721152
