cue_subtype,cue_type,cue_form,count,S_acoustic,S_positional,S_frequency_zscore,S_frequency_normalized,S_repetition,S_perceptual,AttentionIndex,WeightedAttentionIndex,Reliability_gra,Reliability_gra_is_circular,Reliability_position,Reliability_form,Reliability_composite_noncircular,FunctionEntropy_gra,PositionConsistency,dominant_gra_relation,n_distinct_gra_relations,pos_mean,pos_std,n_distinct_functions,most_common_function
object_position,word_order,lo,9123,0.3532,0.2663,2.516,0.9253,1.0,0.0833,0.5256,0.5198,1.0,True,0.0,0.3877,0.1939,0.0,0.0,OBJ,1,0.6746,0.3108,1,patient
subject_position,word_order,qué,10098,0.1822,0.2847,2.5564,0.928,1.0,0.0833,0.4957,0.4957,1.0,True,0.0,0.5774,0.2887,0.0,0.0,NSUBJ,1,0.3839,0.3851,1,agent
prep_a,preposition,a,4458,0.0659,0.0685,2.2312,0.903,1.0,0.0833,0.4242,0.3865,0.511,False,0.0,0.0852,0.0426,0.3048,0.0,CASE,20,0.4818,0.3071,1,role_or_location
pron_qué,pronoun,qué,1142,0.6699,0.175,1.6896,0.8442,0.7576,0.0833,0.506,0.3864,0.7697,False,0.9335,0.0193,0.4764,0.3097,0.029,ROOT,15,0.6044,0.2806,1,reference
det_el_m,determiner,el,3753,0.0842,0.0937,2.1628,0.8969,1.0,0.0833,0.4316,0.3853,0.9638,False,0.2523,0.8866,0.5695,0.0801,0.0,DET,20,0.5103,0.3251,1,np_boundary
pron_tú,pronoun,te,3334,0.0672,0.1394,2.1157,0.8924,1.0,0.0833,0.4365,0.384,0.5255,False,0.0,0.795,0.3975,0.3398,0.0,OBL-ARG,21,0.3819,0.3043,1,reference
det_el_f,determiner,la,3953,0.1032,0.0315,2.1834,0.8988,1.0,0.0833,0.4234,0.3803,0.9552,False,0.2532,0.8631,0.5581,0.093,0.0,DET,19,0.5666,0.3104,1,np_boundary
pron_él,pronoun,se,3454,0.0576,0.1073,2.1298,0.8938,1.0,0.0833,0.4284,0.3786,0.5567,False,0.0,0.5022,0.2511,0.4719,0.0,EXPL-PV,22,0.4009,0.3006,1,reference
pron_yo,pronoun,me,1668,0.1097,0.147,1.8403,0.863,1.0,0.0833,0.4406,0.3546,0.4526,False,0.0,0.6924,0.3462,0.413,0.0,EXPL-PV,19,0.3941,0.3191,1,reference
pron_ese,pronoun,eso,418,0.61,0.4431,1.2899,0.7841,0.7641,0.0833,0.5369,0.3516,0.7081,False,0.9498,0.0072,0.4785,0.4316,0.0,ROOT,16,0.6918,0.377,1,reference
det_uno_m,determiner,un,1778,0.0821,0.1238,1.8657,0.866,1.0,0.0833,0.4311,0.3499,0.8431,False,0.216,0.8599,0.5379,0.2206,0.0,DET,16,0.4571,0.3221,1,np_boundary
pron_este,pronoun,esto,423,0.6123,0.4012,1.2947,0.7849,0.7576,0.0833,0.5279,0.3464,0.7258,False,0.9409,0.0095,0.4752,0.4233,0.0,ROOT,17,0.6737,0.3794,1,reference
pron_que,pronoun,que,1554,0.0476,0.178,1.8121,0.8596,1.0,0.0833,0.4337,0.3457,0.9344,False,0.0,0.7026,0.3513,0.132,0.0,MARK,16,0.4077,0.3205,1,reference
prep_de,preposition,de,2111,0.0772,0.0189,1.934,0.8737,1.0,0.0833,0.4106,0.3409,0.8129,False,0.0,0.8199,0.41,0.2825,0.0,CASE,18,0.5531,0.2946,1,role_or_location
pron_cómo,pronoun,cómo,652,0.1319,0.423,1.4667,0.8126,0.8433,0.0833,0.4588,0.3225,0.6779,False,0.0,0.8423,0.4212,0.4201,0.0,OBL,9,0.2536,0.3168,1,reference
prep_con,preposition,con,959,0.0626,0.1231,1.6202,0.8348,0.9626,0.1667,0.43,0.3202,0.9614,False,0.0,0.8063,0.4031,0.0923,0.0,CASE,14,0.481,0.3234,1,role_or_location
det_qué_,determiner,qué,547,0.0878,0.368,1.3969,0.8017,0.9412,0.0833,0.4564,0.3122,0.9945,False,0.0786,0.0332,0.0559,0.0289,0.0,DET,4,0.2895,0.331,1,np_boundary
det_uno_f,determiner,una,876,0.0879,0.1215,1.5842,0.8298,1.0,0.0833,0.4245,0.312,0.976,False,0.218,0.8642,0.5411,0.0735,0.0,DET,8,0.4669,0.3261,1,np_boundary
prep_en,preposition,en,1080,0.0296,0.1028,1.6674,0.8412,0.9267,0.0833,0.3967,0.3006,0.9463,False,0.0,0.8195,0.4097,0.1127,0.0,CASE,19,0.4661,0.3037,1,role_or_location
det_mi_,determiner,mi,418,0.3804,0.2828,1.2899,0.7841,0.751,0.0833,0.4563,0.2988,0.9833,False,0.2105,0.8825,0.5465,0.0588,0.0267,DET,7,0.7234,0.2813,1,np_boundary
prep_para,preposition,para,685,0.0759,0.1832,1.4864,0.8155,0.9111,0.0833,0.4138,0.2931,0.5547,False,0.0,0.8098,0.4049,0.3854,0.0,CASE,11,0.4359,0.3344,1,role_or_location
prep_por,preposition,por,577,0.0711,0.1773,1.4181,0.805,0.9011,0.0833,0.4076,0.2811,0.8821,False,0.0,0.8014,0.4007,0.219,0.0,CASE,12,0.4196,0.3369,1,role_or_location
pron_ésto,pronoun,ésto,79,0.8481,0.6975,0.6274,0.6519,0.238,0.0833,0.5038,0.2394,0.8734,False,1.0,0.0,0.5,0.2943,0.0,ROOT,8,0.8495,0.3157,1,reference
det_tu_,determiner,tu,304,0.1086,0.0151,1.1633,0.7619,0.8342,0.0833,0.3606,0.2237,0.9605,False,0.2138,0.8796,0.5467,0.1361,0.0,DET,4,0.552,0.3067,1,np_boundary
det_otro_m,determiner,otro,205,0.0976,0.2366,1.0066,0.7324,0.7441,0.0833,0.3788,0.2189,0.9951,False,0.1561,0.8571,0.5066,0.0445,0.0,DET,2,0.4157,0.3581,1,np_boundary
pron_mucho,pronoun,mucho,109,0.4404,0.2945,0.7554,0.6804,0.5718,0.0833,0.4141,0.2111,0.8165,False,0.0,0.844,0.422,0.3305,0.0,ADVMOD,8,0.7143,0.2926,1,reference
pron_quién,pronoun,quién,214,0.3925,0.1056,1.0237,0.7357,0.4761,0.0833,0.3586,0.2089,0.4065,False,0.9019,0.0093,0.4556,0.7283,0.0,ROOT,7,0.545,0.2923,1,reference
det_ese_m,determiner,ese,174,0.1149,0.1414,0.9414,0.7194,0.7576,0.0833,0.3633,0.2035,0.9885,False,0.2414,0.7719,0.5067,0.0644,0.0,DET,3,0.5016,0.3463,1,np_boundary
pron_uno,pronoun,uno,124,0.2823,0.2952,0.8067,0.6914,0.5718,0.0833,0.3848,0.2015,0.6855,False,0.9274,0.5081,0.7177,0.5252,0.0,ROOT,10,0.38,0.3747,1,reference
pron_otro,pronoun,otro,91,0.5275,0.2407,0.6836,0.6645,0.5196,0.0833,0.4071,0.1997,0.6923,False,0.8791,0.0,0.4396,0.5301,0.0,ROOT,9,0.6363,0.3345,1,reference
det_otro_f,determiner,otra,197,0.1117,0.1843,0.9908,0.7292,0.6008,0.0833,0.3419,0.1961,0.9645,False,0.2335,0.8325,0.533,0.1108,0.0,DET,7,0.4901,0.3647,1,np_boundary
pron_mío,pronoun,mío,39,0.7692,0.6436,0.3467,0.5858,0.3487,0.0833,0.4861,0.1945,0.7949,False,1.0,0.9744,0.9872,0.4521,0.0,ROOT,5,0.8005,0.3596,1,reference
pron_poco,pronoun,poco,117,0.265,0.1821,0.7836,0.6865,0.6597,0.0833,0.3753,0.1942,0.6752,False,0.0,0.8087,0.4043,0.5281,0.0252,FIXED,7,0.6656,0.2817,1,reference
det_este_f,determiner,esta,148,0.0878,0.1703,0.877,0.7062,0.6886,0.0833,0.3473,0.1885,1.0,False,0.2297,0.8345,0.5321,0.0,0.0,DET,1,0.4744,0.3578,1,np_boundary
det_este_m,determiner,este,160,0.0437,0.075,0.9081,0.7126,0.751,0.0833,0.3331,0.1836,1.0,False,0.3187,0.8228,0.5708,0.0,0.0,DET,1,0.5346,0.3148,1,np_boundary
det_su_,determiner,su,167,0.1018,0.0257,0.9251,0.7161,0.6886,0.0833,0.3231,0.1796,0.9641,False,0.2156,0.7964,0.506,0.1239,0.0,DET,5,0.5566,0.3033,1,np_boundary
det_ese_f,determiner,esa,125,0.064,0.068,0.8099,0.6921,0.6886,0.0833,0.3192,0.1674,0.984,False,0.248,0.8943,0.5712,0.0848,0.0,DET,3,0.5011,0.3204,1,np_boundary
pron_mi,pronoun,mi,39,0.6154,0.5154,0.3467,0.5858,0.238,0.0833,0.4076,0.1631,0.3846,False,0.0,0.0,0.0,0.7618,0.0,OBL-ARG,10,0.735,0.3669,1,reference
pron_todo,pronoun,todos,44,0.5227,0.2636,0.3947,0.5974,0.4989,0.0833,0.3932,0.1623,0.2955,False,0.8409,0.0227,0.4318,0.8818,0.0,ROOT,9,0.673,0.3134,1,reference
det_tuyo_m,determiner,tuyo,18,0.8889,0.7889,0.0392,0.5098,0.238,0.0833,0.5018,0.1602,0.5556,False,0.8889,1.0,0.9444,0.7233,0.6425,ROOT,5,0.9653,0.1033,1,np_boundary
pron_tu,pronoun,tu,30,0.7333,0.4,0.2423,0.5603,0.3487,0.0833,0.4251,0.1583,0.5,False,0.9667,0.0333,0.5,0.704,0.0,ROOT,9,0.6926,0.3623,1,reference
det_tuyo_f,determiner,tuya,18,0.7778,0.6778,0.0392,0.5098,0.3004,0.0833,0.4698,0.15,0.7222,False,1.0,1.0,1.0,0.6643,0.0702,ROOT,3,0.8765,0.2687,1,np_boundary
