cue_subtype,cue_type,first_emergence_month,peak_rate_per_1k,peak_month,uptake_slope,uptake_slope_r,n_bins_present,total_child_cue_tokens,cue_type_cg,caregiver_count,caregiver_AI,caregiver_WAI,Reliability_gra,Reliability_position,Reliability_form,dominant_gra_relation,log_caregiver_count
det_cada_,determiner,24,3.831,57,0.111,0.959,4,6,determiner,28,0.2564,0.0937,1.0,0.3214,0.7857,DET,3.367295829986474
det_cuál_,determiner,33,1.439,45,0.0435,0.6178,3,5,determiner,6,0.258,0.0544,1.0,0.0,0.0,DET,1.9459101490553132
det_cuánto_f,determiner,21,2.878,45,0.069,0.7584,6,11,determiner,15,0.2918,0.0877,1.0,0.2,0.1429,DET,2.772588722239781
det_cuánto_m,determiner,21,1.273,42,0.0557,0.8951,5,6,determiner,33,0.3343,0.1279,1.0,0.0,0.8438,DET,3.5263605246161616
det_el_f,determiner,15,148.313,42,1.7122,0.6758,14,2583,determiner,3953,0.4234,0.3803,0.9552,0.2532,0.8631,DET,8.282483003730562
det_el_m,determiner,18,141.762,57,2.3883,0.9269,13,2210,determiner,3753,0.4316,0.3853,0.9638,0.2523,0.8866,DET,8.230577217146454
det_ese_f,determiner,18,6.365,42,0.049,0.3534,10,62,determiner,125,0.3192,0.1674,0.984,0.248,0.8943,DET,4.836281906951478
det_ese_m,determiner,18,8.351,39,-0.0006,-0.0033,13,105,determiner,174,0.3633,0.2035,0.9885,0.2414,0.7719,DET,5.1647859739235145
det_este_f,determiner,18,4.456,42,0.0348,0.408,12,87,determiner,148,0.3473,0.1885,1.0,0.2297,0.8345,DET,5.003946305945459
det_este_m,determiner,18,10.185,54,0.0044,0.0265,13,180,determiner,160,0.3331,0.1836,1.0,0.3187,0.8228,DET,5.081404364984463
det_mi_,determiner,18,26.098,42,0.1741,0.3071,12,332,determiner,418,0.4563,0.2988,0.9833,0.2105,0.8825,DET,6.037870919922137
det_mucho_f,determiner,24,4.175,39,0.1194,0.7286,8,30,determiner,50,0.2585,0.1102,0.98,0.28,0.8367,DET,3.9318256327243257
det_mucho_m,determiner,21,7.002,42,0.0956,0.4946,10,40,determiner,83,0.3101,0.149,0.988,0.2048,0.2073,DET,4.430816798843313
det_mía_f,determiner,18,3.831,57,0.0542,0.6065,10,57,determiner,19,0.4034,0.1311,0.4737,0.9474,1.0,ROOT,2.995732273553991
det_ninguno_f,determiner,33,1.91,42,-0.0025,-0.0255,3,7,determiner,6,0.2246,0.0474,1.0,0.3333,1.0,DET,1.9459101490553132
det_ninguno_m,determiner,27,1.91,54,0.0623,0.9314,4,6,determiner,18,0.233,0.0744,1.0,0.3889,0.7778,DET,2.9444389791664403
det_otro_f,determiner,18,19.157,57,0.1916,0.5323,12,199,determiner,197,0.3419,0.1961,0.9645,0.2335,0.8325,DET,5.288267030694535
det_otro_m,determiner,21,26.82,57,0.1145,0.1741,12,195,determiner,205,0.3788,0.2189,0.9951,0.1561,0.8571,DET,5.327876168789581
det_qué_,determiner,18,31.301,51,0.4075,0.6049,13,135,determiner,547,0.4564,0.3122,0.9945,0.0786,0.0332,DET,6.306275286948016
det_su_,determiner,18,8.9,30,0.0517,0.2679,12,140,determiner,167,0.3231,0.1796,0.9641,0.2156,0.7964,DET,5.123963979403259
det_todo_f,determiner,21,7.663,57,0.1671,0.8781,10,25,determiner,56,0.2669,0.117,0.9821,0.2321,0.9636,DET,4.04305126783455
det_todo_m,determiner,24,19.157,57,0.3825,0.7457,8,32,determiner,95,0.2958,0.1464,0.9789,0.2632,0.9032,DET,4.564348191467836
det_tu_,determiner,21,7.914,45,0.1158,0.5882,10,110,determiner,304,0.3606,0.2237,0.9605,0.2138,0.8796,DET,5.720311776607412
det_tuyo_f,determiner,21,1.025,48,0.0117,0.6737,7,16,determiner,18,0.4698,0.15,0.7222,1.0,1.0,ROOT,2.9444389791664403
det_tuyo_m,determiner,21,11.494,57,0.2425,0.8586,6,21,determiner,18,0.5018,0.1602,0.5556,0.8889,1.0,ROOT,2.9444389791664403
det_uno_f,determiner,21,54.106,42,0.2969,0.2987,12,674,determiner,876,0.4245,0.312,0.976,0.218,0.8642,DET,6.776506992372183
det_uno_m,determiner,18,81.42,39,0.6491,0.3851,13,1178,determiner,1778,0.4311,0.3499,0.8431,0.216,0.8599,DET,7.483806687665835
object_position,word_order,18,266.709,42,5.1138,0.8407,13,4258,word_order,9123,0.5256,0.5198,1.0,0.0,0.3877,OBJ,9.11866358340428
prep_a,preposition,12,126.671,42,0.4647,0.3101,14,2825,preposition,4458,0.4242,0.3865,0.511,0.0,0.0852,CASE,8.402679804627477
prep_al,preposition,21,3.074,48,0.0749,0.807,6,10,preposition,8,0.3302,0.0787,1.0,0.0,1.0,CASE,2.1972245773362196
prep_como,preposition,21,1.273,42,0.0463,0.8727,3,5,preposition,11,0.2274,0.0613,0.7273,0.0,0.0909,CASE,2.4849066497880004
prep_con,preposition,18,41.375,42,0.5266,0.6208,13,554,preposition,959,0.43,0.3202,0.9614,0.0,0.8063,CASE,6.866933284461882
