age_bin,cue_subtype,cue_type,n_cue_tokens,n_child_utterances,rate_per_1k
12,prep_a,preposition,13,129,100.775
15,det_el_f,determiner,1,214,4.673
15,pron_este,pronoun,1,214,4.673
15,pron_qué,pronoun,1,214,4.673
15,pron_uno,pronoun,1,214,4.673
18,det_el_f,determiner,67,2510,26.693
18,det_el_m,determiner,53,2510,21.116
18,det_ese_f,determiner,1,2510,0.398
18,det_ese_m,determiner,1,2510,0.398
18,det_este_f,determiner,3,2510,1.195
18,det_este_m,determiner,17,2510,6.773
18,det_mi_,determiner,10,2510,3.984
18,det_mía_f,determiner,2,2510,0.797
18,det_otro_f,determiner,1,2510,0.398
18,det_qué_,determiner,1,2510,0.398
18,det_su_,determiner,1,2510,0.398
18,det_uno_m,determiner,1,2510,0.398
18,object_position,word_order,19,2510,7.57
18,prep_a,preposition,177,2510,70.518
18,prep_con,preposition,3,2510,1.195
18,prep_de,preposition,2,2510,0.797
18,prep_en,preposition,4,2510,1.594
18,prep_para,preposition,1,2510,0.398
18,prep_por,preposition,11,2510,4.382
18,pron_ese,pronoun,8,2510,3.187
18,pron_este,pronoun,103,2510,41.036
18,pron_mío,pronoun,8,2510,3.187
18,pron_nadie,pronoun,12,2510,4.781
18,pron_otro,pronoun,12,2510,4.781
18,pron_poco,pronoun,5,2510,1.992
18,pron_que,pronoun,2,2510,0.797
18,pron_qué,pronoun,7,2510,2.789
18,pron_tú,pronoun,3,2510,1.195
18,pron_uno,pronoun,2,2510,0.797
18,pron_él,pronoun,18,2510,7.171
18,subject_position,word_order,65,2510,25.896
21,det_cuánto_f,determiner,1,7853,0.127
21,det_cuánto_m,determiner,1,7853,0.127
21,det_el_f,determiner,502,7853,63.925
21,det_el_m,determiner,326,7853,41.513
21,det_ese_f,determiner,10,7853,1.273
21,det_ese_m,determiner,25,7853,3.183
21,det_este_,determiner,1,7853,0.127
21,det_este_f,determiner,10,7853,1.273
21,det_este_m,determiner,40,7853,5.094
21,det_mi_,determiner,14,7853,1.783
21,det_mucho_m,determiner,3,7853,0.382
21,det_mía_f,determiner,15,7853,1.91
21,det_mío_m,determiner,1,7853,0.127
21,det_otro_f,determiner,63,7853,8.022
21,det_otro_m,determiner,108,7853,13.753
21,det_qué_,determiner,15,7853,1.91
21,det_su_,determiner,4,7853,0.509
21,det_todo_f,determiner,1,7853,0.127
21,det_tu_,determiner,2,7853,0.255
21,det_tuyo_f,determiner,3,7853,0.382
21,det_tuyo_m,determiner,1,7853,0.127
21,det_tú_,determiner,1,7853,0.127
21,det_uno_f,determiner,74,7853,9.423
21,det_uno_m,determiner,149,7853,18.974
21,object_position,word_order,309,7853,39.348
21,prep_a,preposition,454,7853,57.812
21,prep_al,preposition,1,7853,0.127
21,prep_como,preposition,2,7853,0.255
21,prep_con,preposition,36,7853,4.584
21,prep_de,preposition,27,7853,3.438
21,prep_en,preposition,22,7853,2.801
21,prep_hasta,preposition,3,7853,0.382
21,prep_para,preposition,56,7853,7.131
21,prep_por,preposition,32,7853,4.075
